game_date,run_date,run_id,run_mode,generated_at_utc,pipeline_version,model_version,model_artifact_hash,source_data_asof_utc,player_id,player_name,team,opponent,game_id,event_id,stat,line,role_bucket,hard_role_bucket,role_mixture_enabled,role_mixture_weights_json,role_entropy,role_bucket_confidence,projected_minutes,minutes_q10,minutes_q50,minutes_q90,inactive_risk,expected_lineup_status,official_lineup_status,injury_status,injury_source,injury_last_updated_utc,lineup_source,lineup_last_updated_utc,stale_injury_flag,stale_lineup_flag,market_line,p_over,model_prob_under_active,fair_over_odds,fair_under_odds,pmf_mean,pmf_variance,pmf_p10,pmf_p50,pmf_p90,market_prob_over,no_vig_market_prob_over,edge,market_status,delivery_status,unavailable_reason,calculation_source,calculation_status
2026-05-28,2026-05-28,4fe9d201-25d5-4ff9-adc8-bed330742777,morning_expected,2026-05-28T21:11:53Z,655c45e0,655c45e0#phase10c,challenger-2026-05-27,2026-05-28T21:11:48Z,1057262518,Dylan Harper,SAS,OKC,21713533,,pra,16.5,rotation,rotation,True,,,,21.5179,,20.5539,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-05-28T21:11:02Z,bdl_lineup_freshness_manifest,,False,False,16.5,0.6335,0.3665,-173.0,173.0,19.2477,50.0715,10.0,19.0,28.0,0.4613,0.4613,0.1721,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
2026-05-28,2026-05-28,4fe9d201-25d5-4ff9-adc8-bed330742777,morning_expected,2026-05-28T21:11:53Z,655c45e0,655c45e0#phase10c,challenger-2026-05-27,2026-05-28T21:11:48Z,1057262518,Dylan Harper,SAS,OKC,21713533,,pra,15.5,rotation,rotation,True,,,,21.5179,,20.5539,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-05-28T21:11:02Z,bdl_lineup_freshness_manifest,,False,False,15.5,0.6877,0.3123,-220.0,220.0,19.2477,50.0715,10.0,19.0,28.0,0.5274,0.5274,0.1603,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
2026-05-28,2026-05-28,4fe9d201-25d5-4ff9-adc8-bed330742777,morning_expected,2026-05-28T21:11:53Z,655c45e0,655c45e0#phase10c,challenger-2026-05-27,2026-05-28T21:11:48Z,1057262518,Dylan Harper,SAS,OKC,21713533,,pra,15.5,rotation,rotation,True,,,,21.5179,,20.5539,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-05-28T21:11:02Z,bdl_lineup_freshness_manifest,,False,False,15.5,0.6877,0.3123,-220.0,220.0,19.2477,50.0715,10.0,19.0,28.0,0.5162,0.5162,0.1715,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
2026-05-28,2026-05-28,4fe9d201-25d5-4ff9-adc8-bed330742777,morning_expected,2026-05-28T21:11:53Z,655c45e0,655c45e0#phase10c,challenger-2026-05-27,2026-05-28T21:11:48Z,1057262518,Dylan Harper,SAS,OKC,21713533,,pra,17.5,rotation,rotation,True,,,,21.5179,,20.5539,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-05-28T21:11:02Z,bdl_lineup_freshness_manifest,,False,False,17.5,0.577,0.423,-136.0,136.0,19.2477,50.0715,10.0,19.0,28.0,0.4085,0.4085,0.1685,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
2026-05-28,2026-05-28,4fe9d201-25d5-4ff9-adc8-bed330742777,morning_expected,2026-05-28T21:11:53Z,655c45e0,655c45e0#phase10c,challenger-2026-05-27,2026-05-28T21:11:48Z,1057262518,Dylan Harper,SAS,OKC,21713533,,pra,16.5,rotation,rotation,True,,,,21.5179,,20.5539,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-05-28T21:11:02Z,bdl_lineup_freshness_manifest,,False,False,16.5,0.6335,0.3665,-173.0,173.0,19.2477,50.0715,10.0,19.0,28.0,0.4694,0.4694,0.1641,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
2026-05-28,2026-05-28,4fe9d201-25d5-4ff9-adc8-bed330742777,morning_expected,2026-05-28T21:11:53Z,655c45e0,655c45e0#phase10c,challenger-2026-05-27,2026-05-28T21:11:48Z,1057262518,Dylan Harper,SAS,OKC,21713533,,pra,15.5,rotation,rotation,True,,,,21.5179,,20.5539,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-05-28T21:11:02Z,bdl_lineup_freshness_manifest,,False,False,15.5,0.6877,0.3123,-220.0,220.0,19.2477,50.0715,10.0,19.0,28.0,0.5203,0.5203,0.1674,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
2026-05-28,2026-05-28,4fe9d201-25d5-4ff9-adc8-bed330742777,morning_expected,2026-05-28T21:11:53Z,655c45e0,655c45e0#phase10c,challenger-2026-05-27,2026-05-28T21:11:48Z,1057262518,Dylan Harper,SAS,OKC,21713533,,pra,14.5,rotation,rotation,True,,,,21.5179,,20.5539,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-05-28T21:11:02Z,bdl_lineup_freshness_manifest,,False,False,14.5,0.7387,0.2613,-283.0,283.0,19.2477,50.0715,10.0,19.0,28.0,0.5752,0.5752,0.1636,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
2026-05-28,2026-05-28,4fe9d201-25d5-4ff9-adc8-bed330742777,morning_expected,2026-05-28T21:11:53Z,655c45e0,655c45e0#phase10c,challenger-2026-05-27,2026-05-28T21:11:48Z,1057262518,Dylan Harper,SAS,OKC,21713533,,pra,13.5,rotation,rotation,True,,,,21.5179,,20.5539,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-05-28T21:11:02Z,bdl_lineup_freshness_manifest,,False,False,13.5,0.7857,0.2143,-367.0,367.0,19.2477,50.0715,10.0,19.0,28.0,0.6396,0.6396,0.1461,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
2026-05-28,2026-05-28,4fe9d201-25d5-4ff9-adc8-bed330742777,morning_expected,2026-05-28T21:11:53Z,655c45e0,655c45e0#phase10c,challenger-2026-05-27,2026-05-28T21:11:48Z,1057262518,Dylan Harper,SAS,OKC,21713533,,pra,16.5,rotation,rotation,True,,,,21.5179,,20.5539,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-05-28T21:11:02Z,bdl_lineup_freshness_manifest,,False,False,16.5,0.6335,0.3665,-173.0,173.0,19.2477,50.0715,10.0,19.0,28.0,0.4797,0.4797,0.1538,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
2026-05-28,2026-05-28,4fe9d201-25d5-4ff9-adc8-bed330742777,morning_expected,2026-05-28T21:11:53Z,655c45e0,655c45e0#phase10c,challenger-2026-05-27,2026-05-28T21:11:48Z,1057262518,Dylan Harper,SAS,OKC,21713533,,pra,16.5,rotation,rotation,True,,,,21.5179,,20.5539,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-05-28T21:11:02Z,bdl_lineup_freshness_manifest,,False,False,16.5,0.6335,0.3665,-173.0,173.0,19.2477,50.0715,10.0,19.0,28.0,0.4797,0.4797,0.1538,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
