stat,n,nll_mean,rps_mean,mean_error,abs_mean_error,outcome_prob_assigned_mean
ast,16,1.8553060664354526,0.05353409348269146,0.8759029002656761,1.3913711695385897,0.20946245930971769
blk,16,1.047658276506733,0.10328738360149445,-0.3147442940861621,0.6524183901806415,0.5351094008562922
fg3m,16,1.6417209691702768,0.13514818318331961,-0.054189819775606746,1.0502155296122684,0.2871382190472136
pa,16,3.501666470614798,0.061144377343929454,2.5716998534467908,6.39982623843737,0.049985079715034006
pr,16,3.5266662003548928,0.05890503772257845,1.1228620270028473,6.520331517665184,0.04254586394102893
pra,16,3.673523671886877,0.0566532922388401,1.9987649272685015,6.859951202690972,0.039313737345693954
pts,16,3.2994308277076216,0.07256488304134212,1.6957969531811283,6.00613678518444,0.06686652478410673
ra,16,2.457224567077912,0.04803888341227064,0.3029679740874012,2.3902470835248746,0.11454762348981375
reb,16,2.360189013415099,0.06236513517206463,-0.5729349261782657,2.1246919645260705,0.133805537168426
stl,16,1.2373463731224663,0.09148893691407092,-0.2894073581124586,0.8298801618838691,0.4105172366783882
stocks,16,1.587054195041234,0.076867747796332,-0.6060815399013093,1.119536042871165,0.3077866671441323
tov,16,2.1169192643678794,0.0793653472958054,-0.15290856159757524,1.060298842093098,0.33412260156057627
