book,n,clv_close_minus_morning_p_mean,clv_book_close_minus_morning_p_mean,model_edge_movement_mean
betmgm,19,-0.03521455724868307,-0.00032570930891764443,0.0003257093089176415
betonlineag,15,-0.09829160025932662,-0.008214575977270051,0.008214575977270048
betparx,23,-0.05739794103963523,0.002762268186782259,-0.002762268186782259
betrivers,22,-0.06912734087361018,0.0030025919241468083,-0.0030025919241468083
bovada,60,-0.0847995369991185,-0.0025255826106653787,0.002525582610665378
draftkings,20,-0.04576707502653131,-0.004590254308774244,0.004590254308774242
espnbet,33,-0.07469345115834213,-0.00029631537081714285,0.00029631537081714285
fanatics,1,0.02978775510204079,-0.010307676370040375,0.010307676370040375
fanduel,64,-0.06819209804105122,-0.0007356886948662288,0.0007356886948662288
fliff,17,-0.0839389240593345,-0.005403968680212681,0.005403968680212678
hardrockbet,19,-0.05155812899880671,-0.004465355136234338,0.004465355136234335
hardrockbet_az,19,-0.05155812899880671,-0.004465355136234338,0.004465355136234335
hardrockbet_fl,17,-0.04781439272238028,-0.001571527675067385,0.001571527675067385
williamhill_us,19,-0.06312447777874239,-0.001938899168585128,0.001938899168585128
