stat,n,nll_mean,rps_mean,mean_error,abs_mean_error,outcome_prob_assigned_mean
ast,14,1.5888396164494574,0.027011958442106018,0.5298149520523422,1.0465540123066954,0.21697132483403964
blk,14,1.149259253964182,0.03569605175911334,-0.14111807520290745,0.5050288437220287,0.4669707494914726
fg3m,14,1.097764886901781,0.03369156856129049,0.8761924294307998,1.0636738557889163,0.3762798063437797
pa,14,3.5026276542148835,0.048534108931189576,5.610237613060559,7.672348090238961,0.03540804934802831
pr,14,3.397695572407309,0.03861732213933787,5.313927037587192,6.299522390489224,0.04168661081479987
pra,14,3.528585100940142,0.038098022360696884,5.8437419896395335,7.195422532635326,0.037264475682634024
pts,14,3.3762084560907835,0.052874839761025604,5.080422661008218,6.7764479480928586,0.03812569877844931
ra,14,2.215146480454698,0.02560424495350009,0.7633193286313154,1.9522067282374083,0.12300029542619119
reb,14,2.1775542975603654,0.039039511248267274,0.23350437657897297,1.598197031425921,0.16134369404447466
stl,14,1.2150365156361338,0.045981096428498194,-0.06400633466914964,0.7368439074059248,0.3524205321206256
stocks,14,1.5216878337639155,0.02855989818356085,-0.20512440987205713,0.7815081188695994,0.25090342307952956
tov,14,1.6900613255315713,0.06262503695620186,0.06765180143609283,1.1119670608966759,0.23793218693351198
