player_id,player_name,game_id,game,team_id,stat,side,line,odds,over_odds,under_odds,bet_vendor,model_prob,model_prob_raw,model_prob_cal,cal_source,market_prob,raw_edge,ev,kelly_units,q50,q_preds,usage_bucket,mp_bucket,min_ev_applied,cal_type,cal_applied,is_sparse,pmf,fair_odds_over,fair_odds_under,pmf_median,edge_over,edge_under,line_vs_median,mkt_true_over,mkt_true_under,result,profit,actual,clv,clv_proxy,clv_is_true,grade_date
1028036986,Pelle Larsson,18448007,Atlanta Hawks @ Miami Heat,16,ast,OVER,3.5,130,130,-180,betway,0.625,0.6295,0.625,global_side,0.4035,0.2215,0.4375,0.084,2.75,"{'0.1': 1.66, '0.2': 2.0, '0.25': 2.0, '0.5': 2.75, '0.75': 3.5, '0.8': 3.5, '0.9': 4.1}",0,2,0.0876,global,True,False,"{'2': 0.417, '3': 0.3325, '4': 0.2505}",299,-299,3,-0.153,0.153,0.5,0.4035,0.5965,NO_ACTION,0.0,,,,False,2026-04-12
666423,RJ Barrett,18448010,Brooklyn Nets @ Toronto Raptors,28,ast,OVER,3.5,130,130,-180,betway,0.625,0.6445,0.625,global_side,0.4035,0.2215,0.4375,0.078,2.88,"{'0.1': 1.48, '0.2': 1.9, '0.25': 1.98, '0.5': 2.88, '0.75': 4.19, '0.8': 4.26, '0.9': 4.98}",0,2,0.0876,global,True,False,"{'1': 0.1045, '2': 0.29, '3': 0.2245, '4': 0.2155, '5': 0.1655}",162,-162,3,-0.0225,0.0225,0.5,0.4035,0.5965,NO_ACTION,0.0,,,,False,2026-04-12
3547254,Tyrese Maxey,18448009,Milwaukee Bucks @ Philadelphia 76ers,23,fg3m,UNDER,2.5,130,-180,130,betway,0.5778,0.7548,0.5778,global_side,0.4035,0.1743,0.3289,0.063,1.78,"{'0.1': 0.53, '0.2': 1.01, '0.25': 1.2, '0.5': 1.78, '0.75': 2.47, '0.8': 2.78, '0.9': 3.15}",0,3,0.0876,global,True,False,"{'1': 0.3795, '2': 0.3755, '3': 0.245}",308,-308,2,-0.3515,0.3515,0.5,0.5965,0.4035,NO_ACTION,0.0,,,,False,2026-04-12
17896075,Cade Cunningham,18448006,Detroit Pistons @ Indiana Pacers,9,fg3m,UNDER,1.5,-165,120,-165,betway,0.8175,0.7697,0.8175,global_side,0.578,0.2394,0.3129,0.119,0.87,"{'0.1': 0.35, '0.2': 0.42, '0.25': 0.5, '0.5': 0.87, '0.75': 1.44, '0.8': 1.59, '0.9': 2.0}",0,2,0.0872,global,True,False,"{'0': 0.2505, '1': 0.5195, '2': 0.23}",335,-335,1,-0.192,0.192,0.5,0.422,0.578,NO_ACTION,0.0,,,,False,2026-04-12
1057276634,Nique Clifford,18448018,Sacramento Kings @ Portland Trail Blazers,26,fg3m,UNDER,1.5,120,-165,120,betway,0.5778,0.714,0.5778,global_side,0.422,0.1558,0.2711,0.056,0.95,"{'0.1': 0.29, '0.2': 0.38, '0.25': 0.48, '0.5': 0.95, '0.75': 1.59, '0.8': 1.59, '0.9': 2.25}",0,3,0.0872,global,True,False,"{'0': 0.2605, '1': 0.454, '2': 0.2855}",250,-250,1,-0.2925,0.2925,0.5,0.578,0.422,NO_ACTION,0.0,,,,False,2026-04-12
17896026,Franz Wagner,18448004,Orlando Magic @ Boston Celtics,22,pts,OVER,15.5,100,100,-130,betway,0.625,0.6962,0.625,global_side,0.4694,0.1556,0.25,0.062,12.88,"{'0.1': 6.24, '0.2': 9.16, '0.25': 9.35, '0.5': 12.88, '0.75': 14.26, '0.8': 14.32, '0.9': 18.18}",0,1,0.0752,global,True,False,"{'6': 0.1085, '7': 0.034, '8': 0.0345, '9': 0.083, '10': 0.071, '11': 0.071, '12': 0.071, '13': 0.14, '14': 0.192, '15': 0.026, '16': 0.026, '17': 0.026, '18': 0.117}",492,-492,13,-0.3004,0.3004,2.5,0.4694,0.5306,NO_ACTION,0.0,,,,False,2026-04-12
56677826,Ausar Thompson,18448006,Detroit Pistons @ Indiana Pacers,9,stl,OVER,1.5,100,100,-140,betway,0.625,0.6524,0.625,global_side,0.4615,0.1635,0.25,0.062,1.69,"{'0.1': 0.52, '0.2': 0.68, '0.25': 0.9, '0.5': 1.69, '0.75': 2.12, '0.8': 2.28, '0.9': 2.45}",0,2,0.0933,global,True,True,"{'1': 0.4395, '2': 0.5605}",-128,128,2,0.099,-0.099,-0.5,0.4615,0.5385,NO_ACTION,0.0,,,,False,2026-04-12
1028028519,Reed Sheppard,18448012,Memphis Grizzlies @ Houston Rockets,11,pts,OVER,15.5,100,100,-130,betway,0.625,0.742,0.625,global_side,0.4694,0.1556,0.25,0.062,12.02,"{'0.1': 6.29, '0.2': 8.98, '0.25': 10.05, '0.5': 12.02, '0.75': 15.57, '0.8': 17.0, '0.9': 19.08}",0,2,0.0752,global,True,False,"{'6': 0.1075, '7': 0.037, '8': 0.0375, '9': 0.042, '10': 0.083, '11': 0.1275, '12': 0.0995, '13': 0.0705, '14': 0.0705, '15': 0.0705, '16': 0.0375, '17': 0.0415, '18': 0.048, '19': 0.1275}",293,-293,12,-0.2149,0.2149,3.5,0.4694,0.5306,NO_ACTION,0.0,,,,False,2026-04-12
38017695,Tari Eason,18448012,Memphis Grizzlies @ Houston Rockets,11,pts,OVER,14.5,100,100,-130,fanatics,0.625,0.7591,0.625,global_side,0.4694,0.1556,0.25,0.051,12.8,"{'0.1': 6.56, '0.2': 8.31, '0.25': 9.29, '0.5': 12.8, '0.75': 15.06, '0.8': 16.09, '0.9': 18.78}",0,2,0.0752,global,True,False,"{'7': 0.1535, '8': 0.056, '9': 0.055, '10': 0.0715, '11': 0.0715, '12': 0.071, '13': 0.099, '14': 0.111, '15': 0.083, '16': 0.044, '17': 0.0375, '18': 0.037, '19': 0.11}",221,-221,13,-0.1579,0.1579,1.5,0.4694,0.5306,NO_ACTION,0.0,,,,False,2026-04-12
38017695,Tari Eason,18448012,Memphis Grizzlies @ Houston Rockets,11,reb,OVER,6.5,100,100,-125,fanatics,0.625,0.779,0.625,global_side,0.4737,0.1513,0.25,0.051,7.11,"{'0.1': 4.27, '0.2': 5.42, '0.25': 5.82, '0.5': 7.11, '0.75': 8.39, '0.8': 8.68, '0.9': 9.71}",0,2,0.0656,global,True,False,"{'4': 0.119, '5': 0.0905, '6': 0.1715, '7': 0.1955, '8': 0.193, '9': 0.111, '10': 0.1195}",-162,162,7,0.1453,-0.1453,-0.5,0.4737,0.5263,NO_ACTION,0.0,,,,False,2026-04-12
