player_id,player_name,game_id,game,team_id,stat,side,line,odds,over_odds,under_odds,bet_vendor,model_prob,model_prob_raw,model_prob_cal,cal_source,market_prob,raw_edge,ev,kelly_units,q50,q_preds,usage_bucket,mp_bucket,min_ev_applied,cal_type,cal_applied,is_sparse,pmf,fair_odds_over,fair_odds_under,pmf_median,edge_over,edge_under,line_vs_median,mkt_true_over,mkt_true_under,actual,result,profit,clv_proxy,clv,clv_is_true,grade_date
254,Luke Kennard,21681976,Houston Rockets @ Los Angeles Lakers,14,stl,UNDER,0.5,170,-225,170,betway,0.7247,0.7247,0.7247,pmf,0.3485,0.3762,0.9567,0.074,0.0,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.0, '0.4': 0.0, '0.5': 0.0, '0.6': 0.0, '0.67': 1.0, '0.75': 1.0, '0.8': 1.0, '0.9': 2.0}",0,2,0.0727,pmf_raw,False,True,"{'0': 0.6037, '1': 0.242, '2': 0.1173, '3': 0.0043, '4': 0.0045, '5': 0.0051, '6': 0.0041, '7': 0.0042, '8': 0.0053, '9': 0.0047, '10': 0.0051}",152,-152,0,-0.2552,0.2552,0.5,0.6515,0.3485,3.0,MISS,-1.0,-0.3762,-0.3762,False,2026-04-21
17896062,Alperen Sengun,21681976,Houston Rockets @ Los Angeles Lakers,11,blk,UNDER,0.5,155,-210,155,betmgm,0.7562,0.7562,0.7562,pmf,0.3666,0.3896,0.9284,0.072,0.0,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.0, '0.4': 0.0, '0.5': 0.0, '0.6': 1.0, '0.67': 1.0, '0.75': 1.0, '0.8': 1.0, '0.9': 1.0}",0,3,0.0796,pmf_raw,False,True,"{'0': 0.5947, '1': 0.3232, '2': 0.0451, '3': 0.0053, '4': 0.0047, '5': 0.0044, '6': 0.004, '7': 0.004, '8': 0.0054, '9': 0.0045, '10': 0.0051}",147,-147,0,-0.2281,0.2281,0.5,0.6334,0.3666,2.0,MISS,-1.0,-0.3896,-0.3896,False,2026-04-21
38017649,Julian Champagnie,21681975,Portland Trail Blazers @ San Antonio Spurs,27,stl,UNDER,0.5,155,-205,155,betparx,0.7404,0.7404,0.7404,pmf,0.3685,0.3719,0.888,0.069,0.0,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.0, '0.4': 0.0, '0.5': 0.0, '0.6': 0.0, '0.67': 1.0, '0.75': 1.0, '0.8': 1.0, '0.9': 2.0}",0,2,0.0743,pmf_raw,False,True,"{'0': 0.6268, '1': 0.2272, '2': 0.0831, '3': 0.0303, '4': 0.0043, '5': 0.0053, '6': 0.0039, '7': 0.004, '8': 0.0053, '9': 0.0047, '10': 0.005}",168,-168,0,-0.2583,0.2583,0.5,0.6315,0.3685,1.0,MISS,-1.0,-0.3719,-0.3719,False,2026-04-21
666609,Rui Hachimura,21681976,Houston Rockets @ Los Angeles Lakers,14,stl,UNDER,0.5,165,-225,165,betparx,0.6651,0.6651,0.6651,pmf,0.3528,0.3124,0.7626,0.055,0.0,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.0, '0.4': 0.0, '0.5': 0.0, '0.6': 1.0, '0.67': 1.0, '0.75': 1.0, '0.8': 2.0, '0.9': 2.0}",0,2,0.0797,pmf_raw,False,True,"{'0': 0.5307, '1': 0.2689, '2': 0.1477, '3': 0.0127, '4': 0.006, '5': 0.0061, '6': 0.0047, '7': 0.005, '8': 0.0066, '9': 0.0056, '10': 0.006}",113,-113,0,-0.1779,0.1779,0.5,0.6472,0.3528,0.0,HIT,1.65,-0.3123,-0.3123,False,2026-04-21
137,Andre Drummond,21682716,Philadelphia 76ers @ Boston Celtics,23,stl,UNDER,0.5,107,-140,107,betway,0.8388,0.8388,0.8388,pmf,0.453,0.3858,0.7363,0.099,0.0,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.0, '0.4': 0.0, '0.5': 0.0, '0.6': 0.0, '0.67': 0.0, '0.75': 1.0, '0.8': 1.0, '0.9': 1.0}",0,1,0.0764,pmf_raw,False,True,"{'0': 0.7354, '1': 0.2068, '2': 0.0333, '3': 0.0033, '4': 0.003, '5': 0.0028, '6': 0.0029, '7': 0.0026, '8': 0.0034, '9': 0.0031, '10': 0.0033}",278,-278,0,-0.2824,0.2824,0.5,0.547,0.453,1.0,MISS,-1.0,-0.3858,-0.3858,False,2026-04-21
1057262518,Dylan Harper,21681975,Portland Trail Blazers @ San Antonio Spurs,27,stl,UNDER,0.5,115,-160,115,betway,0.7833,0.7833,0.7833,pmf,0.4305,0.3528,0.684,0.071,0.0,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.0, '0.4': 0.0, '0.5': 0.0, '0.6': 0.0, '0.67': 0.0, '0.75': 1.0, '0.8': 1.0, '0.9': 2.0}",0,2,0.0905,pmf_raw,False,True,"{'0': 0.6728, '1': 0.221, '2': 0.0761, '3': 0.004, '4': 0.0038, '5': 0.0034, '6': 0.0036, '7': 0.0033, '8': 0.0043, '9': 0.0038, '10': 0.0041}",206,-206,0,-0.2423,0.2423,0.5,0.5695,0.4305,1.0,MISS,-1.0,-0.3528,-0.3528,False,2026-04-21
420,Marcus Smart,21681976,Houston Rockets @ Los Angeles Lakers,14,ast,UNDER,4.5,116,-137,116,betparx,0.7685,0.7685,0.7685,pmf,0.4447,0.3238,0.66,0.062,3.0,"{'0.1': 0.0, '0.2': 1.0, '0.25': 1.0, '0.33': 2.0, '0.4': 2.0, '0.5': 3.0, '0.6': 3.0, '0.67': 4.0, '0.75': 5.0, '0.8': 5.0, '0.9': 7.0}",0,3,0.051,pmf_raw,False,False,"{'0': 0.1462, '1': 0.1742, '2': 0.1475, '3': 0.1412, '4': 0.1123, '5': 0.094, '6': 0.0568, '7': 0.048, '8': 0.0297, '9': 0.021, '10': 0.0125, '11': 0.0085, '12': 0.005, '13': 0.002}",259,-259,3,-0.2768,0.2768,1.5,0.5553,0.4447,7.0,MISS,-1.0,-0.3238,-0.3238,False,2026-04-21
3547276,Payton Pritchard,21682716,Philadelphia 76ers @ Boston Celtics,2,stl,UNDER,0.5,125,-155,125,betparx,0.7286,0.7286,0.7286,pmf,0.4224,0.3062,0.6394,0.067,0.0,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.0, '0.4': 0.0, '0.5': 0.0, '0.6': 0.0, '0.67': 1.0, '0.75': 1.0, '0.8': 1.0, '0.9': 2.0}",0,2,0.0623,pmf_raw,False,True,"{'0': 0.6057, '1': 0.2459, '2': 0.1115, '3': 0.0043, '4': 0.0044, '5': 0.0051, '6': 0.0039, '7': 0.0042, '8': 0.0052, '9': 0.0046, '10': 0.005}",154,-154,0,-0.1833,0.1833,0.5,0.5776,0.4224,0.0,HIT,1.25,-0.3062,-0.3062,False,2026-04-21
17553967,Neemias Queta,21682716,Philadelphia 76ers @ Boston Celtics,2,reb,UNDER,7.5,110,-139,110,caesars,0.7712,0.7712,0.7712,pmf,0.4502,0.3211,0.6196,0.081,5.0,"{'0.1': 1.0, '0.2': 2.0, '0.25': 3.0, '0.33': 3.0, '0.4': 4.0, '0.5': 5.0, '0.6': 6.0, '0.67': 7.0, '0.75': 8.0, '0.8': 8.0, '0.9': 11.0}",0,2,0.0678,pmf_raw,False,False,"{'0': 0.0575, '1': 0.078, '2': 0.0975, '3': 0.105, '4': 0.1125, '5': 0.112, '6': 0.1027, '7': 0.0767, '8': 0.0585, '9': 0.0452, '10': 0.044, '11': 0.0283, '12': 0.0213, '13': 0.0147, '14': 0.0138, '15': 0.011, '16': 0.005, '17': 0.005, '18': 0.0037, '19': 0.0035, '20': 0.0015}",288,-288,5,-0.2918,0.2918,2.5,0.5498,0.4502,6.0,HIT,1.1,-0.321,-0.321,False,2026-04-21
38017690,Shaedon Sharpe,21681975,Portland Trail Blazers @ San Antonio Spurs,25,stl,UNDER,0.5,-105,-117,-105,betparx,0.7997,0.7997,0.7997,pmf,0.4872,0.3125,0.5613,0.078,0.0,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.0, '0.4': 0.0, '0.5': 0.0, '0.6': 0.0, '0.67': 0.0, '0.75': 1.0, '0.8': 1.0, '0.9': 2.0}",0,2,0.0614,pmf_raw,False,True,"{'0': 0.706, '1': 0.1873, '2': 0.0793, '3': 0.0037, '4': 0.0032, '5': 0.0032, '6': 0.0032, '7': 0.003, '8': 0.0038, '9': 0.0035, '10': 0.0037}",240,-240,0,-0.2188,0.2188,0.5,0.5128,0.4872,0.0,HIT,0.9523809523809523,-0.3125,-0.3125,False,2026-04-21
