auc_cal_oof,auc_raw,brier_cal_oof,brier_raw,ece_cal_oof,ece_raw,intercept_cal,intercept_final,intercept_raw,key,logloss_cal_oof,logloss_raw,n_oof,n_total,promoted,scope,slope_cal,slope_final,slope_raw
0.4766,0.6406,0.2983,0.29143,0.05417,0.22722,-0.0854,-0.0775,-0.381,PTS_UNDER,1.32639,0.78795,16,28,False,stat_side,0.0453,0.4883,0.3835
0.417,0.4853,0.28603,0.24723,0.08922,0.11956,0.541,0.2162,0.4888,REB_UNDER,1.08288,0.694,45,56,False,stat_side,-0.0502,0.5028,0.0108
0.5024,0.555,0.29895,0.2361,0.08339,0.119,0.5411,0.1429,0.2666,AST_UNDER,1.46732,0.66616,30,41,False,stat_side,0.0223,0.4798,0.3031
0.5156,0.4844,0.26246,0.2777,0.05751,0.22192,0.406,0.1932,0.8389,FG3M_UNDER,0.71933,0.76942,20,34,False,stat_side,0.0297,0.5823,-0.3849
0.61,0.455,0.3274,0.29946,0.0,0.28262,0.2268,-0.1865,0.047,BLK_UNDER,1.54081,0.80387,20,31,False,stat_side,0.0748,0.6171,-0.0524
0.5179,0.4857,0.28085,0.3365,0.0,0.42282,-0.6996,-0.1339,-0.3991,STL_UNDER,1.32832,0.88634,24,38,False,stat_side,-0.2317,0.685,0.0661
0.4065,0.5,0.27788,0.25495,0.12728,0.10528,0.4303,,0.4182,global_OVER,1.13881,0.70908,35,46,False,global,-0.0292,,-0.0148
0.4909,0.536,0.27295,0.29326,0.05353,0.2043,0.0928,,-0.1758,global_UNDER,1.02752,0.7945,190,228,False,global,-0.013,,0.2604
