feature,importance
per_min_reb_last10,1990
per_min_ast_last10,1913
mp_trend_3v10,1834
opp_allowed_pts_ewma,1727
mp_q25,1592
per_min_pts_last10,1581
spread_for_team,1491
implied_team_total,1476
pts_per_min_trend_3v10,1434
mp_ewma_10,1425
per_min_fga_last10,1424
per_min_pf_last10,1391
mp_vol_last10,1285
adv_mean_usage_percentage_last10,1258
mp_q75,1209
mp_pred_floor,1106
slope5_pf,1095
mp_pred_ceiling,1057
pts_regime_shift_gated,906
rest_days,837
games_since_return,803
mp_mean_last10,398
cv_min,315
reb_chances_per_game,217
above_mean_pct_min,165
is_home,137
is_injury_elevated_role,130
back_to_back,124
limited_return_game,76
three_in_4,42
is_recent_rotation_change,40
four_in_6,36
is_stable_role_player,35
is_high_minutes_uncertainty,34
did_not_play_last_team_game,30
returned_from_absence,18
dnp_injury,13
dnp_coach_decision,7
is_bench_fragile_minutes,6
dnp_rest,6
vacated_minutes,0
consensus_total,0
blowout_risk_x_mp_vol_gated,0
