player_id,player_name,team,game_id,stat,line,exp_mp_contextual,contextual_minutes_delta,contextual_pmf_mean_baseline,contextual_pmf_mean_post,contextual_pmf_mean_shift_ratio,contextual_pmf_applied,contextual_feature_set_id,lineup_confirmed,confirmed_starter,confirmed_bench,contextual_rate_delta_pts,contextual_rate_delta_reb,contextual_rate_delta_ast,contextual_rate_delta_tov,contextual_rate_delta_stl,contextual_rate_delta_blk,contextual_rate_delta_fg3m
399,Mitchell Robinson,NYK,21716137,reb,4.5,14.44336901446135,14.44336901446135,,,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.02897289327366713,0.008018918950995057,0.008635459400597775,0.004796264632817122,0.0020225504894796948,-0.0005941013418854614,-0.0014756861075898887
18,OG Anunoby,NYK,21716137,pts,16.5,14.44336901446135,14.44336901446135,,,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.02897289327366713,0.008018918950995057,0.008635459400597775,0.004796264632817122,0.0020225504894796948,-0.0005941013418854614,-0.0014756861075898887
414,Landry Shamet,NYK,21716137,stl,0.5,14.44336901446135,14.44336901446135,,,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.02897289327366713,0.008018918950995057,0.008635459400597775,0.004796264632817122,0.0020225504894796948,-0.0005941013418854614,-0.0014756861075898887
161,De'Aaron Fox,SAS,21716137,pts,14.5,14.44336901446135,14.44336901446135,,,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.02897289327366713,0.008018918950995057,0.008635459400597775,0.004796264632817122,0.0020225504894796948,-0.0005941013418854614,-0.0014756861075898887
1028025261,Stephon Castle,SAS,21716137,pts,16.5,14.44336901446135,14.44336901446135,,,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.02897289327366713,0.008018918950995057,0.008635459400597775,0.004796264632817122,0.0020225504894796948,-0.0005941013418854614,-0.0014756861075898887
1057262518,Dylan Harper,SAS,21716137,pts,13.5,14.44336901446135,14.44336901446135,,,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.02897289327366713,0.008018918950995057,0.008635459400597775,0.004796264632817122,0.0020225504894796948,-0.0005941013418854614,-0.0014756861075898887
666682,Keldon Johnson,SAS,21716137,reb,2.5,14.44336901446135,14.44336901446135,,,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.02897289327366713,0.008018918950995057,0.008635459400597775,0.004796264632817122,0.0020225504894796948,-0.0005941013418854614,-0.0014756861075898887
61,Mikal Bridges,NYK,21716137,reb,3.5,14.44336901446135,14.44336901446135,,,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.02897289327366713,0.008018918950995057,0.008635459400597775,0.004796264632817122,0.0020225504894796948,-0.0005941013418854614,-0.0014756861075898887
56677822,Victor Wembanyama,SAS,21716137,pts,27.5,14.44336901446135,14.44336901446135,,,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.02897289327366713,0.008018918950995057,0.008635459400597775,0.004796264632817122,0.0020225504894796948,-0.0005941013418854614,-0.0014756861075898887
447,Karl-Anthony Towns,NYK,21716137,pts,17.5,14.44336901446135,14.44336901446135,,,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.02897289327366713,0.008018918950995057,0.008635459400597775,0.004796264632817122,0.0020225504894796948,-0.0005941013418854614,-0.0014756861075898887
73,Jalen Brunson,NYK,21716137,pts,27.5,14.44336901446135,14.44336901446135,,,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.02897289327366713,0.008018918950995057,0.008635459400597775,0.004796264632817122,0.0020225504894796948,-0.0005941013418854614,-0.0014756861075898887
202,Josh Hart,NYK,21716137,pts,10.5,14.44336901446135,14.44336901446135,,,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.02897289327366713,0.008018918950995057,0.008635459400597775,0.004796264632817122,0.0020225504894796948,-0.0005941013418854614,-0.0014756861075898887
17896033,Miles McBride,NYK,21716137,fg3m,0.5,14.44336901446135,14.44336901446135,,,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.02897289327366713,0.008018918950995057,0.008635459400597775,0.004796264632817122,0.0020225504894796948,-0.0005941013418854614,-0.0014756861075898887
3547246,Devin Vassell,SAS,21716137,pts,12.5,14.44336901446135,14.44336901446135,,,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.02897289327366713,0.008018918950995057,0.008635459400597775,0.004796264632817122,0.0020225504894796948,-0.0005941013418854614,-0.0014756861075898887
38017649,Julian Champagnie,SAS,21716137,pts,9.5,14.44336901446135,14.44336901446135,,,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.02897289327366713,0.008018918950995057,0.008635459400597775,0.004796264632817122,0.0020225504894796948,-0.0005941013418854614,-0.0014756861075898887
