player_id,player_name,team,opponent,game_id
399,Mitchell Robinson,NYK,SAS,21716137
18,OG Anunoby,NYK,SAS,21716137
414,Landry Shamet,NYK,SAS,21716137
161,De'Aaron Fox,SAS,NYK,21716137
1028025261,Stephon Castle,SAS,NYK,21716137
1057262518,Dylan Harper,SAS,NYK,21716137
666682,Keldon Johnson,SAS,NYK,21716137
61,Mikal Bridges,NYK,SAS,21716137
56677822,Victor Wembanyama,SAS,NYK,21716137
447,Karl-Anthony Towns,NYK,SAS,21716137
73,Jalen Brunson,NYK,SAS,21716137
202,Josh Hart,NYK,SAS,21716137
17896033,Miles McBride,NYK,SAS,21716137
3547246,Devin Vassell,SAS,NYK,21716137
38017649,Julian Champagnie,SAS,NYK,21716137
