stat,role_bucket,book,line,player_id,market_logloss,market_brier,market_no_vig_over_prob,actual_outcome,is_push
pts,rotation,williamhill_us,7.5,89,0.6931471805599453,0.25,0.5,31,False
pts,rotation,betonlineag,7.5,89,0.6728386153192513,0.2398471348491637,0.5102580936358787,31,False
pts,rotation,betmgm,7.5,89,0.6731064296764991,0.2399809864118408,0.5101214574898786,31,False
pts,rotation,bovada,9.5,89,1.07880966137193,0.4356,0.3399999999999999,31,False
pts,rotation,bovada,8.5,89,0.8953318808533117,0.3499053604656219,0.4084720121028743,31,False
pts,rotation,bovada,7.5,89,0.713597791031236,0.2602239013915979,0.4898785425101215,31,False
pts,rotation,bovada,5.5,89,0.4155154439616658,0.1155999999999999,0.66,31,False
pts,rotation,bovada,6.5,89,0.5531011069142291,0.1804861378102439,0.5751633986928104,31,False
pts,rotation,draftkings,7.5,89,0.6644213646222928,0.2356411289232329,0.5145711906744379,31,False
pts,rotation,fanduel,5.5,89,0.4167555506238563,0.1161568839794495,0.6591820368885326,31,False
pts,rotation,fanduel,6.5,89,0.5673505196758413,0.1874666804679212,0.5670257738988136,31,False
pts,rotation,fanduel,7.5,89,0.6810823676031383,0.2439678888768087,0.5060689431946916,31,False
pts,rotation,fanduel,8.5,89,0.874591159412541,0.3398511239700892,0.4170324846356453,31,False
pts,rotation,fanduel,9.5,89,1.0812067859716514,0.4366752037727172,0.3391859537110934,31,False
pts,rotation,fanduel,4.5,89,0.3007541540191337,0.0674650025299375,0.7402597402597403,31,False
pts,rotation,fanduel,3.5,89,0.2520700006629039,0.0496441480088717,0.777190332326284,31,False
pts,rotation,fanduel,7.5,89,0.6848707004578386,0.2458618550277361,0.5041554124246831,31,False
pts,rotation,fliff,7.5,89,0.6743672859083488,0.2406111722557893,0.5094786729857821,31,False
pts,rotation,betparx,8.5,89,0.8387287319883681,0.3223290570960833,0.432259692204188,31,False
pts,rotation,betparx,7.5,89,0.649977832943169,0.2284291775419782,0.5220573491076799,31,False
pts,rotation,espnbet,7.5,89,0.713597791031236,0.2602239013915979,0.4898785425101215,31,False
pts,rotation,hardrockbet_fl,7.5,89,0.6931471805599453,0.25,0.5,31,False
pts,rotation,hardrockbet,7.5,89,0.6931471805599453,0.25,0.5,31,False
pts,rotation,hardrockbet_az,7.5,89,0.6931471805599453,0.25,0.5,31,False
reb,rotation,williamhill_us,3.5,89,0.5434072628502025,0.1757571008461118,0.4192339452455059,2,False
reb,rotation,bovada,2.5,89,0.8953318808533115,0.3499053604656219,0.5915279878971256,2,False
reb,rotation,bovada,3.5,89,0.5079847127643867,0.1586373376445997,0.3982930298719772,2,False
reb,rotation,betmgm,3.5,89,0.520714455895238,0.1647581051456271,0.4059040590405904,2,False
reb,rotation,betonlineag,3.5,89,0.5259410624491279,0.1672818706108332,0.4090010643150372,2,False
reb,rotation,draftkings,3.5,89,0.5112864798142418,0.1602212363623582,0.4002764499222484,2,False
reb,rotation,hardrockbet_fl,2.5,89,0.8953318808533115,0.3499053604656219,0.5915279878971256,2,False
reb,rotation,espnbet,4.5,89,0.3088842801023837,0.0706146999853293,0.2657342657342657,2,False
reb,rotation,espnbet,3.5,89,0.5387158777478231,0.173474704822044,0.4165029469548134,2,False
reb,rotation,espnbet,2.5,89,0.9808292530117262,0.390625,0.625,2,False
