date,book,player_key,player_name,player_id,team,opponent,stat,line,actual,result,model_p_over,model_p_under,model_p_push,model_result_prob,market_over_odds,market_under_odds,market_no_vig_over_prob,edge_over
2026-05-24,draftkings,89,Alex Caruso,89,OKC,SAS,pts,10.5,0.0,under,0.49820000000000003,0.5018,0.0,0.5018,-125,-105,0.5203,-0.022099999999999953
2026-05-24,fanduel,89,Alex Caruso,89,OKC,SAS,pts,10.5,0.0,under,0.49820000000000003,0.5018,0.0,0.5018,-122,-108,0.5142,-0.01599999999999996
2026-05-24,betrivers,89,Alex Caruso,89,OKC,SAS,pts,9.5,0.0,under,0.5721,0.4279,0.0,0.4279,-159,115,0.5689,0.0032000000000000917
2026-05-24,betrivers,89,Alex Caruso,89,OKC,SAS,pts,11.5,0.0,under,0.42660000000000003,0.5734,0.0,0.5734,120,-167,0.4209,0.005700000000000038
2026-05-24,betrivers,89,Alex Caruso,89,OKC,SAS,pts,10.5,0.0,under,0.49820000000000003,0.5018,0.0,0.5018,-114,-120,0.4941,0.004100000000000048
2026-05-24,betmgm,89,Alex Caruso,89,OKC,SAS,pts,10.5,0.0,under,0.49820000000000003,0.5018,0.0,0.5018,-125,-105,0.5203,-0.022099999999999953
2026-05-24,bovada,89,Alex Caruso,89,OKC,SAS,pts,10.5,0.0,under,0.49820000000000003,0.5018,0.0,0.5018,-115,-115,0.5,-0.0017999999999999683
2026-05-24,williamhill_us,89,Alex Caruso,89,OKC,SAS,pts,10.5,0.0,under,0.49820000000000003,0.5018,0.0,0.5018,-125,-107,0.518,-0.019799999999999984
2026-05-24,betparx,89,Alex Caruso,89,OKC,SAS,pts,11.5,0.0,under,0.42660000000000003,0.5734,0.0,0.5734,120,-167,0.4209,0.005700000000000038
2026-05-24,betparx,89,Alex Caruso,89,OKC,SAS,pts,10.5,0.0,under,0.49820000000000003,0.5018,0.0,0.5018,-112,-118,0.4939,0.004300000000000026
2026-05-24,betparx,89,Alex Caruso,89,OKC,SAS,pts,9.5,0.0,under,0.5721,0.4279,0.0,0.4279,-159,115,0.5689,0.0032000000000000917
2026-05-24,espnbet,89,Alex Caruso,89,OKC,SAS,pts,10.5,0.0,under,0.49820000000000003,0.5018,0.0,0.5018,-120,-110,0.5101,-0.011899999999999966
2026-05-24,hardrockbet_fl,89,Alex Caruso,89,OKC,SAS,pts,11.5,0.0,under,0.42660000000000003,0.5734,0.0,0.5734,-135,-110,0.5231,-0.09649999999999997
2026-05-24,hardrockbet,89,Alex Caruso,89,OKC,SAS,pts,11.5,0.0,under,0.42660000000000003,0.5734,0.0,0.5734,-110,-130,0.481,-0.05439999999999995
2026-05-24,hardrockbet_az,89,Alex Caruso,89,OKC,SAS,pts,10.5,0.0,under,0.49820000000000003,0.5018,0.0,0.5018,-125,-115,0.5095,-0.011299999999999921
2026-05-24,bovada,89,Alex Caruso,89,OKC,SAS,reb,3.5,2.0,under,0.5912999999999999,0.40869999999999995,0.0,0.40869999999999995,-105,-125,0.4797,0.11159999999999992
2026-05-24,draftkings,89,Alex Caruso,89,OKC,SAS,reb,3.5,2.0,under,0.5912999999999999,0.40869999999999995,0.0,0.40869999999999995,-115,-115,0.5,0.09129999999999994
2026-05-24,betmgm,89,Alex Caruso,89,OKC,SAS,reb,3.5,2.0,under,0.5912999999999999,0.40869999999999995,0.0,0.40869999999999995,100,-135,0.4653,0.12599999999999995
2026-05-24,betrivers,89,Alex Caruso,89,OKC,SAS,reb,3.5,2.0,under,0.5912999999999999,0.40869999999999995,0.0,0.40869999999999995,-113,-121,0.4921,0.09919999999999995
2026-05-24,williamhill_us,89,Alex Caruso,89,OKC,SAS,reb,3.5,2.0,under,0.5912999999999999,0.40869999999999995,0.0,0.40869999999999995,-106,-125,0.4808,0.11049999999999993
2026-05-24,fanduel,89,Alex Caruso,89,OKC,SAS,reb,3.5,2.0,under,0.5912999999999999,0.40869999999999995,0.0,0.40869999999999995,104,-138,0.4581,0.13319999999999993
