stat,n,nll_mean,rps_mean,mean_error,abs_mean_error,outcome_prob_assigned_mean
ast,15,1.710128880209773,0.03107075061366055,-0.0846994035569022,1.0928642433196443,0.23028184320349102
blk,15,0.7943378370119569,0.02898098019310719,0.21387393248208497,0.5705349649968876,0.5763054175480777
fg3m,15,1.3693953878994685,0.03680186214485008,0.14131167827542154,0.9082544206019268,0.3300720449077607
pa,15,3.0775313112878324,0.029562076249932442,-0.30235878065287725,4.314622779072537,0.04953820052989906
pr,15,3.2574378116936975,0.03365554235791105,0.29681162716783355,5.245845946102645,0.0430266442302383
pra,15,3.314646957504226,0.03120327559940716,0.21211222361093066,5.500327471141473,0.04074415169015119
pts,15,3.133988925341496,0.03501846184150499,-0.21765937709597533,4.178297445763772,0.048793529438733406
ra,15,2.544194752882925,0.033394982053815817,0.4297716007069066,2.500819473194592,0.09839941028455268
reb,15,2.2100375994297723,0.040540839192655845,0.5144710042638082,1.822434701238222,0.12966900410689922
stl,15,1.8451054631319104,0.0741226270754718,-0.5300590547944719,1.0162122014909416,0.34162197513642845
stocks,15,1.9245352077716722,0.04610618788193991,-0.31618512231238677,1.2307485184143583,0.2452696704832011
tov,15,1.8920173354815693,0.08026930197976262,-0.2686195798877372,1.4110520826204913,0.23288292788012255
