bucket_dimension,bucket_value,n,thin_sample,mean_AE,variance_AE,std_residual_mean,std_residual_sd,pmf_nll_mean,pmf_rps_mean,brier_over_model_mean,brier_over_market_mean,logloss_over_model_mean,logloss_over_market_mean,coverage_10,coverage_25,coverage_50,coverage_75,coverage_90,sum_actual,sum_expected_mean,sum_expected_variance,sum_sq_residual
edge_bucket,0_to_5pct,28,True,0.8325876356540015,0.6073344447541825,-0.1855532453401512,0.879061579813764,2.1678661850089265,0.10693593570254623,0.2836744107142857,0.2780210735714286,0.7675443751294058,0.7526250815222623,0.21428571428571427,0.42857142857142855,0.6428571428571429,0.8928571428571429,0.9642857142857143,153.0,183.76443925907904,605.2039821849177,367.56122448329717
edge_bucket,10_to_20pct,184,False,1.055383962094564,0.7330556620213209,0.1124231700312687,1.0046341349388408,2.3220319801357614,0.1130197227240558,0.2449967179347826,0.2448552066847826,0.6880465850131222,0.6858224367727546,0.17391304347826086,0.30434782608695654,0.5760869565217391,0.7717391304347826,0.9347826086956522,1089.0,1031.8519506765292,2964.5697771793566,2173.194660618613
edge_bucket,5_to_10pct,129,False,1.0555528395089913,0.948717027828782,0.1248621477482037,0.9902535072646916,2.2296214412407838,0.1185191002951088,0.25503670697674413,0.2469937668992248,0.7042392708052609,0.687158698938825,0.20930232558139536,0.32558139534883723,0.5271317829457365,0.8062015503875969,0.9302325581395349,675.0,639.4753296424155,1797.6366307631283,1705.4484814537407
edge_bucket,ge_20pct,50,False,1.2093519150798357,0.8076154053637835,0.21728476403191282,0.9539548733270634,2.0650877688942826,0.12420097472068312,0.3250427838,0.2410816334,0.8700485129586351,0.6751654620266909,0.26,0.28,0.44,0.74,0.94,352.0,291.06498746211736,850.4418137170832,686.8299101234334
injury_context,fallback_used,130,False,1.0990414006064224,0.9022772374427019,0.26103873552951135,1.1252907132281054,2.324997539016035,0.14438758245051037,0.29556497353846156,0.25785243546153847,0.7969958837849032,0.7100632312415593,0.23076923076923078,0.2923076923076923,0.5076923076923077,0.7230769230769231,0.9,623.0,566.8576267065507,1491.677834488401,1345.9069556567065
injury_context,latest_valid_report_selected,128,False,0.9838141803375151,0.8452773778935156,0.004512546722153406,0.9383952870188869,2.2635431690965477,0.11171553665306735,0.2695421428125,0.2507984278125,0.7429319075104709,0.6989744755041021,0.1875,0.3359375,0.578125,0.828125,0.953125,790.0,802.9971673400523,2477.7441469489686,2094.38107562403
injury_context,unavailable,96,False,1.0911831948591355,0.6972213695413297,0.06410547813899754,0.9010842951140285,2.161949851699307,0.09427899546669312,0.22085101677083332,0.23177133666666663,0.6311545655068328,0.6561011480197098,0.1875,0.34375,0.5625,0.8229166666666666,0.9479166666666666,614.0,562.6919502542955,1628.9997399864656,1135.7734296958336
injury_context,unknown,37,False,1.1329059604556626,0.576291974375418,0.04851513991154742,0.7758813610577501,2.1432243354170026,0.08562405081187145,0.21750312270270267,0.24003140540540543,0.6255545509679625,0.6730787237144124,0.16216216216216217,0.2702702702702703,0.5405405405405406,0.7837837837837838,0.972972972972973,242.0,213.60996273924266,619.4304824206499,356.972815702514
line_bucket,10_to_15,34,False,1.005013433030069,0.8521358026591566,0.038655402442379465,0.9422874203243322,3.2333002603381096,0.10944803547793572,0.2516885317647059,0.25127092529411765,0.6981347152935663,0.695701361770091,0.11764705882352941,0.23529411764705882,0.5,0.7058823529411765,0.9705882352941176,405.0,402.9796883201289,1545.9977758680616,1317.4000556486014
line_bucket,15_to_20,18,True,0.9841945888103478,0.9051736307106354,-0.009092397795351401,1.0123836169478357,3.3718008027646316,0.10587154330398024,0.24500890944444442,0.24790673833333335,0.6821221844439758,0.6889711919042502,0.1111111111111111,0.2777777777777778,0.5555555555555556,0.8333333333333334,0.8888888888888888,270.0,274.3359931762726,976.5550037171464,883.9518383032874
line_bucket,1_to_1p5,57,False,1.1612294516819683,1.1079304978367297,0.23640829111872214,1.194755316527937,1.888295978743701,0.1692229769707602,0.27326090789473684,0.24682303298245611,0.7567121609431958,0.6959312175734187,0.24561403508771928,0.3508771929824561,0.5964912280701754,0.8070175438596491,0.8947368421052632,80.0,68.8925,76.08194358272998,84.29350563
line_bucket,2_to_2p5,20,True,1.0285445604686245,0.7558387468358979,0.021736923907207172,0.8725953656358056,1.577259788584091,0.1158539926,0.19875161199999997,0.22809191350000005,0.5851807220239476,0.6489127968138204,0.15,0.3,0.7,0.85,0.95,42.0,40.834399999999995,37.139224837986006,28.071265159999996
line_bucket,3_to_5,30,False,1.0053218527017764,0.5345026889840514,0.02498700322919844,0.7570347187294252,2.0246493952442566,0.07886267479626102,0.24670318900000002,0.24519603266666667,0.687814948587594,0.6835229638261695,0.1,0.2,0.5333333333333333,0.9,0.9666666666666667,102.0,101.46004458758918,154.80782344040878,82.74519790466675
line_bucket,4_to_7,29,True,1.0491707596418114,1.1076776956713323,0.1021070550857724,1.1128986325932684,2.4677966606654658,0.11361614197404374,0.24143597310344825,0.24480475413793104,0.6762432537735663,0.6827252535344706,0.13793103448275862,0.3448275862068966,0.5862068965517241,0.7586206896551724,0.8620689655172413,141.0,134.3918506155639,237.77439969634779,263.37739914528487
line_bucket,5_to_8,17,True,1.0390515982844477,0.555794713341376,0.051672657142725766,0.732130078887514,2.2335849739084725,0.07623001230792308,0.1779366752941176,0.2457921205882353,0.5406472796180308,0.684723741210802,0.058823529411764705,0.17647058823529413,0.5294117647058824,0.8823529411764706,1.0,98.0,94.3167790336932,146.07697404489465,81.18880991505785
line_bucket,7_to_10,16,True,1.0726841498688766,0.8196400839359883,0.17009898483733743,0.948780606282744,2.5779188786670737,0.09528104109471072,0.23675664374999997,0.256915064375,0.6656152510296593,0.7070424287344962,0.0625,0.25,0.4375,0.75,0.9375,121.0,112.80114469370213,204.6630728819323,167.7500582355443
