snapshot_type,n_rows,n_scored,n_market_joined,n_books,n_players,n_games,model_brier_avg,market_brier_avg,model_logloss_avg,market_logloss_avg,model_rps_avg,market_rps_avg,market_coverage_status,availability_freshness_status,failure_reason,market_superiority_pass,brier_delta_model_minus_market,logloss_delta_model_minus_market,rps_delta_model_minus_market,rps_status,model_beats_market_brier,model_beats_market_logloss,model_beats_market_rps,calibration_pass,model_ece,market_ece,model_calibration_slope,model_calibration_intercept,market_calibration_slope,market_calibration_intercept,pit_ks,mean_error,variance_error,p0_error,model_better_calibrated
close_or_lock,2276,1330,1330,6,50,9,0.2661406374471183,0.24203221908441408,0.7524313326542201,0.6763419982527986,1.9542505999773598,,covered,unknown,model_logloss_not_better,False,0.02410841836270422,0.07608933440142152,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
historical_lock_minus_5m,4884,3127,3127,8,34,2,0.2300750276908371,0.2121308995602116,1.0509388429828654,0.6122813511280105,2.804277025405095,,covered,unknown,model_logloss_not_better,False,0.017944128130625486,0.4386574918548549,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
