book,n,clv_close_minus_morning_p_mean,clv_book_close_minus_morning_p_mean,model_edge_movement_mean
betmgm,45,-0.09078733816836246,6.1679056923619804e-18,-6.1679056923619804e-18
betonlineag,44,-0.08652799301285198,-0.0003404570732900115,0.0003404570732900115
betparx,59,-0.11019929535464575,-0.0008937092725921085,0.0008937092725921085
betrivers,59,-0.1104290903355777,-0.0008423012237078349,0.0008423012237078349
bovada,191,-0.10542773469772175,-0.005643811102430759,0.005643811102430759
draftkings,52,-0.10031094296721375,-0.008770538198142722,0.008770538198142722
espnbet,134,-0.08634528618447782,-0.0005940433644019233,0.0005940433644019233
fanatics,6,-0.10202474211161683,-0.00619957661428,0.00619957661428
fanduel,170,-0.09888727262602445,-0.004255558861355641,0.004255558861355641
fliff,53,-0.09934726435437194,-0.006003410963770327,0.006003410963770328
hardrockbet,56,-0.09336066683206032,-0.007607953705892239,0.007607953705892239
hardrockbet_az,54,-0.08597330150434068,-0.006940468124893086,0.006940468124893086
hardrockbet_fl,50,-0.11425275195585387,-0.006500979876743498,0.006500979876743498
williamhill_us,50,-0.11678856091244941,-0.008054158142396167,0.008054158142396167
