stat,n,clv_close_minus_morning_p_mean,clv_book_close_minus_morning_p_mean,model_edge_movement_mean
ast,164,-0.1611099733752376,-0.005331988476193411,0.005331988476193411
fg3m,223,-0.05932419846226494,-0.008865814230653269,0.008865814230653265
pts,325,-0.11322271630282575,-0.002289986272485968,0.002289986272485968
reb,311,-0.0819786744830324,-0.002430332893322311,0.002430332893322311
