player_id,player_name,game_id,game,team_id,stat,side,line,odds,bet_vendor,model_prob,market_prob,ev,kelly_units,q50,q_preds,usage_bucket,mp_bucket,actual,result,profit,clv,clv_proxy,clv_is_true,grade_date
38017727,Collin Gillespie,18447804,Phoenix Suns @ Boston Celtics,24,blk,OVER,0.5,450,betmgm,0.3945,0.1681,1.1697,0.065,0.32,"{'0.1': 0.32, '0.2': 0.32, '0.25': 0.32, '0.33': 0.32, '0.4': 0.32, '0.5': 0.32, '0.6': 0.47, '0.67': 0.85, '0.75': 1.14, '0.8': 1.19, '0.9': 1.2}",0,3,0.0,MISS,-1.0,0.2264,0.2264,True,2026-03-16
139,Kris Dunn,18447808,San Antonio Spurs @ LA Clippers,13,blk,OVER,0.5,500,betmgm,0.3568,0.1549,1.1409,0.057,0.33,"{'0.1': 0.32, '0.2': 0.32, '0.25': 0.32, '0.33': 0.32, '0.4': 0.32, '0.5': 0.33, '0.6': 0.38, '0.67': 0.41, '0.75': 0.56, '0.8': 0.7, '0.9': 0.84}",0,2,1.0,HIT,5.0,0.2019,0.2019,False,2026-03-16
3547293,Naji Marshall,18447806,Dallas Mavericks @ New Orleans Pelicans,7,blk,OVER,0.5,450,betmgm,0.3888,0.1681,1.1384,0.063,0.32,"{'0.1': 0.32, '0.2': 0.32, '0.25': 0.32, '0.33': 0.32, '0.4': 0.32, '0.5': 0.32, '0.6': 0.4, '0.67': 0.7, '0.75': 0.87, '0.8': 0.92, '0.9': 1.16}",0,2,0.0,MISS,-1.0,0.2207,0.2207,False,2026-03-16
3547276,Payton Pritchard,18447804,Phoenix Suns @ Boston Celtics,2,blk,OVER,0.5,425,betway,0.3857,0.1765,1.025,0.06,0.32,"{'0.1': 0.32, '0.2': 0.32, '0.25': 0.32, '0.33': 0.32, '0.4': 0.32, '0.5': 0.32, '0.6': 0.36, '0.67': 0.66, '0.75': 0.66, '0.8': 0.78, '0.9': 0.81}",0,3,0.0,MISS,-1.0,0.2092,0.2092,False,2026-03-16
30,Harrison Barnes,18447808,San Antonio Spurs @ LA Clippers,27,blk,OVER,0.5,425,betway,0.384,0.1765,1.0161,0.06,0.32,"{'0.1': 0.32, '0.2': 0.32, '0.25': 0.32, '0.33': 0.32, '0.4': 0.32, '0.5': 0.32, '0.6': 0.36, '0.67': 0.63, '0.75': 0.63, '0.8': 0.76, '0.9': 1.0}",0,1,0.0,MISS,-1.0,0.2075,0.2075,False,2026-03-16
315,Khris Middleton,18447806,Dallas Mavericks @ New Orleans Pelicans,7,blk,OVER,0.5,475,betway,0.3482,0.1606,1.0019,0.053,0.32,"{'0.1': 0.32, '0.2': 0.32, '0.25': 0.32, '0.33': 0.32, '0.4': 0.32, '0.5': 0.32, '0.6': 0.33, '0.67': 0.33, '0.75': 0.51, '0.8': 0.58, '0.9': 0.65}",0,2,0.0,MISS,-1.0,0.1876,0.1876,False,2026-03-16
1028028434,Baylor Scheierman,18447804,Phoenix Suns @ Boston Celtics,2,blk,OVER,0.5,425,betway,0.3809,0.1765,0.9999,0.059,0.32,"{'0.1': 0.32, '0.2': 0.32, '0.25': 0.32, '0.33': 0.32, '0.4': 0.32, '0.5': 0.32, '0.6': 0.33, '0.67': 0.59, '0.75': 0.68, '0.8': 0.82, '0.9': 1.07}",0,2,0.0,MISS,-1.0,0.2044,0.2044,False,2026-03-16
254,Luke Kennard,18447807,Los Angeles Lakers @ Houston Rockets,14,blk,OVER,0.5,475,betway,0.3436,0.1619,0.9754,0.051,0.32,"{'0.1': 0.32, '0.2': 0.32, '0.25': 0.32, '0.33': 0.32, '0.4': 0.32, '0.5': 0.32, '0.6': 0.32, '0.67': 0.32, '0.75': 0.49, '0.8': 0.55, '0.9': 0.65}",0,1,0.0,MISS,-1.0,0.1817,0.1817,False,2026-03-16
3547256,Saddiq Bey,18447806,Dallas Mavericks @ New Orleans Pelicans,19,blk,OVER,0.5,375,betmgm,0.4132,0.1954,0.9627,0.064,0.33,"{'0.1': 0.32, '0.2': 0.32, '0.25': 0.32, '0.33': 0.32, '0.4': 0.32, '0.5': 0.33, '0.6': 0.66, '0.67': 1.11, '0.75': 1.11, '0.8': 1.11, '0.9': 1.13}",0,3,0.0,MISS,-1.0,0.2178,0.2178,False,2026-03-16
17895966,Jalen Green,18447804,Phoenix Suns @ Boston Celtics,24,blk,OVER,0.5,375,betmgm,0.3638,0.1954,0.7279,0.049,0.32,"{'0.1': 0.32, '0.2': 0.32, '0.25': 0.32, '0.33': 0.32, '0.4': 0.32, '0.5': 0.32, '0.6': 0.34, '0.67': 0.4, '0.75': 0.7, '0.8': 0.71, '0.9': 1.06}",0,2,0.0,MISS,-1.0,0.1684,0.1684,True,2026-03-16
17896062,Alperen Sengun,18447807,Los Angeles Lakers @ Houston Rockets,11,fg3m,OVER,0.5,184,draftkings,0.6015,0.3371,0.7083,0.096,0.79,"{'0.1': 0.51, '0.2': 0.53, '0.25': 0.59, '0.33': 0.79, '0.4': 0.79, '0.5': 0.79, '0.6': 0.79, '0.67': 0.84, '0.75': 0.84, '0.8': 0.85, '0.9': 1.44}",0,3,,NO_ACTION,0.0,,,False,2026-03-16
666609,Rui Hachimura,18447807,Los Angeles Lakers @ Houston Rockets,14,reb,OVER,3.0,270,caesars,0.4607,0.3166,0.7046,0.065,3.58,"{'0.1': 1.24, '0.2': 1.75, '0.25': 2.08, '0.33': 2.66, '0.4': 2.88, '0.5': 3.58, '0.6': 3.6, '0.67': 4.07, '0.75': 4.16, '0.8': 4.49, '0.9': 5.72}",0,2,3.0,PUSH,0.0,0.1441,0.1441,False,2026-03-16
214,Jrue Holiday,18447803,Portland Trail Blazers @ Brooklyn Nets,25,blk,OVER,0.5,325,betmgm,0.394,0.2176,0.6747,0.052,0.32,"{'0.1': 0.32, '0.2': 0.32, '0.25': 0.32, '0.33': 0.32, '0.4': 0.32, '0.5': 0.32, '0.6': 0.45, '0.67': 0.89, '0.75': 0.89, '0.8': 0.89, '0.9': 0.89}",0,3,0.0,MISS,-1.0,0.1732,0.1764,True,2026-03-16
1028039105,Jaylen Wells,18447805,Memphis Grizzlies @ Chicago Bulls,15,blk,OVER,0.5,350,betway,0.3679,0.208,0.6556,0.047,0.32,"{'0.1': 0.32, '0.2': 0.32, '0.25': 0.32, '0.33': 0.32, '0.4': 0.32, '0.5': 0.32, '0.6': 0.32, '0.67': 0.46, '0.75': 0.66, '0.8': 0.76, '0.9': 0.94}",0,2,0.0,MISS,-1.0,0.1599,0.1599,False,2026-03-16
666682,Keldon Johnson,18447808,San Antonio Spurs @ LA Clippers,27,blk,OVER,0.5,325,betway,0.3709,0.2176,0.5763,0.044,0.33,"{'0.1': 0.32, '0.2': 0.32, '0.25': 0.32, '0.33': 0.32, '0.4': 0.32, '0.5': 0.33, '0.6': 0.34, '0.67': 0.49, '0.75': 0.69, '0.8': 0.84, '0.9': 0.84}",0,1,0.0,MISS,-1.0,0.1533,0.1533,False,2026-03-16
1028025235,Carlton Carrington,18447802,Golden State Warriors @ Washington Wizards,30,blk,OVER,0.5,320,betway,0.3706,0.2196,0.5565,0.043,0.32,"{'0.1': 0.32, '0.2': 0.32, '0.25': 0.32, '0.33': 0.32, '0.4': 0.32, '0.5': 0.32, '0.6': 0.42, '0.67': 0.47, '0.75': 0.87, '0.8': 0.98, '0.9': 1.04}",0,2,0.0,MISS,-1.0,0.151,0.151,False,2026-03-16
56677825,Amen Thompson,18447807,Los Angeles Lakers @ Houston Rockets,11,fg3m,OVER,0.5,165,betway,0.574,0.3557,0.5211,0.079,0.62,"{'0.1': 0.52, '0.2': 0.52, '0.25': 0.54, '0.33': 0.62, '0.4': 0.62, '0.5': 0.62, '0.6': 0.62, '0.67': 0.8, '0.75': 0.81, '0.8': 0.9, '0.9': 1.5}",0,3,0.0,MISS,-1.0,0.2183,0.2183,False,2026-03-16
17896065,Josh Giddey,18447805,Memphis Grizzlies @ Chicago Bulls,5,ast,UNDER,9.5,118,draftkings,0.6922,0.4388,0.5091,0.108,5.55,"{'0.1': 2.7, '0.2': 3.65, '0.25': 4.02, '0.33': 4.42, '0.4': 4.87, '0.5': 5.55, '0.6': 5.61, '0.67': 6.39, '0.75': 7.14, '0.8': 7.43, '0.9': 8.67}",0,2,13.0,MISS,-1.0,-0.2534,-0.2534,False,2026-03-16
1057262985,Tre Johnson,18447802,Golden State Warriors @ Washington Wizards,30,blk,OVER,0.5,240,betmgm,0.4421,0.2744,0.5032,0.052,0.57,"{'0.1': 0.32, '0.2': 0.32, '0.25': 0.32, '0.33': 0.32, '0.4': 0.33, '0.5': 0.57, '0.6': 0.81, '0.67': 1.03, '0.75': 1.18, '0.8': 1.33, '0.9': 1.33}",0,1,0.0,MISS,-1.0,0.1677,0.1677,True,2026-03-16
56677858,Brandin Podziemski,18447802,Golden State Warriors @ Washington Wizards,10,blk,OVER,0.5,275,betway,0.3984,0.2458,0.4942,0.045,0.32,"{'0.1': 0.32, '0.2': 0.32, '0.25': 0.32, '0.33': 0.32, '0.4': 0.32, '0.5': 0.32, '0.6': 0.51, '0.67': 0.83, '0.75': 0.91, '0.8': 1.0, '0.9': 1.12}",0,3,0.0,MISS,-1.0,0.1459,0.1526,True,2026-03-16
