player_id,player_name,game_id,game,team_id,stat,side,line,odds,bet_vendor,model_prob,market_prob,ev,kelly_units,q50,q_preds,usage_bucket,mp_bucket,actual,result,profit,clv_proxy,clv,clv_is_true,grade_date
139,Kris Dunn,18447786,Chicago Bulls @ LA Clippers,13,reb,OVER,3.5,102,caesars,0.8197,0.4903,0.6559,0.161,6.02,"{'0.1': 2.45, '0.2': 3.76, '0.25': 4.18, '0.33': 5.06, '0.4': 5.31, '0.5': 6.02, '0.6': 6.12, '0.67': 6.39, '0.75': 7.55, '0.8': 7.55, '0.9': 8.67}",0,2,4.0,HIT,1.02,0.3294,0.3294,False,2026-03-13
1057267077,Jeremiah Fears,18447782,New Orleans Pelicans @ Houston Rockets,19,ast,OVER,2.5,110,betmgm,0.7523,0.471,0.5798,0.132,2.99,"{'0.1': 1.36, '0.2': 2.36, '0.25': 2.51, '0.33': 2.62, '0.4': 2.99, '0.5': 2.99, '0.6': 3.99, '0.67': 4.7, '0.75': 5.36, '0.8': 5.62, '0.9': 6.66}",0,2,0.0,MISS,-1.0,0.2813,0.2813,False,2026-03-13
351,Royce O'Neale,18447781,Phoenix Suns @ Toronto Raptors,24,reb,OVER,4.5,117,betparx,0.7075,0.468,0.5352,0.114,5.49,"{'0.1': 2.56, '0.2': 3.66, '0.25': 3.98, '0.33': 4.96, '0.4': 4.96, '0.5': 5.49, '0.6': 6.03, '0.67': 6.03, '0.75': 6.69, '0.8': 6.93, '0.9': 8.07}",0,2,6.0,HIT,1.17,0.2395,0.1425,True,2026-03-13
56677858,Brandin Podziemski,18447784,Minnesota Timberwolves @ Golden State Warriors,10,reb,OVER,6.5,124,fanduel,0.6778,0.4286,0.5184,0.105,8.12,"{'0.1': 4.06, '0.2': 5.56, '0.25': 5.66, '0.33': 6.59, '0.4': 7.43, '0.5': 8.12, '0.6': 8.51, '0.67': 8.58, '0.75': 8.58, '0.8': 8.83, '0.9': 10.44}",0,3,10.0,HIT,1.2400000000000002,0.2492,0.2492,False,2026-03-13
140,Kevin Durant,18447782,New Orleans Pelicans @ Houston Rockets,11,reb,OVER,5.5,115,fanatics,0.6879,0.4557,0.479,0.104,6.18,"{'0.1': 3.17, '0.2': 4.81, '0.25': 4.81, '0.33': 5.7, '0.4': 5.7, '0.5': 6.18, '0.6': 6.47, '0.67': 6.9, '0.75': 7.57, '0.8': 8.12, '0.9': 9.16}",0,3,6.0,HIT,1.15,0.2322,0.2322,False,2026-03-13
416,Pascal Siakam,18447780,New York Knicks @ Indiana Pacers,12,pts,OVER,21.5,-112,betparx,0.7794,0.5066,0.4753,0.133,27.38,"{'0.1': 15.37, '0.2': 20.84, '0.25': 22.44, '0.33': 23.43, '0.4': 24.55, '0.5': 27.38, '0.6': 27.89, '0.67': 27.89, '0.75': 28.55, '0.8': 28.56, '0.9': 30.87}",0,3,,NO_ACTION,0.0,,,False,2026-03-13
17896062,Alperen Sengun,18447782,New Orleans Pelicans @ Houston Rockets,11,blk,UNDER,1.0,175,betway,0.5134,0.5,0.4117,0.059,0.8,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.02, '0.4': 0.19, '0.5': 0.8, '0.6': 0.96, '0.67': 1.13, '0.75': 1.49, '0.8': 1.81, '0.9': 2.05}",0,3,,NO_ACTION,0.0,,,False,2026-03-13
139,Kris Dunn,18447786,Chicago Bulls @ LA Clippers,13,blk,OVER,0.5,425,betmgm,0.2663,0.1765,0.3979,0.023,0.0,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.0, '0.4': 0.0, '0.5': 0.0, '0.6': 0.02, '0.67': 0.13, '0.75': 0.59, '0.8': 0.82, '0.9': 1.07}",0,2,0.0,MISS,-1.0,0.0898,0.0898,False,2026-03-13
8,Grayson Allen,18447781,Phoenix Suns @ Toronto Raptors,24,stl,UNDER,1.0,175,draftkings,0.5083,0.4879,0.3978,0.057,0.91,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.06, '0.4': 0.49, '0.5': 0.91, '0.6': 0.99, '0.67': 1.05, '0.75': 1.43, '0.8': 1.99, '0.9': 2.52}",0,2,1.0,PUSH,0.0,0.0204,-0.149,True,2026-03-13
1057262088,Cooper Flagg,18447783,Cleveland Cavaliers @ Dallas Mavericks,7,pts,OVER,19.5,-105,betparx,0.7112,0.5,0.3885,0.102,24.72,"{'0.1': 13.93, '0.2': 17.5, '0.25': 18.93, '0.33': 20.11, '0.4': 22.02, '0.5': 24.72, '0.6': 26.45, '0.67': 28.0, '0.75': 30.07, '0.8': 30.74, '0.9': 33.43}",0,3,25.0,HIT,0.9523809523809523,0.2112,0.1321,True,2026-03-13
