player_id,player_name,game_id,game,team_id,stat,side,line,odds,bet_vendor,model_prob,market_prob,ev,kelly_units,q50,q_preds,usage_bucket,mp_bucket,actual,result,profit,clv_proxy,clv_source,grade_date
139,Kris Dunn,18447770,Minnesota Timberwolves @ LA Clippers,13,reb,OVER,3.5,105,betparx,0.8191,0.477,0.6791,0.162,5.99,"{'0.1': 2.48, '0.2': 3.74, '0.25': 4.2, '0.33': 5.15, '0.4': 5.29, '0.5': 5.99, '0.6': 6.13, '0.67': 6.4, '0.75': 7.58, '0.8': 7.58, '0.9': 8.74}",0,2,2.0,MISS,-1.0,0.3421,pick_time_fallback,2026-03-11
1028025497,Tristan Da Silva,18447765,Cleveland Cavaliers @ Orlando Magic,22,stl,UNDER,1.0,165,betparx,0.6313,0.5182,0.6729,0.102,0.79,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.05, '0.4': 0.37, '0.5': 0.79, '0.6': 0.97, '0.67': 1.03, '0.75': 1.37, '0.8': 1.89, '0.9': 1.96}",0,2,0.0,HIT,1.65,-0.1131,pick_time_fallback,2026-03-11
17896055,Scottie Barnes,18447766,Toronto Raptors @ New Orleans Pelicans,28,reb,UNDER,6.5,110,betmgm,0.7966,0.4573,0.6728,0.153,4.98,"{'0.1': 1.74, '0.2': 2.85, '0.25': 3.09, '0.33': 4.08, '0.4': 4.5, '0.5': 4.98, '0.6': 5.28, '0.67': 6.05, '0.75': 6.18, '0.8': 6.52, '0.9': 9.57}",0,3,6.0,HIT,1.1,-0.3393,pick_time_fallback,2026-03-11
414,Landry Shamet,18447767,New York Knicks @ Utah Jazz,20,ast,UNDER,1.5,140,betmgm,0.6912,0.4098,0.6589,0.118,1.07,"{'0.1': -0.02, '0.2': 0.02, '0.25': 0.3, '0.33': 0.79, '0.4': 0.8, '0.5': 1.07, '0.6': 1.45, '0.67': 1.46, '0.75': 1.6, '0.8': 1.81, '0.9': 2.29}",0,2,4.0,MISS,-1.0,-0.2814,pick_time_fallback,2026-03-11
139,Kris Dunn,18447770,Minnesota Timberwolves @ LA Clippers,13,blk,OVER,0.5,525,betmgm,0.2652,0.1477,0.6577,0.031,0.0,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.0, '0.4': 0.0, '0.5': 0.0, '0.6': 0.02, '0.67': 0.1, '0.75': 0.59, '0.8': 0.82, '0.9': 1.07}",0,2,0.0,MISS,-1.0,0.1175,pick_time_fallback,2026-03-11
17896055,Scottie Barnes,18447766,Toronto Raptors @ New Orleans Pelicans,28,ast,UNDER,4.5,110,betmgm,0.7858,0.4532,0.6502,0.148,3.01,"{'0.1': 0.92, '0.2': 1.27, '0.25': 1.51, '0.33': 1.92, '0.4': 2.44, '0.5': 3.01, '0.6': 3.54, '0.67': 4.06, '0.75': 4.06, '0.8': 4.67, '0.9': 5.81}",0,3,4.0,HIT,1.1,-0.3326,pick_time_fallback,2026-03-11
56677834,Keyonte George,18447767,New York Knicks @ Utah Jazz,29,ast,UNDER,4.5,102,draftkings,0.8099,0.4838,0.6361,0.156,2.99,"{'0.1': 0.8, '0.2': 1.5, '0.25': 1.8, '0.33': 2.27, '0.4': 2.66, '0.5': 2.99, '0.6': 3.43, '0.67': 3.71, '0.75': 3.71, '0.8': 4.46, '0.9': 4.89}",0,3,5.0,MISS,-1.0,-0.3261,pick_time_fallback,2026-03-11
3547239,LaMelo Ball,18447769,Charlotte Hornets @ Sacramento Kings,4,stl,UNDER,1.0,175,betway,0.5885,0.5,0.6184,0.088,0.88,"{'0.1': 0.0, '0.2': 0.02, '0.25': 0.03, '0.33': 0.37, '0.4': 0.77, '0.5': 0.88, '0.6': 1.02, '0.67': 1.09, '0.75': 1.52, '0.8': 1.7, '0.9': 1.93}",0,2,1.0,PUSH,0.0,-0.0885,pick_time_fallback,2026-03-11
191,Tim Hardaway Jr.,18447768,Houston Rockets @ Denver Nuggets,8,reb,OVER,2.5,135,betparx,0.6668,0.4088,0.5671,0.105,3.57,"{'0.1': 1.24, '0.2': 1.84, '0.25': 2.24, '0.33': 2.48, '0.4': 2.85, '0.5': 3.57, '0.6': 3.69, '0.67': 3.72, '0.75': 3.72, '0.8': 4.25, '0.9': 5.2}",0,2,3.0,HIT,1.35,0.258,pick_time_fallback,2026-03-11
1057393207,Mohamed Diawara,18447767,New York Knicks @ Utah Jazz,20,reb,UNDER,2.5,125,betway,0.6874,0.4112,0.5467,0.109,2.18,"{'0.1': 0.05, '0.2': 1.17, '0.25': 1.22, '0.33': 1.32, '0.4': 1.87, '0.5': 2.18, '0.6': 2.18, '0.67': 2.38, '0.75': 2.93, '0.8': 2.93, '0.9': 3.8}",0,0,1.0,HIT,1.25,-0.2762,pick_time_fallback,2026-03-11
