player_id,player_name,game_id,game,team_id,stat,side,line,odds,over_odds,under_odds,bet_vendor,model_prob,market_prob,raw_edge,ev,kelly_units,q50,q_preds,usage_bucket,mp_bucket,min_ev_applied,cal_type,is_sparse,actual,result,profit,clv_proxy,clv,clv_is_true,grade_date
237,LeBron James,18447828,Los Angeles Lakers @ Miami Heat,14,fg3m,OVER,0.5,430,430,-750,fanduel,0.5487,0.1762,0.3726,1.9082,0.111,1.26,"{'0.1': 0.27, '0.2': 0.59, '0.25': 0.77, '0.33': 1.04, '0.4': 1.26, '0.5': 1.26, '0.6': 1.43, '0.67': 1.72, '0.75': 1.82, '0.8': 1.87, '0.9': 2.46}",0,3,0.03,global,False,0.0,MISS,-1.0,0.3725,0.3725,False,2026-03-19
161,De'Aaron Fox,18447831,Phoenix Suns @ San Antonio Spurs,27,fg3m,OVER,0.5,330,330,-599,betway,0.5506,0.2135,0.3372,1.3676,0.104,2.04,"{'0.1': 0.28, '0.2': 0.61, '0.25': 0.72, '0.33': 1.42, '0.4': 1.45, '0.5': 2.04, '0.6': 2.53, '0.67': 2.53, '0.75': 2.65, '0.8': 2.65, '0.9': 2.96}",0,2,0.03,global,False,1.0,HIT,3.3,0.3371,0.3371,False,2026-03-19
237,LeBron James,18447828,Los Angeles Lakers @ Miami Heat,14,ast,UNDER,9.5,188,-230,188,draftkings,0.7028,0.3325,0.3702,1.0239,0.136,4.95,"{'0.1': 1.92, '0.2': 2.61, '0.25': 3.13, '0.33': 3.84, '0.4': 4.29, '0.5': 4.95, '0.6': 5.12, '0.67': 5.32, '0.75': 5.51, '0.8': 6.26, '0.9': 7.07}",0,3,0.04,global,False,10.0,MISS,-1.0,-0.3703,-0.3703,False,2026-03-19
283,Brook Lopez,18447830,LA Clippers @ New Orleans Pelicans,13,fg3m,OVER,0.5,240,240,-400,betway,0.5465,0.2688,0.2777,0.858,0.089,1.44,"{'0.1': 0.3, '0.2': 0.56, '0.25': 0.72, '0.33': 1.05, '0.4': 1.26, '0.5': 1.44, '0.6': 1.9, '0.67': 2.14, '0.75': 2.27, '0.8': 2.55, '0.9': 2.64}",0,2,0.03,global,False,0.0,MISS,-1.0,0.2777,0.2777,False,2026-03-19
666633,Tyler Herro,18447828,Los Angeles Lakers @ Miami Heat,16,reb,UNDER,9.0,160,180,160,draftkings,0.7028,0.5185,0.1842,0.8272,0.129,3.24,"{'0.1': 2.26, '0.2': 2.26, '0.25': 2.26, '0.33': 2.57, '0.4': 2.84, '0.5': 3.24, '0.6': 4.1, '0.67': 4.49, '0.75': 5.15, '0.8': 5.54, '0.9': 7.28}",0,2,0.04,global,False,8.0,HIT,1.6,-0.1843,-0.1843,False,2026-03-19
237,LeBron James,18447828,Los Angeles Lakers @ Miami Heat,14,reb,UNDER,11.5,140,-152,140,fanduel,0.7028,0.4086,0.2942,0.6866,0.123,5.76,"{'0.1': 3.05, '0.2': 3.8, '0.25': 3.9, '0.33': 5.17, '0.4': 5.76, '0.5': 5.76, '0.6': 6.21, '0.67': 6.6, '0.75': 7.2, '0.8': 7.57, '0.9': 8.85}",0,3,0.04,global,False,15.0,MISS,-1.0,-0.2942,-0.2942,False,2026-03-19
57,Devin Booker,18447831,Phoenix Suns @ San Antonio Spurs,24,fg3m,OVER,0.5,175,175,-275,betway,0.5756,0.3315,0.2441,0.5829,0.083,2.61,"{'0.1': 0.57, '0.2': 2.07, '0.25': 2.07, '0.33': 2.21, '0.4': 2.39, '0.5': 2.61, '0.6': 3.42, '0.67': 3.44, '0.75': 3.88, '0.8': 4.27, '0.9': 4.53}",0,2,0.03,global,False,0.0,MISS,-1.0,0.2441,0.2441,False,2026-03-19
666682,Keldon Johnson,18447831,Phoenix Suns @ San Antonio Spurs,27,reb,UNDER,4.5,150,-225,150,betway,0.6163,0.3662,0.2501,0.5407,0.09,2.45,"{'0.1': 1.42, '0.2': 1.93, '0.25': 2.06, '0.33': 2.06, '0.4': 2.18, '0.5': 2.45, '0.6': 2.88, '0.67': 3.08, '0.75': 3.65, '0.8': 4.32, '0.9': 5.97}",0,1,0.04,global,False,4.0,HIT,1.5,-0.2501,-0.2501,False,2026-03-19
56677822,Victor Wembanyama,18447831,Phoenix Suns @ San Antonio Spurs,27,reb,UNDER,12.5,124,-120,124,betway,0.6863,0.4501,0.2363,0.5374,0.108,7.51,"{'0.1': 4.49, '0.2': 5.08, '0.25': 6.08, '0.33': 6.35, '0.4': 6.62, '0.5': 7.51, '0.6': 8.11, '0.67': 8.11, '0.75': 8.36, '0.8': 9.63, '0.9': 11.49}",0,2,0.04,global,False,12.0,HIT,1.2400000000000002,-0.2362,-0.2362,False,2026-03-19
17896076,Evan Mobley,18447829,Cleveland Cavaliers @ Chicago Bulls,6,pts,UNDER,26.0,116,-120,116,betway,0.7028,0.4591,0.2437,0.518,0.112,10.76,"{'0.1': 7.81, '0.2': 9.71, '0.25': 10.02, '0.33': 10.02, '0.4': 10.75, '0.5': 10.76, '0.6': 11.96, '0.67': 13.18, '0.75': 14.07, '0.8': 15.23, '0.9': 17.38}",0,2,0.04,global,False,26.0,PUSH,0.0,-0.2437,-0.2437,False,2026-03-19
