player_id,player_name,game_id,game_start_time,stat,line
1028240128,Daniss Jenkins,21684819,2026-05-03T19:40:00Z,ast,2.5
1028240128,Daniss Jenkins,21684819,2026-05-03T19:40:00Z,fg3m,0.5
1028240128,Daniss Jenkins,21684819,2026-05-03T19:40:00Z,stl,0.5
56677826,Ausar Thompson,21684819,2026-05-03T19:40:00Z,blk,1.5
56677827,Anthony Black,21684819,2026-05-03T19:40:00Z,pts,11.5
56677827,Anthony Black,21684819,2026-05-03T19:40:00Z,blk,0.5
3547267,Isaiah Stewart,21684819,2026-05-03T19:40:00Z,reb,3.5
38017734,Jamal Cain,21684819,2026-05-03T19:40:00Z,reb,3.5
200,Tobias Harris,21684819,2026-05-03T19:40:00Z,pts,17.5
200,Tobias Harris,21684819,2026-05-03T19:40:00Z,fg3m,1.5
200,Tobias Harris,21684819,2026-05-03T19:40:00Z,stl,1.5
200,Tobias Harris,21684819,2026-05-03T19:40:00Z,blk,0.5
17896073,Jalen Suggs,21684819,2026-05-03T19:40:00Z,ast,4.5
17896073,Jalen Suggs,21684819,2026-05-03T19:40:00Z,fg3m,2.5
17896073,Jalen Suggs,21684819,2026-05-03T19:40:00Z,blk,0.5
17896075,Cade Cunningham,21684819,2026-05-03T19:40:00Z,pts,28.5
17896075,Cade Cunningham,21684819,2026-05-03T19:40:00Z,reb,5.5
17896075,Cade Cunningham,21684819,2026-05-03T19:40:00Z,ast,8.5
17896075,Cade Cunningham,21684819,2026-05-03T19:40:00Z,stl,1.5
17896075,Cade Cunningham,21684819,2026-05-03T19:40:00Z,blk,0.5
397,Duncan Robinson,21684819,2026-05-03T19:40:00Z,pts,10.5
397,Duncan Robinson,21684819,2026-05-03T19:40:00Z,fg3m,2.5
38017683,Paolo Banchero,21684819,2026-05-03T19:40:00Z,reb,8.5
38017683,Paolo Banchero,21684819,2026-05-03T19:40:00Z,ast,5.5
38017683,Paolo Banchero,21684819,2026-05-03T19:40:00Z,fg3m,1.5
38017683,Paolo Banchero,21684819,2026-05-03T19:40:00Z,stl,1.5
85,Wendell Carter Jr.,21684819,2026-05-03T19:40:00Z,reb,7.5
3547287,Desmond Bane,21684819,2026-05-03T19:40:00Z,pts,18.5
3547287,Desmond Bane,21684819,2026-05-03T19:40:00Z,fg3m,2.5
3547287,Desmond Bane,21684819,2026-05-03T19:40:00Z,blk,0.5
1028025497,Tristan Da Silva,21684819,2026-05-03T19:40:00Z,reb,2.5
38017694,Jalen Duren,21684819,2026-05-03T19:40:00Z,pts,12.5
38017694,Jalen Duren,21684819,2026-05-03T19:40:00Z,stl,0.5
