player_id,player_name,stat,line,actual,p_realized,model_p_over,market_no_vig_over_prob,over_realized,nll
1028240128,Daniss Jenkins,ast,2.5,5,0.0316,,,1.0,3.4545981583892704
1028240128,Daniss Jenkins,fg3m,0.5,4,0.0,,,1.0,20.72326583694641
1028240128,Daniss Jenkins,stl,0.5,0,0.6475,,,0.0,0.4346364854084443
56677826,Ausar Thompson,blk,1.5,2,0.1777,,,1.0,1.7276585438215315
56677827,Anthony Black,pts,11.5,11,0.0554,,,0.0,2.893175685228899
56677827,Anthony Black,blk,0.5,0,0.6348,,,0.0,0.454445290329883
3547267,Isaiah Stewart,reb,3.5,1,0.0825,,,0.0,2.494956985641502
38017734,Jamal Cain,reb,3.5,4,0.1017,,,1.0,2.285727975927623
200,Tobias Harris,pts,17.5,30,0.0057,,,1.0,5.1672891041416324
200,Tobias Harris,fg3m,1.5,5,0.0,,,1.0,20.72326583694641
200,Tobias Harris,stl,1.5,3,0.0336,,,1.0,3.3932292120129786
200,Tobias Harris,blk,0.5,1,0.3341,,,1.0,1.0963149296194261
17896073,Jalen Suggs,ast,4.5,4,0.172,,,0.0,1.760260802168684
17896073,Jalen Suggs,fg3m,2.5,0,0.1334,,,0.0,2.014403145500614
17896073,Jalen Suggs,blk,0.5,2,0.0964,,,1.0,2.339249077365637
17896075,Cade Cunningham,pts,28.5,32,0.0326,,,1.0,3.423442990609475
17896075,Cade Cunningham,reb,5.5,1,0.0301,,,0.0,3.503230107227307
17896075,Cade Cunningham,ast,8.5,12,0.0527,,,1.0,2.9431398234348203
17896075,Cade Cunningham,stl,1.5,0,0.2367,,,0.0,1.4409617624621989
17896075,Cade Cunningham,blk,0.5,2,0.1509,,,1.0,1.8911379132083337
397,Duncan Robinson,pts,10.5,10,0.0692,,,0.0,2.670754416358513
397,Duncan Robinson,fg3m,2.5,2,0.2593,,,0.0,1.3497695864375185
38017683,Paolo Banchero,reb,8.5,9,0.0956,,,1.0,2.3475824589247813
38017683,Paolo Banchero,ast,5.5,6,0.1348,,,1.0,2.0039630805039303
38017683,Paolo Banchero,fg3m,1.5,4,0.0499,,,1.0,2.997734276224664
38017683,Paolo Banchero,stl,1.5,0,0.364,,,0.0,1.0106014113453965
85,Wendell Carter Jr.,reb,7.5,5,0.0762,,,0.0,2.5743938162895366
3547287,Desmond Bane,pts,18.5,16,0.0435,,,0.0,3.1349943408874985
3547287,Desmond Bane,fg3m,2.5,3,0.1626,,,1.0,1.816462081868427
3547287,Desmond Bane,blk,0.5,1,0.2045,,,1.0,1.5871873034992807
1028025497,Tristan Da Silva,reb,2.5,0,0.1669,,,0.0,1.7903604483143476
38017694,Jalen Duren,pts,12.5,15,0.0572,,,1.0,2.861201380596385
38017694,Jalen Duren,stl,0.5,1,0.271,,,1.0,1.305636458102436
