player_id,player_name,game_id,game,team_id,stat,side,line,odds,over_odds,under_odds,bet_vendor,model_prob,model_prob_raw,model_prob_cal,cal_source,market_prob,raw_edge,ev,kelly_units,q50,q_preds,usage_bucket,mp_bucket,min_ev_applied,cal_type,cal_applied,is_sparse,pmf,fair_odds_over,fair_odds_under,pmf_median,edge_over,edge_under,line_vs_median,mkt_true_over,mkt_true_under,game_start_time,game_start_time_source,game_start_time_resolution_confidence,contextual_pmf_applied,contextual_minutes_delta,exp_mp_contextual,contextual_pmf_mean_baseline,contextual_pmf_mean_post,contextual_pmf_mean_shift_ratio,contextual_feature_set_id,contextual_blocker,lineup_confirmed,current_starter,confirmed_starter,confirmed_bench,starter_changed_from_projection,bench_changed_from_projection,role_source_confirmed_lineup,lineup_position_encoded,minutes_projection_conflict,confirmed_starter_low_minutes_flag,confirmed_bench_high_minutes_flag,consecutive_starter_streak,recent_starter_rate_5,lineup_features_missing,team_confirmed_starters_count,team_confirmed_bench_count,team_lineup_num_guards,team_lineup_num_wings,team_lineup_num_bigs,team_lineup_num_high_usage_players,team_lineup_num_primary_ballhandlers,team_lineup_num_shooters,team_lineup_num_rebounders,team_lineup_usage_competition_proxy,team_lineup_rebound_competition_proxy,team_lineup_assist_creation_proxy,team_lineup_spacing_proxy,team_lineup_turnover_pressure_proxy,player_confirmed_with_high_usage_count,player_confirmed_with_primary_ballhandler_count,player_confirmed_with_big_count,player_confirmed_with_shooter_count,player_usage_competition_proxy,player_rebound_competition_proxy,player_assist_target_quality_proxy,player_spacing_support_proxy,player_onball_burden_proxy,contextual_rate_delta_pts,contextual_rate_delta_reb,contextual_rate_delta_ast,contextual_rate_delta_tov,contextual_rate_delta_stl,contextual_rate_delta_blk,contextual_rate_delta_fg3m
1028240128,Daniss Jenkins,21684819,Orlando Magic @ Detroit Pistons,9,ast,UNDER,2.5,-145,138,-145,fanduel,0.7327,0.7327,0.7327,pmf_cal,0.5848,0.1479,0.238,0.052,2.0,"{""0.1"": 0.0, ""0.2"": 0.0, ""0.25"": 1.0, ""0.33"": 1.0, ""0.4"": 1.0, ""0.5"": 2.0, ""0.6"": 2.0, ""0.67"": 2.0, ""0.75"": 3.0, ""0.8"": 3.0, ""0.9"": 4.0}",0,1,0.025,pmf_cal,True,False,"{""0"": 0.2106, ""1"": 0.2799, ""2"": 0.2421, ""3"": 0.1426, ""4"": 0.0697, ""5"": 0.0316, ""6"": 0.0126, ""7"": 0.0052, ""8"": 0.0016, ""9"": 0.0021}",274,-274,2,-0.1479,0.1479,0.5,0.4152,0.5848,2026-05-03T19:40:00Z,predictions_parquet_game_start_time,high,True,15.378093783690893,15.378093783690893,,,1.0,phase13s_direct_lineup_injury_pmf_driver_v1,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03308615888319899,0.0076250159869023695,0.009918364658834186,0.004113574403851457,0.002076014387512933,6.805731970554741e-05,-0.0010155391687372102
1028240128,Daniss Jenkins,21684819,Orlando Magic @ Detroit Pistons,9,fg3m,OVER,0.5,-115,-115,-120,betway,0.6116,0.6116,0.6116,pmf_cal,0.4951,0.1165,0.1435,0.025,1.0,"{""0.1"": 0.0, ""0.2"": 0.0, ""0.25"": 0.0, ""0.33"": 0.0, ""0.4"": 1.0, ""0.5"": 1.0, ""0.6"": 1.0, ""0.67"": 1.0, ""0.75"": 2.0, ""0.8"": 2.0, ""0.9"": 3.0}",0,1,0.0903,pmf_cal,True,False,"{""0"": 0.3884, ""1"": 0.3394, ""2"": 0.1718, ""3"": 0.0772, ""15"": 0.0233}",-157,157,1,0.1165,-0.1165,-0.5,0.4951,0.5049,2026-05-03T19:40:00Z,predictions_parquet_game_start_time,high,True,15.378093783690893,15.378093783690893,,,1.0,phase13s_direct_lineup_injury_pmf_driver_v1,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03308615888319899,0.0076250159869023695,0.009918364658834186,0.004113574403851457,0.002076014387512933,6.805731970554741e-05,-0.0010155391687372102
1028240128,Daniss Jenkins,21684819,Orlando Magic @ Detroit Pistons,9,stl,UNDER,0.5,-139,105,-139,betparx,0.6475,0.6475,0.6475,pmf,0.5438,0.1037,0.1134,0.024,0.0,"{""0.1"": 0.0, ""0.2"": 0.0, ""0.25"": 0.0, ""0.33"": 0.0, ""0.4"": 0.0, ""0.5"": 0.0, ""0.6"": 0.0, ""0.67"": 1.0, ""0.75"": 1.0, ""0.8"": 1.0, ""0.9"": 2.0}",0,1,0.0794,pmf_raw,False,True,"{""0"": 0.6475, ""1"": 0.2185, ""2"": 0.1015, ""3"": 0.0046, ""4"": 0.004, ""5"": 0.0038, ""6"": 0.0037, ""7"": 0.0033, ""8"": 0.0046, ""9"": 0.0041, ""10"": 0.0044}",184,-184,0,-0.1037,0.1037,0.5,0.4562,0.5438,2026-05-03T19:40:00Z,predictions_parquet_game_start_time,high,True,15.378093783690893,15.378093783690893,,,1.0,phase13s_direct_lineup_injury_pmf_driver_v1,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03308615888319899,0.0076250159869023695,0.009918364658834186,0.004113574403851457,0.002076014387512933,6.805731970554741e-05,-0.0010155391687372102
56677826,Ausar Thompson,21684819,Orlando Magic @ Detroit Pistons,9,blk,OVER,1.5,123,123,-130,draftkings,0.6247,0.6247,0.6247,pmf,0.4424,0.1823,0.393,0.048,2.0,"{""0.1"": 0.0, ""0.2"": 1.0, ""0.25"": 1.0, ""0.33"": 1.0, ""0.4"": 2.0, ""0.5"": 2.0, ""0.6"": 3.0, ""0.67"": 3.0, ""0.75"": 4.0, ""0.8"": 4.0, ""0.9"": 4.0}",0,2,0.025,pmf_raw,False,True,"{""0"": 0.1015, ""1"": 0.2738, ""2"": 0.1777, ""3"": 0.1941, ""4"": 0.1687, ""5"": 0.0139, ""6"": 0.0142, ""7"": 0.0126, ""8"": 0.013, ""9"": 0.0164, ""10"": 0.0142}",-166,166,2,0.1823,-0.1823,-0.5,0.4424,0.5576,2026-05-03T19:40:00Z,predictions_parquet_game_start_time,high,True,15.378093783690893,15.378093783690893,,,1.0,phase13s_direct_lineup_injury_pmf_driver_v1,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03308615888319899,0.0076250159869023695,0.009918364658834186,0.004113574403851457,0.002076014387512933,6.805731970554741e-05,-0.0010155391687372102
56677827,Anthony Black,21684819,Orlando Magic @ Detroit Pistons,22,pts,UNDER,11.5,-115,100,-115,fanatics,0.6896,0.6896,0.6896,pmf_cal,0.5169,0.1727,0.2892,0.05,8.0,"{""0.1"": 2.0, ""0.2"": 4.0, ""0.25"": 4.0, ""0.33"": 6.0, ""0.4"": 7.0, ""0.5"": 8.0, ""0.6"": 10.0, ""0.67"": 11.0, ""0.75"": 13.0, ""0.8"": 14.0, ""0.9"": 17.0}",0,2,0.0449,pmf_cal,True,False,"{""0"": 0.0408, ""1"": 0.0416, ""2"": 0.0569, ""3"": 0.0566, ""4"": 0.0624, ""5"": 0.0691, ""6"": 0.0632, ""7"": 0.0622, ""8"": 0.0643, ""9"": 0.0581, ""10"": 0.0591, ""11"": 0.0554, ""12"": 0.0501, ""13"": 0.0384, ""14"": 0.0413, ""15"": 0.0256, ""16"": 0.0325, ""17"": 0.0239, ""18"": 0.0224, ""19"": 0.0141, ""20"": 0.0099, ""21"": 0.0137, ""22"": 0.0074, ""23"": 0.0055, ""24"": 0.0067, ""25"": 0.0042, ""26"": 0.0045, ""27"": 0.0027, ""28"": 0.0023, ""30"": 0.0014, ""41"": 0.0014, ""80"": 0.0014}",222,-222,8,-0.1727,0.1727,3.5,0.4831,0.5169,2026-05-03T19:40:00Z,predictions_parquet_game_start_time,high,True,15.378093783690893,15.378093783690893,,,1.0,phase13s_direct_lineup_injury_pmf_driver_v1,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03308615888319899,0.0076250159869023695,0.009918364658834186,0.004113574403851457,0.002076014387512933,6.805731970554741e-05,-0.0010155391687372102
56677827,Anthony Black,21684819,Orlando Magic @ Detroit Pistons,22,blk,UNDER,0.5,-115,-104,-115,betparx,0.6348,0.6348,0.6348,pmf,0.512,0.1228,0.1868,0.032,0.0,"{""0.1"": 0.0, ""0.2"": 0.0, ""0.25"": 0.0, ""0.33"": 0.0, ""0.4"": 0.0, ""0.5"": 0.0, ""0.6"": 0.0, ""0.67"": 1.0, ""0.75"": 1.0, ""0.8"": 1.0, ""0.9"": 2.0}",0,2,0.0547,pmf_raw,False,True,"{""0"": 0.6348, ""1"": 0.228, ""2"": 0.0895, ""3"": 0.0164, ""4"": 0.0041, ""5"": 0.0054, ""6"": 0.0036, ""7"": 0.0037, ""8"": 0.0053, ""9"": 0.0045, ""10"": 0.0047}",174,-174,0,-0.1228,0.1228,0.5,0.488,0.512,2026-05-03T19:40:00Z,predictions_parquet_game_start_time,high,True,15.378093783690893,15.378093783690893,,,1.0,phase13s_direct_lineup_injury_pmf_driver_v1,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03308615888319899,0.0076250159869023695,0.009918364658834186,0.004113574403851457,0.002076014387512933,6.805731970554741e-05,-0.0010155391687372102
3547267,Isaiah Stewart,21684819,Orlando Magic @ Detroit Pistons,9,reb,OVER,3.5,134,134,-140,fanduel,0.6166,0.6166,0.6166,pmf_cal,0.4228,0.1938,0.4429,0.05,4.0,"{""0.1"": 1.0, ""0.2"": 2.0, ""0.25"": 3.0, ""0.33"": 3.0, ""0.4"": 4.0, ""0.5"": 4.0, ""0.6"": 5.0, ""0.67"": 6.0, ""0.75"": 7.0, ""0.8"": 7.0, ""0.9"": 9.0}",0,1,0.025,pmf_cal,True,False,"{""0"": 0.0474, ""1"": 0.0825, ""2"": 0.1199, ""3"": 0.1336, ""4"": 0.1468, ""5"": 0.1193, ""6"": 0.0929, ""7"": 0.0859, ""8"": 0.0583, ""9"": 0.0401, ""10"": 0.0278, ""11"": 0.0158, ""12"": 0.0108, ""13"": 0.0065, ""14"": 0.004, ""15"": 0.0029, ""16"": 0.0022}",-161,161,4,0.1938,-0.1938,-0.5,0.4228,0.5772,2026-05-03T19:40:00Z,predictions_parquet_game_start_time,high,True,15.378093783690893,15.378093783690893,,,1.0,phase13s_direct_lineup_injury_pmf_driver_v1,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03308615888319899,0.0076250159869023695,0.009918364658834186,0.004113574403851457,0.002076014387512933,6.805731970554741e-05,-0.0010155391687372102
38017734,Jamal Cain,21684819,Orlando Magic @ Detroit Pistons,22,reb,UNDER,3.5,-127,125,-127,betmgm,0.7541,0.7541,0.7541,pmf_cal,0.5573,0.1968,0.3479,0.066,2.0,"{""0.1"": 0.0, ""0.2"": 1.0, ""0.25"": 1.0, ""0.33"": 1.0, ""0.4"": 2.0, ""0.5"": 2.0, ""0.6"": 3.0, ""0.67"": 3.0, ""0.75"": 3.0, ""0.8"": 4.0, ""0.9"": 5.0}",0,1,0.025,pmf_cal,True,False,"{""0"": 0.1611, ""1"": 0.2303, ""2"": 0.2039, ""3"": 0.1589, ""4"": 0.1017, ""5"": 0.0592, ""6"": 0.0367, ""7"": 0.0205, ""8"": 0.0116, ""9"": 0.0058, ""10"": 0.0047, ""11"": 0.0027, ""12"": 0.0012}",307,-307,2,-0.1968,0.1968,1.5,0.4427,0.5573,2026-05-03T19:40:00Z,predictions_parquet_game_start_time,high,True,15.378093783690893,15.378093783690893,,,1.0,phase13s_direct_lineup_injury_pmf_driver_v1,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03308615888319899,0.0076250159869023695,0.009918364658834186,0.004113574403851457,0.002076014387512933,6.805731970554741e-05,-0.0010155391687372102
200,Tobias Harris,21684819,Orlando Magic @ Detroit Pistons,9,pts,UNDER,17.5,100,-115,100,betmgm,0.6731,0.6731,0.6731,pmf_cal,0.4831,0.19,0.3462,0.052,14.0,"{""0.1"": 5.0, ""0.2"": 8.0, ""0.25"": 10.0, ""0.33"": 11.0, ""0.4"": 12.0, ""0.5"": 14.0, ""0.6"": 16.0, ""0.67"": 17.0, ""0.75"": 19.0, ""0.8"": 21.0, ""0.9"": 24.0}",0,2,0.0449,pmf_cal,True,False,"{""0"": 0.0142, ""1"": 0.0135, ""2"": 0.0148, ""3"": 0.014, ""4"": 0.0216, ""5"": 0.0275, ""6"": 0.0266, ""7"": 0.0365, ""8"": 0.0376, ""9"": 0.0413, ""10"": 0.0471, ""11"": 0.0513, ""12"": 0.0541, ""13"": 0.0575, ""14"": 0.0624, ""15"": 0.051, ""16"": 0.0553, ""17"": 0.0467, ""18"": 0.0511, ""19"": 0.0328, ""20"": 0.037, ""21"": 0.0304, ""22"": 0.032, ""23"": 0.0301, ""24"": 0.0208, ""25"": 0.0156, ""26"": 0.0189, ""27"": 0.0151, ""28"": 0.0092, ""29"": 0.0093, ""30"": 0.0057, ""31"": 0.0037, ""32"": 0.0039, ""33"": 0.0023, ""34"": 0.0018, ""35"": 0.0019, ""37"": 0.0014, ""45"": 0.0014, ""80"": 0.0014}",206,-206,14,-0.19,0.19,3.5,0.5169,0.4831,2026-05-03T19:40:00Z,predictions_parquet_game_start_time,high,True,15.378093783690893,15.378093783690893,,,1.0,phase13s_direct_lineup_injury_pmf_driver_v1,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03308615888319899,0.0076250159869023695,0.009918364658834186,0.004113574403851457,0.002076014387512933,6.805731970554741e-05,-0.0010155391687372102
200,Tobias Harris,21684819,Orlando Magic @ Detroit Pistons,9,fg3m,UNDER,1.5,-160,155,-160,betrivers,0.7066,0.7066,0.7066,pmf_cal,0.6108,0.0958,0.1482,0.036,1.0,"{""0.1"": 0.0, ""0.2"": 0.0, ""0.25"": 0.0, ""0.33"": 0.0, ""0.4"": 1.0, ""0.5"": 1.0, ""0.6"": 1.0, ""0.67"": 1.0, ""0.75"": 2.0, ""0.8"": 2.0, ""0.9"": 3.0}",0,2,0.025,pmf_cal,True,False,"{""0"": 0.36, ""1"": 0.3466, ""2"": 0.1849, ""3"": 0.0852, ""15"": 0.0233}",241,-241,1,-0.0958,0.0958,0.5,0.3892,0.6108,2026-05-03T19:40:00Z,predictions_parquet_game_start_time,high,True,15.378093783690893,15.378093783690893,,,1.0,phase13s_direct_lineup_injury_pmf_driver_v1,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03308615888319899,0.0076250159869023695,0.009918364658834186,0.004113574403851457,0.002076014387512933,6.805731970554741e-05,-0.0010155391687372102
