game_id,team_abbr,opponent_abbr,resolved_game_start_time_utc,source_used,source_confidence,source_payload_hash,resolution_blocker
21707973,MIN,SAS,2026-05-07T01:48:13Z,odds_api_live_events,high,3df0f4818cfd3283,
21708674,PHI,,,unresolved,unresolved,,team_id_to_abbr lookup incomplete (team_ids=[23]); no cached Odds API for 2026-05-06; live endpoint may have only future-day games
