stat,n,nll_mean,rps_mean,mean_error,abs_mean_error,outcome_prob_assigned_mean
ast,15,1.5295625031155238,0.039074607530114304,0.04585230998333592,0.9886654070549028,0.2454315778207707
blk,15,0.8059049068226746,0.06674217632738945,-0.14305341925553924,0.5851676354774366,0.5917476133732011
fg3m,15,1.4717148776566924,0.16435216471852138,-0.594972713220045,1.316719978767211,0.31686540481291486
pa,15,3.327039131428694,0.059524681299203366,0.4921137343957985,6.2741675210016785,0.04552017468244462
pr,15,3.3387878450847532,0.052612256522215795,0.5758522636798545,6.2738094644561535,0.04196772278802616
pra,15,3.432714881691679,0.050204253492610325,0.6217045736631667,6.427267146773648,0.03911300994374019
pts,15,3.1930822992756402,0.07357180007010493,0.44626142441249106,5.882700343266037,0.05754279209627828
ra,15,2.1745424515409777,0.0360921767229911,0.17544314925070284,1.812593065932045,0.12046448768907961
reb,15,1.7938061295255123,0.03480671371449652,0.12959083926737533,1.1713282608670623,0.18386696575237957
stl,15,1.3584047055597925,0.13498187019226224,-0.3551621139365139,0.9350498621400777,0.38973357788102153
stocks,15,1.6407845679561863,0.08391905951416635,-0.4999967588184967,1.1858994579636426,0.26972283318739076
tov,15,1.578089931889231,0.06850786612343773,-0.24617726064898865,1.0341777403335917,0.29994344068730483
