stat,n_rows,n_scored,n_market_joined,n_books,n_players,n_games,model_brier_avg,market_brier_avg,model_logloss_avg,market_logloss_avg,model_rps_avg,market_rps_avg,market_coverage_status,availability_freshness_status,failure_reason,market_superiority_pass,brier_delta_model_minus_market,logloss_delta_model_minus_market,rps_delta_model_minus_market,rps_status,model_beats_market_brier,model_beats_market_logloss,model_beats_market_rps,calibration_pass,model_ece,market_ece,model_calibration_slope,model_calibration_intercept,market_calibration_slope,market_calibration_intercept,pit_ks,mean_error,variance_error,p0_error,model_better_calibrated
ast,12139,5745,5745,14,108,48,0.23582956690926227,0.23379970997822286,0.6642447773751063,0.6592996080230404,1.2942397494439608,,covered,unknown,model_logloss_not_better,False,0.002029856931039409,0.0049451693520659035,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
blk,3945,1831,1831,9,106,42,0.3584215293767507,0.22770339757302407,4.107909560063576,0.6463814832189312,0.4935317028422635,,covered,unknown,model_logloss_not_better,False,0.13071813180372663,3.461528076844645,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
fg3m,12686,5928,5933,14,115,50,0.22748171913961368,0.22856396726255448,0.6526721674601998,0.647865722567732,0.781914952008933,,covered,unknown,model_logloss_not_better,False,-0.0010822481229408043,0.004806444892467843,,unavailable_market_distribution,True,False,True,False,,,,,,,,,,,False
pa,13604,6417,6417,9,110,45,0.22998187236111114,0.2257266426413967,0.6530125099495869,0.6414272072158205,4.555690624483794,,covered,unknown,model_logloss_not_better,False,0.004255229719714454,0.011585302733766456,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
pr,18452,8648,8648,9,124,47,0.23528461894321828,0.2250829266962892,0.66544557485704,0.6400477513007561,4.782048310795344,,covered,unknown,model_logloss_not_better,False,0.010201692246929073,0.02539782355628395,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
pra,21546,10233,10234,13,138,49,0.23947548004165162,0.23254939455881518,0.6749372548662413,0.6563642790010206,5.380395418292535,,covered,unknown,model_logloss_not_better,False,0.006926085482836436,0.018572975865220775,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
pts,30412,14180,14189,14,137,52,0.2309984016586948,0.23033424309788786,0.6547308965263582,0.6516049756526711,3.8015925919213287,,covered,unknown,model_logloss_not_better,False,0.0006641585608069545,0.003125920873687127,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
ra,10228,4793,4793,9,108,45,0.2467956163752917,0.23600826677840014,0.6884731696238583,0.6635102678911835,2.377976510486296,,covered,unknown,model_logloss_not_better,False,0.010787349596891566,0.02496290173267479,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
reb,18081,8397,8397,14,130,50,0.2396148976520636,0.23470031273426428,0.6728394636335463,0.6611889119908106,1.6857613959148186,,covered,unknown,model_logloss_not_better,False,0.004914584917799308,0.011650551642735651,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
stl,4045,1923,1923,8,110,46,0.2861113397672863,0.23797314809989145,0.9715419516749816,0.6688004719863777,0.5980771341108465,,covered,unknown,model_logloss_not_better,False,0.04813819166739486,0.3027414796886039,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
stocks,1910,914,914,6,80,39,0.4393128085150768,0.24718835985171206,9.166544123850974,0.687413419226876,0.8392097135420892,,covered,unknown,model_logloss_not_better,False,0.19212444866336476,8.479130704624097,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
tov,94,40,40,1,20,28,0.3236456694444444,0.2502807448136779,0.8489030456356603,0.6938042075263902,1.3487444277777778,,covered,unknown,insufficient_scored_rows,False,0.07336492463076649,0.15509883810927017,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
