snapshot_type,snapshot_time_utc,delivery_date,game_id,game_start_time_utc,player_id,player_name,team,opponent,is_home,stat,pmf_json,mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,model_version,pmf_source,calibration_source,role_bucket,role_source,calibration_confidence,sportsbook,book,market_key,line,over_price_american,under_price_american,market_no_vig_over_prob,market_no_vig_under_prob,model_p_over,model_p_under,fair_over_odds_american,fair_under_odds_american,edge,edge_over,edge_under,market_snapshot_time_utc,market_coverage_status,finality_status,finality_blocker_codes,injury_freshness_status,availability_freshness_status,lineup_freshness_status,role_freshness_status,odds_freshness_status,outcomes_freshness_status,tov_status,pmf_valid,pmf_sum_error
morning,2026-04-30T23:34:43Z,2026-04-30,21681992,,666400,Nickeil Alexander-Walker,ATL,NYK,True,pts,"{""0"": 0.012707624574744843, ""1"": 0.013408044826896136, ""2"": 0.015309185511306781, ""3"": 0.01761056633980388, ""4"": 0.017710626375825492, ""5"": 0.023113868320992593, ""6"": 0.02651590954572743, ""7"": 0.027116269761857107, ""8"": 0.03311987192315388, ""9"": 0.0347208324994997, ""10"": 0.04292575545327196, ""11"": 0.05363217930758454, ""12"": 0.049329597758655176, ""13"": 0.04972983790274164, ""14"": 0.05633380028016809, ""15"": 0.058234940964578735, ""16"": 0.059335601360816476, ""17"": 0.047328397038222926, ""18"": 0.04422653592155293, ""19"": 0.049029417650590344, ""20"": 0.04502701620972583, ""21"": 0.034020412247348406, ""22"": 0.03482089253552131, ""23"": 0.02661596958174904, ""24"": 0.026115669401640982, ""25"": 0.01861116670002001, ""26"": 0.018811286772063236, ""27"": 0.01330798479087452, ""28"": 0.010906543926355813, ""29"": 0.008405043025815488, ""30"": 0.006203722233340003, ""31"": 0.006203722233340003, ""32"": 0.002801681008605163, ""33"": 0.002801681008605163, ""34"": 0.004002401440864518, ""35"": 0.001801080648389033, ""36"": 0.001901140684410646, ""37"": 0.001801080648389033, ""38"": 0.0014008405043025814, ""43"": 0.0016009605763458072, ""80"": 0.0014008405043025814}",15.222733640184106,15,16,0.012707624574744843,0.987292375425255,0.9738843305983588,0.958575145087052,0.9409645787472481,0.9232539523714227,0.9001400840504301,0.8736241745047028,0.8465079047428455,0.8133880328196917,0.778667200320192,0.7357414448669201,0.6821092655593355,0.6327796678006802,0.5830498298979386,0.5267160296177705,0.4684810886531918,0.4091454872923753,0.36181709025415243,0.3175905543325995,0.26856113668200915,6aea017#phase10c,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,projected_minutes,high,bovada,bovada,player_pts_over_under,14.5,-260.0,190.0,0.6768402154398564,0.3231597845601436,0.5267160296177706,0.47328397038222936,-111.0,111.0,-0.15012418582208575,-0.15012418582208575,0.15012418582208575,2026-04-30T23:34:27.590410Z,full,provisional,"lineup_unconfirmed,missing_stats:tov",fresh,,projected,derived_from_projected_minutes,skipped,finals_present,current_phase8,ok,3.3306690738754696e-16
morning,2026-04-30T23:34:43Z,2026-04-30,21681992,,666400,Nickeil Alexander-Walker,ATL,NYK,True,pts,"{""0"": 0.012707624574744843, ""1"": 0.013408044826896136, ""2"": 0.015309185511306781, ""3"": 0.01761056633980388, ""4"": 0.017710626375825492, ""5"": 0.023113868320992593, ""6"": 0.02651590954572743, ""7"": 0.027116269761857107, ""8"": 0.03311987192315388, ""9"": 0.0347208324994997, ""10"": 0.04292575545327196, ""11"": 0.05363217930758454, ""12"": 0.049329597758655176, ""13"": 0.04972983790274164, ""14"": 0.05633380028016809, ""15"": 0.058234940964578735, ""16"": 0.059335601360816476, ""17"": 0.047328397038222926, ""18"": 0.04422653592155293, ""19"": 0.049029417650590344, ""20"": 0.04502701620972583, ""21"": 0.034020412247348406, ""22"": 0.03482089253552131, ""23"": 0.02661596958174904, ""24"": 0.026115669401640982, ""25"": 0.01861116670002001, ""26"": 0.018811286772063236, ""27"": 0.01330798479087452, ""28"": 0.010906543926355813, ""29"": 0.008405043025815488, ""30"": 0.006203722233340003, ""31"": 0.006203722233340003, ""32"": 0.002801681008605163, ""33"": 0.002801681008605163, ""34"": 0.004002401440864518, ""35"": 0.001801080648389033, ""36"": 0.001901140684410646, ""37"": 0.001801080648389033, ""38"": 0.0014008405043025814, ""43"": 0.0016009605763458072, ""80"": 0.0014008405043025814}",15.222733640184106,15,16,0.012707624574744843,0.987292375425255,0.9738843305983588,0.958575145087052,0.9409645787472481,0.9232539523714227,0.9001400840504301,0.8736241745047028,0.8465079047428455,0.8133880328196917,0.778667200320192,0.7357414448669201,0.6821092655593355,0.6327796678006802,0.5830498298979386,0.5267160296177705,0.4684810886531918,0.4091454872923753,0.36181709025415243,0.3175905543325995,0.26856113668200915,6aea017#phase10c,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,projected_minutes,high,bovada,bovada,player_pts_over_under,15.5,-200.0,150.0,0.625,0.375,0.46848108865319193,0.5315189113468081,113.0,-113.0,-0.15651891134680807,-0.15651891134680807,0.15651891134680807,2026-04-30T23:34:27.590410Z,full,provisional,"lineup_unconfirmed,missing_stats:tov",fresh,,projected,derived_from_projected_minutes,skipped,finals_present,current_phase8,ok,3.3306690738754696e-16
morning,2026-04-30T23:34:43Z,2026-04-30,21681992,,666400,Nickeil Alexander-Walker,ATL,NYK,True,pts,"{""0"": 0.012707624574744843, ""1"": 0.013408044826896136, ""2"": 0.015309185511306781, ""3"": 0.01761056633980388, ""4"": 0.017710626375825492, ""5"": 0.023113868320992593, ""6"": 0.02651590954572743, ""7"": 0.027116269761857107, ""8"": 0.03311987192315388, ""9"": 0.0347208324994997, ""10"": 0.04292575545327196, ""11"": 0.05363217930758454, ""12"": 0.049329597758655176, ""13"": 0.04972983790274164, ""14"": 0.05633380028016809, ""15"": 0.058234940964578735, ""16"": 0.059335601360816476, ""17"": 0.047328397038222926, ""18"": 0.04422653592155293, ""19"": 0.049029417650590344, ""20"": 0.04502701620972583, ""21"": 0.034020412247348406, ""22"": 0.03482089253552131, ""23"": 0.02661596958174904, ""24"": 0.026115669401640982, ""25"": 0.01861116670002001, ""26"": 0.018811286772063236, ""27"": 0.01330798479087452, ""28"": 0.010906543926355813, ""29"": 0.008405043025815488, ""30"": 0.006203722233340003, ""31"": 0.006203722233340003, ""32"": 0.002801681008605163, ""33"": 0.002801681008605163, ""34"": 0.004002401440864518, ""35"": 0.001801080648389033, ""36"": 0.001901140684410646, ""37"": 0.001801080648389033, ""38"": 0.0014008405043025814, ""43"": 0.0016009605763458072, ""80"": 0.0014008405043025814}",15.222733640184106,15,16,0.012707624574744843,0.987292375425255,0.9738843305983588,0.958575145087052,0.9409645787472481,0.9232539523714227,0.9001400840504301,0.8736241745047028,0.8465079047428455,0.8133880328196917,0.778667200320192,0.7357414448669201,0.6821092655593355,0.6327796678006802,0.5830498298979386,0.5267160296177705,0.4684810886531918,0.4091454872923753,0.36181709025415243,0.3175905543325995,0.26856113668200915,6aea017#phase10c,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,projected_minutes,high,bovada,bovada,player_pts_over_under,16.5,-150.0,115.0,0.5633187772925764,0.4366812227074236,0.40914548729237543,0.5908545127076246,144.0,-144.0,-0.15417329000020097,-0.15417329000020097,0.15417329000020097,2026-04-30T23:34:27.590410Z,full,provisional,"lineup_unconfirmed,missing_stats:tov",fresh,,projected,derived_from_projected_minutes,skipped,finals_present,current_phase8,ok,3.3306690738754696e-16
morning,2026-04-30T23:34:43Z,2026-04-30,21681992,,666400,Nickeil Alexander-Walker,ATL,NYK,True,pts,"{""0"": 0.012707624574744843, ""1"": 0.013408044826896136, ""2"": 0.015309185511306781, ""3"": 0.01761056633980388, ""4"": 0.017710626375825492, ""5"": 0.023113868320992593, ""6"": 0.02651590954572743, ""7"": 0.027116269761857107, ""8"": 0.03311987192315388, ""9"": 0.0347208324994997, ""10"": 0.04292575545327196, ""11"": 0.05363217930758454, ""12"": 0.049329597758655176, ""13"": 0.04972983790274164, ""14"": 0.05633380028016809, ""15"": 0.058234940964578735, ""16"": 0.059335601360816476, ""17"": 0.047328397038222926, ""18"": 0.04422653592155293, ""19"": 0.049029417650590344, ""20"": 0.04502701620972583, ""21"": 0.034020412247348406, ""22"": 0.03482089253552131, ""23"": 0.02661596958174904, ""24"": 0.026115669401640982, ""25"": 0.01861116670002001, ""26"": 0.018811286772063236, ""27"": 0.01330798479087452, ""28"": 0.010906543926355813, ""29"": 0.008405043025815488, ""30"": 0.006203722233340003, ""31"": 0.006203722233340003, ""32"": 0.002801681008605163, ""33"": 0.002801681008605163, ""34"": 0.004002401440864518, ""35"": 0.001801080648389033, ""36"": 0.001901140684410646, ""37"": 0.001801080648389033, ""38"": 0.0014008405043025814, ""43"": 0.0016009605763458072, ""80"": 0.0014008405043025814}",15.222733640184106,15,16,0.012707624574744843,0.987292375425255,0.9738843305983588,0.958575145087052,0.9409645787472481,0.9232539523714227,0.9001400840504301,0.8736241745047028,0.8465079047428455,0.8133880328196917,0.778667200320192,0.7357414448669201,0.6821092655593355,0.6327796678006802,0.5830498298979386,0.5267160296177705,0.4684810886531918,0.4091454872923753,0.36181709025415243,0.3175905543325995,0.26856113668200915,6aea017#phase10c,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,projected_minutes,high,bovada,bovada,player_pts_over_under,17.5,-120.0,-110.0,0.5101214574898786,0.4898785425101214,0.3618170902541525,0.6381829097458476,176.0,-176.0,-0.1483043672357261,-0.1483043672357261,0.1483043672357261,2026-04-30T23:34:27.590410Z,full,provisional,"lineup_unconfirmed,missing_stats:tov",fresh,,projected,derived_from_projected_minutes,skipped,finals_present,current_phase8,ok,3.3306690738754696e-16
morning,2026-04-30T23:34:43Z,2026-04-30,21681992,,666400,Nickeil Alexander-Walker,ATL,NYK,True,pts,"{""0"": 0.012707624574744843, ""1"": 0.013408044826896136, ""2"": 0.015309185511306781, ""3"": 0.01761056633980388, ""4"": 0.017710626375825492, ""5"": 0.023113868320992593, ""6"": 0.02651590954572743, ""7"": 0.027116269761857107, ""8"": 0.03311987192315388, ""9"": 0.0347208324994997, ""10"": 0.04292575545327196, ""11"": 0.05363217930758454, ""12"": 0.049329597758655176, ""13"": 0.04972983790274164, ""14"": 0.05633380028016809, ""15"": 0.058234940964578735, ""16"": 0.059335601360816476, ""17"": 0.047328397038222926, ""18"": 0.04422653592155293, ""19"": 0.049029417650590344, ""20"": 0.04502701620972583, ""21"": 0.034020412247348406, ""22"": 0.03482089253552131, ""23"": 0.02661596958174904, ""24"": 0.026115669401640982, ""25"": 0.01861116670002001, ""26"": 0.018811286772063236, ""27"": 0.01330798479087452, ""28"": 0.010906543926355813, ""29"": 0.008405043025815488, ""30"": 0.006203722233340003, ""31"": 0.006203722233340003, ""32"": 0.002801681008605163, ""33"": 0.002801681008605163, ""34"": 0.004002401440864518, ""35"": 0.001801080648389033, ""36"": 0.001901140684410646, ""37"": 0.001801080648389033, ""38"": 0.0014008405043025814, ""43"": 0.0016009605763458072, ""80"": 0.0014008405043025814}",15.222733640184106,15,16,0.012707624574744843,0.987292375425255,0.9738843305983588,0.958575145087052,0.9409645787472481,0.9232539523714227,0.9001400840504301,0.8736241745047028,0.8465079047428455,0.8133880328196917,0.778667200320192,0.7357414448669201,0.6821092655593355,0.6327796678006802,0.5830498298979386,0.5267160296177705,0.4684810886531918,0.4091454872923753,0.36181709025415243,0.3175905543325995,0.26856113668200915,6aea017#phase10c,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,projected_minutes,high,bovada,bovada,player_pts_over_under,18.5,105.0,-135.0,0.4592085979482169,0.5407914020517831,0.31759055433259953,0.6824094456674005,215.0,-215.0,-0.14161804361561736,-0.14161804361561736,0.14161804361561736,2026-04-30T23:34:27.590410Z,full,provisional,"lineup_unconfirmed,missing_stats:tov",fresh,,projected,derived_from_projected_minutes,skipped,finals_present,current_phase8,ok,3.3306690738754696e-16
morning,2026-04-30T23:34:43Z,2026-04-30,21681992,,666400,Nickeil Alexander-Walker,ATL,NYK,True,pts,"{""0"": 0.012707624574744843, ""1"": 0.013408044826896136, ""2"": 0.015309185511306781, ""3"": 0.01761056633980388, ""4"": 0.017710626375825492, ""5"": 0.023113868320992593, ""6"": 0.02651590954572743, ""7"": 0.027116269761857107, ""8"": 0.03311987192315388, ""9"": 0.0347208324994997, ""10"": 0.04292575545327196, ""11"": 0.05363217930758454, ""12"": 0.049329597758655176, ""13"": 0.04972983790274164, ""14"": 0.05633380028016809, ""15"": 0.058234940964578735, ""16"": 0.059335601360816476, ""17"": 0.047328397038222926, ""18"": 0.04422653592155293, ""19"": 0.049029417650590344, ""20"": 0.04502701620972583, ""21"": 0.034020412247348406, ""22"": 0.03482089253552131, ""23"": 0.02661596958174904, ""24"": 0.026115669401640982, ""25"": 0.01861116670002001, ""26"": 0.018811286772063236, ""27"": 0.01330798479087452, ""28"": 0.010906543926355813, ""29"": 0.008405043025815488, ""30"": 0.006203722233340003, ""31"": 0.006203722233340003, ""32"": 0.002801681008605163, ""33"": 0.002801681008605163, ""34"": 0.004002401440864518, ""35"": 0.001801080648389033, ""36"": 0.001901140684410646, ""37"": 0.001801080648389033, ""38"": 0.0014008405043025814, ""43"": 0.0016009605763458072, ""80"": 0.0014008405043025814}",15.222733640184106,15,16,0.012707624574744843,0.987292375425255,0.9738843305983588,0.958575145087052,0.9409645787472481,0.9232539523714227,0.9001400840504301,0.8736241745047028,0.8465079047428455,0.8133880328196917,0.778667200320192,0.7357414448669201,0.6821092655593355,0.6327796678006802,0.5830498298979386,0.5267160296177705,0.4684810886531918,0.4091454872923753,0.36181709025415243,0.3175905543325995,0.26856113668200915,6aea017#phase10c,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,projected_minutes,high,bovada,bovada,player_pts_over_under,19.5,130.0,-170.0,0.40847201210287437,0.5915279878971256,0.2685611366820092,0.7314388633179908,272.0,-272.0,-0.13991087542086517,-0.13991087542086517,0.13991087542086517,2026-04-30T23:34:27.590410Z,full,provisional,"lineup_unconfirmed,missing_stats:tov",fresh,,projected,derived_from_projected_minutes,skipped,finals_present,current_phase8,ok,3.3306690738754696e-16
morning,2026-04-30T23:34:43Z,2026-04-30,21681992,,666400,Nickeil Alexander-Walker,ATL,NYK,True,pts,"{""0"": 0.012707624574744843, ""1"": 0.013408044826896136, ""2"": 0.015309185511306781, ""3"": 0.01761056633980388, ""4"": 0.017710626375825492, ""5"": 0.023113868320992593, ""6"": 0.02651590954572743, ""7"": 0.027116269761857107, ""8"": 0.03311987192315388, ""9"": 0.0347208324994997, ""10"": 0.04292575545327196, ""11"": 0.05363217930758454, ""12"": 0.049329597758655176, ""13"": 0.04972983790274164, ""14"": 0.05633380028016809, ""15"": 0.058234940964578735, ""16"": 0.059335601360816476, ""17"": 0.047328397038222926, ""18"": 0.04422653592155293, ""19"": 0.049029417650590344, ""20"": 0.04502701620972583, ""21"": 0.034020412247348406, ""22"": 0.03482089253552131, ""23"": 0.02661596958174904, ""24"": 0.026115669401640982, ""25"": 0.01861116670002001, ""26"": 0.018811286772063236, ""27"": 0.01330798479087452, ""28"": 0.010906543926355813, ""29"": 0.008405043025815488, ""30"": 0.006203722233340003, ""31"": 0.006203722233340003, ""32"": 0.002801681008605163, ""33"": 0.002801681008605163, ""34"": 0.004002401440864518, ""35"": 0.001801080648389033, ""36"": 0.001901140684410646, ""37"": 0.001801080648389033, ""38"": 0.0014008405043025814, ""43"": 0.0016009605763458072, ""80"": 0.0014008405043025814}",15.222733640184106,15,16,0.012707624574744843,0.987292375425255,0.9738843305983588,0.958575145087052,0.9409645787472481,0.9232539523714227,0.9001400840504301,0.8736241745047028,0.8465079047428455,0.8133880328196917,0.778667200320192,0.7357414448669201,0.6821092655593355,0.6327796678006802,0.5830498298979386,0.5267160296177705,0.4684810886531918,0.4091454872923753,0.36181709025415243,0.3175905543325995,0.26856113668200915,6aea017#phase10c,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,projected_minutes,high,bovada,bovada,player_pts_over_under,20.5,165.0,-220.0,0.35437430786268,0.64562569213732,0.22353412047228338,0.7764658795277166,347.0,-347.0,-0.1308401873903966,-0.1308401873903966,0.1308401873903966,2026-04-30T23:34:27.590410Z,full,provisional,"lineup_unconfirmed,missing_stats:tov",fresh,,projected,derived_from_projected_minutes,skipped,finals_present,current_phase8,ok,3.3306690738754696e-16
morning,2026-04-30T23:34:43Z,2026-04-30,21681992,,666400,Nickeil Alexander-Walker,ATL,NYK,True,pts,"{""0"": 0.012707624574744843, ""1"": 0.013408044826896136, ""2"": 0.015309185511306781, ""3"": 0.01761056633980388, ""4"": 0.017710626375825492, ""5"": 0.023113868320992593, ""6"": 0.02651590954572743, ""7"": 0.027116269761857107, ""8"": 0.03311987192315388, ""9"": 0.0347208324994997, ""10"": 0.04292575545327196, ""11"": 0.05363217930758454, ""12"": 0.049329597758655176, ""13"": 0.04972983790274164, ""14"": 0.05633380028016809, ""15"": 0.058234940964578735, ""16"": 0.059335601360816476, ""17"": 0.047328397038222926, ""18"": 0.04422653592155293, ""19"": 0.049029417650590344, ""20"": 0.04502701620972583, ""21"": 0.034020412247348406, ""22"": 0.03482089253552131, ""23"": 0.02661596958174904, ""24"": 0.026115669401640982, ""25"": 0.01861116670002001, ""26"": 0.018811286772063236, ""27"": 0.01330798479087452, ""28"": 0.010906543926355813, ""29"": 0.008405043025815488, ""30"": 0.006203722233340003, ""31"": 0.006203722233340003, ""32"": 0.002801681008605163, ""33"": 0.002801681008605163, ""34"": 0.004002401440864518, ""35"": 0.001801080648389033, ""36"": 0.001901140684410646, ""37"": 0.001801080648389033, ""38"": 0.0014008405043025814, ""43"": 0.0016009605763458072, ""80"": 0.0014008405043025814}",15.222733640184106,15,16,0.012707624574744843,0.987292375425255,0.9738843305983588,0.958575145087052,0.9409645787472481,0.9232539523714227,0.9001400840504301,0.8736241745047028,0.8465079047428455,0.8133880328196917,0.778667200320192,0.7357414448669201,0.6821092655593355,0.6327796678006802,0.5830498298979386,0.5267160296177705,0.4684810886531918,0.4091454872923753,0.36181709025415243,0.3175905543325995,0.26856113668200915,6aea017#phase10c,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,projected_minutes,high,bovada,bovada,player_pts_over_under,21.5,205.0,-280.0,0.3079416531604538,0.6920583468395463,0.189513708224935,0.810486291775065,428.0,-428.0,-0.11842794493551881,-0.11842794493551881,0.11842794493551881,2026-04-30T23:34:27.590410Z,full,provisional,"lineup_unconfirmed,missing_stats:tov",fresh,,projected,derived_from_projected_minutes,skipped,finals_present,current_phase8,ok,3.3306690738754696e-16
morning,2026-04-30T23:34:43Z,2026-04-30,21681992,,666400,Nickeil Alexander-Walker,ATL,NYK,True,pts,"{""0"": 0.012707624574744843, ""1"": 0.013408044826896136, ""2"": 0.015309185511306781, ""3"": 0.01761056633980388, ""4"": 0.017710626375825492, ""5"": 0.023113868320992593, ""6"": 0.02651590954572743, ""7"": 0.027116269761857107, ""8"": 0.03311987192315388, ""9"": 0.0347208324994997, ""10"": 0.04292575545327196, ""11"": 0.05363217930758454, ""12"": 0.049329597758655176, ""13"": 0.04972983790274164, ""14"": 0.05633380028016809, ""15"": 0.058234940964578735, ""16"": 0.059335601360816476, ""17"": 0.047328397038222926, ""18"": 0.04422653592155293, ""19"": 0.049029417650590344, ""20"": 0.04502701620972583, ""21"": 0.034020412247348406, ""22"": 0.03482089253552131, ""23"": 0.02661596958174904, ""24"": 0.026115669401640982, ""25"": 0.01861116670002001, ""26"": 0.018811286772063236, ""27"": 0.01330798479087452, ""28"": 0.010906543926355813, ""29"": 0.008405043025815488, ""30"": 0.006203722233340003, ""31"": 0.006203722233340003, ""32"": 0.002801681008605163, ""33"": 0.002801681008605163, ""34"": 0.004002401440864518, ""35"": 0.001801080648389033, ""36"": 0.001901140684410646, ""37"": 0.001801080648389033, ""38"": 0.0014008405043025814, ""43"": 0.0016009605763458072, ""80"": 0.0014008405043025814}",15.222733640184106,15,16,0.012707624574744843,0.987292375425255,0.9738843305983588,0.958575145087052,0.9409645787472481,0.9232539523714227,0.9001400840504301,0.8736241745047028,0.8465079047428455,0.8133880328196917,0.778667200320192,0.7357414448669201,0.6821092655593355,0.6327796678006802,0.5830498298979386,0.5267160296177705,0.4684810886531918,0.4091454872923753,0.36181709025415243,0.3175905543325995,0.26856113668200915,6aea017#phase10c,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,projected_minutes,high,draftkings,draftkings,player_pts_over_under,18.5,-125.0,-105.0,0.5203045685279188,0.47969543147208116,0.31759055433259953,0.6824094456674005,215.0,-215.0,-0.20271401419531931,-0.20271401419531931,0.20271401419531931,2026-04-30T23:34:27.590410Z,full,provisional,"lineup_unconfirmed,missing_stats:tov",fresh,,projected,derived_from_projected_minutes,skipped,finals_present,current_phase8,ok,3.3306690738754696e-16
morning,2026-04-30T23:34:43Z,2026-04-30,21681992,,666400,Nickeil Alexander-Walker,ATL,NYK,True,pts,"{""0"": 0.012707624574744843, ""1"": 0.013408044826896136, ""2"": 0.015309185511306781, ""3"": 0.01761056633980388, ""4"": 0.017710626375825492, ""5"": 0.023113868320992593, ""6"": 0.02651590954572743, ""7"": 0.027116269761857107, ""8"": 0.03311987192315388, ""9"": 0.0347208324994997, ""10"": 0.04292575545327196, ""11"": 0.05363217930758454, ""12"": 0.049329597758655176, ""13"": 0.04972983790274164, ""14"": 0.05633380028016809, ""15"": 0.058234940964578735, ""16"": 0.059335601360816476, ""17"": 0.047328397038222926, ""18"": 0.04422653592155293, ""19"": 0.049029417650590344, ""20"": 0.04502701620972583, ""21"": 0.034020412247348406, ""22"": 0.03482089253552131, ""23"": 0.02661596958174904, ""24"": 0.026115669401640982, ""25"": 0.01861116670002001, ""26"": 0.018811286772063236, ""27"": 0.01330798479087452, ""28"": 0.010906543926355813, ""29"": 0.008405043025815488, ""30"": 0.006203722233340003, ""31"": 0.006203722233340003, ""32"": 0.002801681008605163, ""33"": 0.002801681008605163, ""34"": 0.004002401440864518, ""35"": 0.001801080648389033, ""36"": 0.001901140684410646, ""37"": 0.001801080648389033, ""38"": 0.0014008405043025814, ""43"": 0.0016009605763458072, ""80"": 0.0014008405043025814}",15.222733640184106,15,16,0.012707624574744843,0.987292375425255,0.9738843305983588,0.958575145087052,0.9409645787472481,0.9232539523714227,0.9001400840504301,0.8736241745047028,0.8465079047428455,0.8133880328196917,0.778667200320192,0.7357414448669201,0.6821092655593355,0.6327796678006802,0.5830498298979386,0.5267160296177705,0.4684810886531918,0.4091454872923753,0.36181709025415243,0.3175905543325995,0.26856113668200915,6aea017#phase10c,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,projected_minutes,high,fanduel,fanduel,player_pts_over_under,18.5,-132.0,100.0,0.532258064516129,0.467741935483871,0.31759055433259953,0.6824094456674005,215.0,-215.0,-0.21466751018352948,-0.21466751018352948,0.21466751018352948,2026-04-30T23:34:27.590410Z,full,provisional,"lineup_unconfirmed,missing_stats:tov",fresh,,projected,derived_from_projected_minutes,skipped,finals_present,current_phase8,ok,3.3306690738754696e-16
