player_id,player_name,game_id,stat,line
56677826,Ausar Thompson,21684812,ast,3.5
56677826,Ausar Thompson,21684812,blk,1.5
56677827,Anthony Black,21684812,pts,13.5
56677827,Anthony Black,21684812,reb,3.5
56677827,Anthony Black,21684812,blk,0.5
3547267,Isaiah Stewart,21684812,reb,3.5
38017734,Jamal Cain,21684812,reb,3.5
200,Tobias Harris,21684812,pts,17.5
200,Tobias Harris,21684812,fg3m,1.5
200,Tobias Harris,21684812,stl,1.5
200,Tobias Harris,21684812,blk,0.5
17896073,Jalen Suggs,21684812,reb,3.5
17896073,Jalen Suggs,21684812,ast,4.5
17896073,Jalen Suggs,21684812,fg3m,2.5
17896073,Jalen Suggs,21684812,blk,0.5
17896075,Cade Cunningham,21684812,pts,29.5
17896075,Cade Cunningham,21684812,reb,6.5
17896075,Cade Cunningham,21684812,ast,9.5
17896075,Cade Cunningham,21684812,blk,0.5
397,Duncan Robinson,21684812,fg3m,2.5
38017683,Paolo Banchero,21684812,reb,8.5
38017683,Paolo Banchero,21684812,ast,5.5
85,Wendell Carter Jr.,21684812,pts,11.5
277,Caris LeVert,21684812,stl,0.5
3547287,Desmond Bane,21684812,pts,19.5
3547287,Desmond Bane,21684812,reb,4.5
3547287,Desmond Bane,21684812,fg3m,2.5
38017694,Jalen Duren,21684812,pts,13.5
38017694,Jalen Duren,21684812,stl,0.5
