player_id,player_name,stat,line,actual,p_realized,over_realized,nll
161,De'Aaron Fox,reb,3.5,3,0.1425,0.0,1.948413279273432
161,De'Aaron Fox,ast,5.5,5,0.1201,0.0,2.119430549896199
414,Landry Shamet,fg3m,1.5,3,0.0873,1.0,2.4384048161365803
414,Landry Shamet,stl,0.5,0,0.6309,0.0,0.4606079076053732
261,Luke Kornet,blk,0.5,0,0.7298,0.0,0.3149847549797898
73,Jalen Brunson,fg3m,2.5,2,0.2677,0.0,1.3178883284558305
73,Jalen Brunson,stl,0.5,5,0.0,1.0,20.72326583694641
202,Josh Hart,pts,11.5,0,0.0231,0.0,3.767922661454389
202,Josh Hart,reb,8.5,6,0.0912,0.0,2.3947003819018517
202,Josh Hart,ast,4.5,4,0.1344,0.0,2.006934850893088
202,Josh Hart,fg3m,1.5,0,0.2159,0.0,1.5329399414613754
202,Josh Hart,blk,0.5,1,0.1701,1.0,1.771368779580321
1028025261,Stephon Castle,ast,6.5,4,0.131,0.0,2.0325579557809856
3547246,Devin Vassell,pts,12.5,14,0.0543,1.0,2.913231052042247
3547246,Devin Vassell,ast,2.5,5,0.0452,1.0,3.0966581921439515
3547246,Devin Vassell,blk,0.5,1,0.2165,1.0,1.5301647315395923
399,Mitchell Robinson,reb,5.5,3,0.1316,0.0,2.0279882600909205
399,Mitchell Robinson,stl,0.5,1,0.2362,1.0,1.443076375218875
399,Mitchell Robinson,blk,0.5,1,0.1835,1.0,1.695540611487512
38017649,Julian Champagnie,pts,10.5,8,0.0826,0.0,2.4937455984552046
38017649,Julian Champagnie,reb,5.5,4,0.1275,0.0,2.059638914383656
38017649,Julian Champagnie,fg3m,2.5,2,0.3272,0.0,1.117183674253545
18,OG Anunoby,reb,5.5,4,0.0965,0.0,2.3382122706371966
18,OG Anunoby,fg3m,1.5,2,0.2632,1.0,1.3348410795309749
18,OG Anunoby,blk,0.5,2,0.0888,1.0,2.4213686289840126
1057262518,Dylan Harper,pts,12.5,15,0.0328,1.0,3.417326763592039
1057262518,Dylan Harper,ast,3.5,3,0.1584,0.0,1.842631799601812
1057262518,Dylan Harper,fg3m,0.5,0,0.3097,0.0,1.17215119200298
666682,Keldon Johnson,reb,2.5,4,0.0982,1.0,2.320749063621717
666682,Keldon Johnson,fg3m,0.5,0,0.2151,0.0,1.5366522427084526
666682,Keldon Johnson,stl,0.5,1,0.1777,1.0,1.7276585438215315
61,Mikal Bridges,pts,11.5,20,0.0331,1.0,3.40822199659912
61,Mikal Bridges,fg3m,1.5,4,0.0,1.0,20.72326583694641
61,Mikal Bridges,blk,0.5,0,0.7086,0.0,0.3444640865507654
56677822,Victor Wembanyama,pts,27.5,29,0.0287,1.0,3.5508581562165618
56677822,Victor Wembanyama,reb,11.5,9,0.1011,0.0,2.291645152955712
56677822,Victor Wembanyama,ast,3.5,2,0.2138,0.0,1.5427142803911922
56677822,Victor Wembanyama,stl,1.5,2,0.0935,1.0,2.369793842687496
447,Karl-Anthony Towns,pts,16.5,21,0.033,1.0,3.4112477175156566
447,Karl-Anthony Towns,ast,3.5,4,0.1598,1.0,1.8338322456499627
447,Karl-Anthony Towns,fg3m,1.5,3,0.088,1.0,2.430418464503931
447,Karl-Anthony Towns,stl,0.5,1,0.1873,1.0,1.6750436695320945
447,Karl-Anthony Towns,blk,0.5,1,0.1906,1.0,1.6575782877620353
