stat,role_bucket,n,model_logloss,market_logloss,delta_logloss,model_brier,market_brier,delta_brier,actual_hit_rate,mean_model_prob,mean_market_prob,model_prob_bias,market_prob_bias,mean_line,line_min,line_p25,line_p50,line_p75,line_max,avg_model_mean,avg_model_variance,avg_model_p0,avg_minutes_mean,actual_minutes_mean,minutes_bias,suspected_cause
pts,core,140,0.8286155222354645,0.6724267171106013,0.15618880512486322,0.31052902460317455,0.23978024871060302,0.07074877589257153,0.5,0.4027928571428572,0.4973147697488983,-0.09720714285714283,-0.002685230251101678,13.207142857142857,2.5,9.5,11.5,15.75,28.5,11.586147619047619,52.91539808253968,0.05533095238095239,,,,model_prob_too_low
pts,starter,125,0.6931229335732255,0.6903603080859929,0.002762625487232606,0.2494335808223753,0.24861255387014206,0.0008210269522332392,0.592,0.6253583158497976,0.4981075130290458,0.03335831584979765,-0.09389248697095415,18.86,6.5,15.5,18.5,21.5,30.5,17.730130666666668,87.01226656444446,0.03825600000000001,,,,mean_bias
reb,core,117,0.731494101674151,0.65554029871713,0.07595380295702092,0.2604652355175689,0.2324086554454356,0.028056580072133297,0.3418803418803419,0.3591994301994302,0.4808747948423213,0.017319088319088294,0.13899445296197943,6.67948717948718,1.5,3.5,6.5,8.5,14.5,5.536091168091166,14.83382121937322,0.10685185185185185,,,,mean_bias
