player_name,projected_minutes,stat,market_line,model_projected_mean,model_probability_over_market_line
Cade Cunningham,34.69707113974163,ast,6.5,8.679238212132745,0.842885397292574
Cade Cunningham,34.69707113974163,ast,7.5,8.679238212132745,0.6979235606034027
Cade Cunningham,34.69707113974163,ast,8.5,8.679238212132745,0.5573047157365866
Cade Cunningham,34.69707113974163,ast,9.5,8.679238212132745,0.36130246615410055
Cade Cunningham,34.69707113974163,ast,10.5,8.679238212132745,0.2102318306048253
Cade Cunningham,34.69707113974163,ast,11.5,8.679238212132745,0.09064242846033496
Cade Cunningham,34.69707113974163,blk,0.5,0.8133918190119411,0.44943105307452635
Cade Cunningham,34.69707113974163,fg3m,1.5,2.2404632550073105,0.5937365020446821
Cade Cunningham,34.69707113974163,fg3m,2.5,2.2404632550073105,0.3785974926189378
Cade Cunningham,34.69707113974163,fg3m,3.5,2.2404632550073105,0.21982812485674924
Cade Cunningham,34.69707113974163,pa,27.5,33.656443757717405,0.7415884932315452
Cade Cunningham,34.69707113974163,pa,28.5,33.656443757717405,0.703449073890551
Cade Cunningham,34.69707113974163,pa,29.5,33.656443757717405,0.66545506598592
Cade Cunningham,34.69707113974163,pa,30.5,33.656443757717405,0.6192781222966253
Cade Cunningham,34.69707113974163,pa,31.5,33.656443757717405,0.5660592361686007
Cade Cunningham,34.69707113974163,pa,32.5,33.656443757717405,0.5112346771001136
Cade Cunningham,34.69707113974163,pa,33.5,33.656443757717405,0.47174815849748053
Cade Cunningham,34.69707113974163,pa,34.5,33.656443757717405,0.4244830204260456
Cade Cunningham,34.69707113974163,pa,35.5,33.656443757717405,0.37607285478862407
Cade Cunningham,34.69707113974163,pa,36.5,33.656443757717405,0.3313876779650804
Cade Cunningham,34.69707113974163,pa,37.5,33.656443757717405,0.29109626835612035
Cade Cunningham,34.69707113974163,pa,38.5,33.656443757717405,0.25424295213055836
Cade Cunningham,34.69707113974163,pa,39.5,33.656443757717405,0.2206963503816909
Cade Cunningham,34.69707113974163,pa,40.5,33.656443757717405,0.19403554115286104
Cade Cunningham,34.69707113974163,pa,41.5,33.656443757717405,0.16718662709231513
Cade Cunningham,34.69707113974163,pa,42.5,33.656443757717405,0.14210639619340348
Cade Cunningham,34.69707113974163,pa,43.5,33.656443757717405,0.11947465088645703
Cade Cunningham,34.69707113974163,pr,23.5,30.47526602995844,0.7686046244704616
Cade Cunningham,34.69707113974163,pr,24.5,30.47526602995844,0.7363376796143942
Cade Cunningham,34.69707113974163,pr,25.5,30.47526602995844,0.6949808355574236
Cade Cunningham,34.69707113974163,pr,26.5,30.47526602995844,0.6541268517056649
Cade Cunningham,34.69707113974163,pr,27.5,30.47526602995844,0.601889748778953
Cade Cunningham,34.69707113974163,pr,28.5,30.47526602995844,0.5553899307152574
Cade Cunningham,34.69707113974163,pr,29.5,30.47526602995844,0.5014272558309751
Cade Cunningham,34.69707113974163,pr,30.5,30.47526602995844,0.4591217588741354
Cade Cunningham,34.69707113974163,pr,31.5,30.47526602995844,0.4133596874423402
