snapshot_type,snapshot_time_utc,delivery_date,game_id,game_start_time_utc,player_id,player_name,team,opponent,is_home,stat,pmf_json,mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,model_version,pmf_source,calibration_source,role_bucket,role_source,calibration_confidence,minutes_mean,minutes_q50,minutes_p10,minutes_p50,minutes_p90,minutes_std,p_inactive_used,rotation_probability,starter_probability,projected_role,player_game_eligible,eligibility_reason,has_current_market_line,minutes_source,minutes_model_version,sportsbook,book,market_key,line,over_price_american,under_price_american,market_no_vig_over_prob,market_no_vig_under_prob,model_p_over,model_p_under,fair_over_odds_american,fair_under_odds_american,edge,edge_over,edge_under,market_snapshot_time_utc,market_coverage_status,finality_status,finality_blocker_codes,injury_freshness_status,availability_freshness_status,lineup_freshness_status,role_freshness_status,odds_freshness_status,outcomes_freshness_status,tov_status,pmf_valid,pmf_sum_error
morning,2026-05-16T22:31:58Z,2026-05-17,21709241,,9,Jarrett Allen,CLE,DET,False,pts,"{""0"": 0.009034461431454375, ""1"": 0.005278074431384823, ""2"": 0.009363645263094956, ""3"": 0.01747960311654069, ""4"": 0.02346808002503897, ""5"": 0.02603535032045131, ""6"": 0.03416652836127352, ""7"": 0.04019652129113346, ""8"": 0.045039930663968226, ""9"": 0.06498583236848736, ""10"": 0.06394692130840968, ""11"": 0.07072569199185032, ""12"": 0.07252244664362241, ""13"": 0.0758736355826918, ""14"": 0.06526973508474518, ""15"": 0.06263533114791899, ""16"": 0.058096798141168915, ""17"": 0.04246649145426953, ""18"": 0.05037750717559563, ""19"": 0.03593925790173898, ""20"": 0.030712296072126354, ""21"": 0.02335632692255639, ""22"": 0.0200411147784112, ""23"": 0.011037337080561404, ""24"": 0.01086432761986045, ""25"": 0.007190121049902458, ""26"": 0.006136419427211627, ""27"": 0.006835934709334665, ""28"": 0.004063433079483804, ""29"": 0.0016966900635495864, ""30"": 0.002185740702020901, ""31"": 0.0013894874916690811, ""32"": 0.0002930199314501148, ""33"": 0.00028342311795856684, ""34"": 4.2430561685218084e-05, ""35"": 7.984383504661244e-05, ""36"": 7.191584610964587e-05, ""37"": 0.0002826026151643836, ""38"": 3.0433469127083536e-05, ""39"": 4.638109270934494e-05, ""40"": 1.4486662143693145e-05, ""41"": 5.321083278397984e-05, ""42"": 5.305973569079911e-05, ""43"": 4.752418395952498e-301, ""44"": 0.00015515917443693935, ""45"": 4.0827728311559e-301, ""46"": 2.5518885189515588e-05, ""47"": 3.4646041254271666e-301, ""48"": 3.176870519826871e-301, ""49"": 0.000157441538977106, ""50"": 2.6465780004235626e-301, ""51"": 2.4044955920235326e-301, ""52"": 2.177848854928524e-301, ""53"": 1.966509053791782e-301, ""54"": 1.7702256453095534e-301, ""55"": 1.5886410102383238e-301, ""56"": 1.4213052967990236e-301, ""57"": 1.2676911052469076e-301, ""58"": 1.1272077739044447e-301, ""59"": 9.992150599333649e-302, ""60"": 8.830360424104828e-302, ""61"": 7.779691098706486e-302, ""62"": 6.832989284188395e-302, ""63"": 5.983063190204844e-302, ""64"": 5.222770029501166e-302, ""65"": 4.545092020850201e-302, ""66"": 3.943201053865777e-302, ""67"": 3.4105123423794763e-302, ""68"": 2.9407275718408903e-302, ""69"": 2.5278681902532477e-302, ""70"": 2.1662996023362434e-302, ""71"": 1.8507471045997936e-302, ""72"": 1.5763044472168177e-302, ""73"": 1.338435929894814e-302, ""74"": 1.1329729366023741e-302, ""75"": 9.561057915187028e-303, ""76"": 8.043717794211595e-303, ""77"": 6.74640121426033e-303, ""78"": 5.6409463486005945e-303, ""79"": 4.702147371607918e-303, ""80"": 3.9075538089334844e-303}",13.01597993238448,13,13,0.009034461431454375,0.9909655385685456,0.9856874641371608,0.9763238188740659,0.9588442157575252,0.9353761357324861,0.9093407854120349,0.8751742570507614,0.8349777357596279,0.7899378050956597,0.7249519727271723,0.6610050514187626,0.5902793594269122,0.51775691278329,0.4418832772005981,0.37661354211585296,0.31397821096793394,0.255881412826765,0.21341492137249551,0.1630374141968999,0.1270981562951609,7cbec0bd#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,core,projected_minutes,high,27.636257872382785,29.950777308991107,12.857773763927916,29.950777308991107,35.935629758105705,9.308362104104614,0.050000000000000044,0.9313184427393633,0.4534176816266048,core,True,rotation_probability,False,,,williamhill_us,williamhill_us,player_pts_over_under,11.5,-127.0,-106.0,0.5209063395985983,0.47909366040140167,0.5902793594269123,0.40972064057308766,-144.0,144.0,0.06937301982831401,0.06937301982831401,-0.06937301982831401,2026-05-16T22:30:52.305512Z,full,provisional,"injury_very_stale,lineup_unconfirmed",unknown,,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,2.220446049250313e-16
morning,2026-05-16T22:31:58Z,2026-05-17,21709241,,9,Jarrett Allen,CLE,DET,False,pts,"{""0"": 0.009034461431454375, ""1"": 0.005278074431384823, ""2"": 0.009363645263094956, ""3"": 0.01747960311654069, ""4"": 0.02346808002503897, ""5"": 0.02603535032045131, ""6"": 0.03416652836127352, ""7"": 0.04019652129113346, ""8"": 0.045039930663968226, ""9"": 0.06498583236848736, ""10"": 0.06394692130840968, ""11"": 0.07072569199185032, ""12"": 0.07252244664362241, ""13"": 0.0758736355826918, ""14"": 0.06526973508474518, ""15"": 0.06263533114791899, ""16"": 0.058096798141168915, ""17"": 0.04246649145426953, ""18"": 0.05037750717559563, ""19"": 0.03593925790173898, ""20"": 0.030712296072126354, ""21"": 0.02335632692255639, ""22"": 0.0200411147784112, ""23"": 0.011037337080561404, ""24"": 0.01086432761986045, ""25"": 0.007190121049902458, ""26"": 0.006136419427211627, ""27"": 0.006835934709334665, ""28"": 0.004063433079483804, ""29"": 0.0016966900635495864, ""30"": 0.002185740702020901, ""31"": 0.0013894874916690811, ""32"": 0.0002930199314501148, ""33"": 0.00028342311795856684, ""34"": 4.2430561685218084e-05, ""35"": 7.984383504661244e-05, ""36"": 7.191584610964587e-05, ""37"": 0.0002826026151643836, ""38"": 3.0433469127083536e-05, ""39"": 4.638109270934494e-05, ""40"": 1.4486662143693145e-05, ""41"": 5.321083278397984e-05, ""42"": 5.305973569079911e-05, ""43"": 4.752418395952498e-301, ""44"": 0.00015515917443693935, ""45"": 4.0827728311559e-301, ""46"": 2.5518885189515588e-05, ""47"": 3.4646041254271666e-301, ""48"": 3.176870519826871e-301, ""49"": 0.000157441538977106, ""50"": 2.6465780004235626e-301, ""51"": 2.4044955920235326e-301, ""52"": 2.177848854928524e-301, ""53"": 1.966509053791782e-301, ""54"": 1.7702256453095534e-301, ""55"": 1.5886410102383238e-301, ""56"": 1.4213052967990236e-301, ""57"": 1.2676911052469076e-301, ""58"": 1.1272077739044447e-301, ""59"": 9.992150599333649e-302, ""60"": 8.830360424104828e-302, ""61"": 7.779691098706486e-302, ""62"": 6.832989284188395e-302, ""63"": 5.983063190204844e-302, ""64"": 5.222770029501166e-302, ""65"": 4.545092020850201e-302, ""66"": 3.943201053865777e-302, ""67"": 3.4105123423794763e-302, ""68"": 2.9407275718408903e-302, ""69"": 2.5278681902532477e-302, ""70"": 2.1662996023362434e-302, ""71"": 1.8507471045997936e-302, ""72"": 1.5763044472168177e-302, ""73"": 1.338435929894814e-302, ""74"": 1.1329729366023741e-302, ""75"": 9.561057915187028e-303, ""76"": 8.043717794211595e-303, ""77"": 6.74640121426033e-303, ""78"": 5.6409463486005945e-303, ""79"": 4.702147371607918e-303, ""80"": 3.9075538089334844e-303}",13.01597993238448,13,13,0.009034461431454375,0.9909655385685456,0.9856874641371608,0.9763238188740659,0.9588442157575252,0.9353761357324861,0.9093407854120349,0.8751742570507614,0.8349777357596279,0.7899378050956597,0.7249519727271723,0.6610050514187626,0.5902793594269122,0.51775691278329,0.4418832772005981,0.37661354211585296,0.31397821096793394,0.255881412826765,0.21341492137249551,0.1630374141968999,0.1270981562951609,7cbec0bd#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,core,projected_minutes,high,27.636257872382785,29.950777308991107,12.857773763927916,29.950777308991107,35.935629758105705,9.308362104104614,0.050000000000000044,0.9313184427393633,0.4534176816266048,core,True,rotation_probability,False,,,draftkings,draftkings,player_pts_over_under,11.5,-114.0,-112.0,0.5020774472328402,0.4979225527671598,0.5902793594269123,0.40972064057308766,-144.0,144.0,0.08820191219407214,0.08820191219407214,-0.08820191219407214,2026-05-16T22:30:52.305512Z,full,provisional,"injury_very_stale,lineup_unconfirmed",unknown,,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,2.220446049250313e-16
morning,2026-05-16T22:31:58Z,2026-05-17,21709241,,9,Jarrett Allen,CLE,DET,False,pts,"{""0"": 0.009034461431454375, ""1"": 0.005278074431384823, ""2"": 0.009363645263094956, ""3"": 0.01747960311654069, ""4"": 0.02346808002503897, ""5"": 0.02603535032045131, ""6"": 0.03416652836127352, ""7"": 0.04019652129113346, ""8"": 0.045039930663968226, ""9"": 0.06498583236848736, ""10"": 0.06394692130840968, ""11"": 0.07072569199185032, ""12"": 0.07252244664362241, ""13"": 0.0758736355826918, ""14"": 0.06526973508474518, ""15"": 0.06263533114791899, ""16"": 0.058096798141168915, ""17"": 0.04246649145426953, ""18"": 0.05037750717559563, ""19"": 0.03593925790173898, ""20"": 0.030712296072126354, ""21"": 0.02335632692255639, ""22"": 0.0200411147784112, ""23"": 0.011037337080561404, ""24"": 0.01086432761986045, ""25"": 0.007190121049902458, ""26"": 0.006136419427211627, ""27"": 0.006835934709334665, ""28"": 0.004063433079483804, ""29"": 0.0016966900635495864, ""30"": 0.002185740702020901, ""31"": 0.0013894874916690811, ""32"": 0.0002930199314501148, ""33"": 0.00028342311795856684, ""34"": 4.2430561685218084e-05, ""35"": 7.984383504661244e-05, ""36"": 7.191584610964587e-05, ""37"": 0.0002826026151643836, ""38"": 3.0433469127083536e-05, ""39"": 4.638109270934494e-05, ""40"": 1.4486662143693145e-05, ""41"": 5.321083278397984e-05, ""42"": 5.305973569079911e-05, ""43"": 4.752418395952498e-301, ""44"": 0.00015515917443693935, ""45"": 4.0827728311559e-301, ""46"": 2.5518885189515588e-05, ""47"": 3.4646041254271666e-301, ""48"": 3.176870519826871e-301, ""49"": 0.000157441538977106, ""50"": 2.6465780004235626e-301, ""51"": 2.4044955920235326e-301, ""52"": 2.177848854928524e-301, ""53"": 1.966509053791782e-301, ""54"": 1.7702256453095534e-301, ""55"": 1.5886410102383238e-301, ""56"": 1.4213052967990236e-301, ""57"": 1.2676911052469076e-301, ""58"": 1.1272077739044447e-301, ""59"": 9.992150599333649e-302, ""60"": 8.830360424104828e-302, ""61"": 7.779691098706486e-302, ""62"": 6.832989284188395e-302, ""63"": 5.983063190204844e-302, ""64"": 5.222770029501166e-302, ""65"": 4.545092020850201e-302, ""66"": 3.943201053865777e-302, ""67"": 3.4105123423794763e-302, ""68"": 2.9407275718408903e-302, ""69"": 2.5278681902532477e-302, ""70"": 2.1662996023362434e-302, ""71"": 1.8507471045997936e-302, ""72"": 1.5763044472168177e-302, ""73"": 1.338435929894814e-302, ""74"": 1.1329729366023741e-302, ""75"": 9.561057915187028e-303, ""76"": 8.043717794211595e-303, ""77"": 6.74640121426033e-303, ""78"": 5.6409463486005945e-303, ""79"": 4.702147371607918e-303, ""80"": 3.9075538089334844e-303}",13.01597993238448,13,13,0.009034461431454375,0.9909655385685456,0.9856874641371608,0.9763238188740659,0.9588442157575252,0.9353761357324861,0.9093407854120349,0.8751742570507614,0.8349777357596279,0.7899378050956597,0.7249519727271723,0.6610050514187626,0.5902793594269122,0.51775691278329,0.4418832772005981,0.37661354211585296,0.31397821096793394,0.255881412826765,0.21341492137249551,0.1630374141968999,0.1270981562951609,7cbec0bd#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,core,projected_minutes,high,27.636257872382785,29.950777308991107,12.857773763927916,29.950777308991107,35.935629758105705,9.308362104104614,0.050000000000000044,0.9313184427393633,0.4534176816266048,core,True,rotation_probability,False,,,betonlineag,betonlineag,player_pts_over_under,11.5,-118.0,-110.0,0.5082034454470877,0.49179655455291227,0.5902793594269123,0.40972064057308766,-144.0,144.0,0.08207591397982461,0.08207591397982461,-0.08207591397982461,2026-05-16T22:30:52.305512Z,full,provisional,"injury_very_stale,lineup_unconfirmed",unknown,,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,2.220446049250313e-16
morning,2026-05-16T22:31:58Z,2026-05-17,21709241,,9,Jarrett Allen,CLE,DET,False,pts,"{""0"": 0.009034461431454375, ""1"": 0.005278074431384823, ""2"": 0.009363645263094956, ""3"": 0.01747960311654069, ""4"": 0.02346808002503897, ""5"": 0.02603535032045131, ""6"": 0.03416652836127352, ""7"": 0.04019652129113346, ""8"": 0.045039930663968226, ""9"": 0.06498583236848736, ""10"": 0.06394692130840968, ""11"": 0.07072569199185032, ""12"": 0.07252244664362241, ""13"": 0.0758736355826918, ""14"": 0.06526973508474518, ""15"": 0.06263533114791899, ""16"": 0.058096798141168915, ""17"": 0.04246649145426953, ""18"": 0.05037750717559563, ""19"": 0.03593925790173898, ""20"": 0.030712296072126354, ""21"": 0.02335632692255639, ""22"": 0.0200411147784112, ""23"": 0.011037337080561404, ""24"": 0.01086432761986045, ""25"": 0.007190121049902458, ""26"": 0.006136419427211627, ""27"": 0.006835934709334665, ""28"": 0.004063433079483804, ""29"": 0.0016966900635495864, ""30"": 0.002185740702020901, ""31"": 0.0013894874916690811, ""32"": 0.0002930199314501148, ""33"": 0.00028342311795856684, ""34"": 4.2430561685218084e-05, ""35"": 7.984383504661244e-05, ""36"": 7.191584610964587e-05, ""37"": 0.0002826026151643836, ""38"": 3.0433469127083536e-05, ""39"": 4.638109270934494e-05, ""40"": 1.4486662143693145e-05, ""41"": 5.321083278397984e-05, ""42"": 5.305973569079911e-05, ""43"": 4.752418395952498e-301, ""44"": 0.00015515917443693935, ""45"": 4.0827728311559e-301, ""46"": 2.5518885189515588e-05, ""47"": 3.4646041254271666e-301, ""48"": 3.176870519826871e-301, ""49"": 0.000157441538977106, ""50"": 2.6465780004235626e-301, ""51"": 2.4044955920235326e-301, ""52"": 2.177848854928524e-301, ""53"": 1.966509053791782e-301, ""54"": 1.7702256453095534e-301, ""55"": 1.5886410102383238e-301, ""56"": 1.4213052967990236e-301, ""57"": 1.2676911052469076e-301, ""58"": 1.1272077739044447e-301, ""59"": 9.992150599333649e-302, ""60"": 8.830360424104828e-302, ""61"": 7.779691098706486e-302, ""62"": 6.832989284188395e-302, ""63"": 5.983063190204844e-302, ""64"": 5.222770029501166e-302, ""65"": 4.545092020850201e-302, ""66"": 3.943201053865777e-302, ""67"": 3.4105123423794763e-302, ""68"": 2.9407275718408903e-302, ""69"": 2.5278681902532477e-302, ""70"": 2.1662996023362434e-302, ""71"": 1.8507471045997936e-302, ""72"": 1.5763044472168177e-302, ""73"": 1.338435929894814e-302, ""74"": 1.1329729366023741e-302, ""75"": 9.561057915187028e-303, ""76"": 8.043717794211595e-303, ""77"": 6.74640121426033e-303, ""78"": 5.6409463486005945e-303, ""79"": 4.702147371607918e-303, ""80"": 3.9075538089334844e-303}",13.01597993238448,13,13,0.009034461431454375,0.9909655385685456,0.9856874641371608,0.9763238188740659,0.9588442157575252,0.9353761357324861,0.9093407854120349,0.8751742570507614,0.8349777357596279,0.7899378050956597,0.7249519727271723,0.6610050514187626,0.5902793594269122,0.51775691278329,0.4418832772005981,0.37661354211585296,0.31397821096793394,0.255881412826765,0.21341492137249551,0.1630374141968999,0.1270981562951609,7cbec0bd#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,core,projected_minutes,high,27.636257872382785,29.950777308991107,12.857773763927916,29.950777308991107,35.935629758105705,9.308362104104614,0.050000000000000044,0.9313184427393633,0.4534176816266048,core,True,rotation_probability,False,,,betmgm,betmgm,player_pts_over_under,12.5,100.0,-135.0,0.4653465346534653,0.5346534653465347,0.51775691278329,0.48224308721671005,-107.0,107.0,0.05241037812982463,0.05241037812982463,-0.05241037812982463,2026-05-16T22:30:52.305512Z,full,provisional,"injury_very_stale,lineup_unconfirmed",unknown,,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,2.220446049250313e-16
morning,2026-05-16T22:31:58Z,2026-05-17,21709241,,9,Jarrett Allen,CLE,DET,False,pts,"{""0"": 0.009034461431454375, ""1"": 0.005278074431384823, ""2"": 0.009363645263094956, ""3"": 0.01747960311654069, ""4"": 0.02346808002503897, ""5"": 0.02603535032045131, ""6"": 0.03416652836127352, ""7"": 0.04019652129113346, ""8"": 0.045039930663968226, ""9"": 0.06498583236848736, ""10"": 0.06394692130840968, ""11"": 0.07072569199185032, ""12"": 0.07252244664362241, ""13"": 0.0758736355826918, ""14"": 0.06526973508474518, ""15"": 0.06263533114791899, ""16"": 0.058096798141168915, ""17"": 0.04246649145426953, ""18"": 0.05037750717559563, ""19"": 0.03593925790173898, ""20"": 0.030712296072126354, ""21"": 0.02335632692255639, ""22"": 0.0200411147784112, ""23"": 0.011037337080561404, ""24"": 0.01086432761986045, ""25"": 0.007190121049902458, ""26"": 0.006136419427211627, ""27"": 0.006835934709334665, ""28"": 0.004063433079483804, ""29"": 0.0016966900635495864, ""30"": 0.002185740702020901, ""31"": 0.0013894874916690811, ""32"": 0.0002930199314501148, ""33"": 0.00028342311795856684, ""34"": 4.2430561685218084e-05, ""35"": 7.984383504661244e-05, ""36"": 7.191584610964587e-05, ""37"": 0.0002826026151643836, ""38"": 3.0433469127083536e-05, ""39"": 4.638109270934494e-05, ""40"": 1.4486662143693145e-05, ""41"": 5.321083278397984e-05, ""42"": 5.305973569079911e-05, ""43"": 4.752418395952498e-301, ""44"": 0.00015515917443693935, ""45"": 4.0827728311559e-301, ""46"": 2.5518885189515588e-05, ""47"": 3.4646041254271666e-301, ""48"": 3.176870519826871e-301, ""49"": 0.000157441538977106, ""50"": 2.6465780004235626e-301, ""51"": 2.4044955920235326e-301, ""52"": 2.177848854928524e-301, ""53"": 1.966509053791782e-301, ""54"": 1.7702256453095534e-301, ""55"": 1.5886410102383238e-301, ""56"": 1.4213052967990236e-301, ""57"": 1.2676911052469076e-301, ""58"": 1.1272077739044447e-301, ""59"": 9.992150599333649e-302, ""60"": 8.830360424104828e-302, ""61"": 7.779691098706486e-302, ""62"": 6.832989284188395e-302, ""63"": 5.983063190204844e-302, ""64"": 5.222770029501166e-302, ""65"": 4.545092020850201e-302, ""66"": 3.943201053865777e-302, ""67"": 3.4105123423794763e-302, ""68"": 2.9407275718408903e-302, ""69"": 2.5278681902532477e-302, ""70"": 2.1662996023362434e-302, ""71"": 1.8507471045997936e-302, ""72"": 1.5763044472168177e-302, ""73"": 1.338435929894814e-302, ""74"": 1.1329729366023741e-302, ""75"": 9.561057915187028e-303, ""76"": 8.043717794211595e-303, ""77"": 6.74640121426033e-303, ""78"": 5.6409463486005945e-303, ""79"": 4.702147371607918e-303, ""80"": 3.9075538089334844e-303}",13.01597993238448,13,13,0.009034461431454375,0.9909655385685456,0.9856874641371608,0.9763238188740659,0.9588442157575252,0.9353761357324861,0.9093407854120349,0.8751742570507614,0.8349777357596279,0.7899378050956597,0.7249519727271723,0.6610050514187626,0.5902793594269122,0.51775691278329,0.4418832772005981,0.37661354211585296,0.31397821096793394,0.255881412826765,0.21341492137249551,0.1630374141968999,0.1270981562951609,7cbec0bd#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,core,projected_minutes,high,27.636257872382785,29.950777308991107,12.857773763927916,29.950777308991107,35.935629758105705,9.308362104104614,0.050000000000000044,0.9313184427393633,0.4534176816266048,core,True,rotation_probability,False,,,bovada,bovada,player_pts_over_under,9.5,-215.0,160.0,0.6395881006864989,0.36041189931350115,0.7249519727271723,0.27504802727282773,-264.0,264.0,0.08536387204067342,0.08536387204067342,-0.08536387204067342,2026-05-16T22:30:52.305512Z,full,provisional,"injury_very_stale,lineup_unconfirmed",unknown,,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,2.220446049250313e-16
morning,2026-05-16T22:31:58Z,2026-05-17,21709241,,9,Jarrett Allen,CLE,DET,False,pts,"{""0"": 0.009034461431454375, ""1"": 0.005278074431384823, ""2"": 0.009363645263094956, ""3"": 0.01747960311654069, ""4"": 0.02346808002503897, ""5"": 0.02603535032045131, ""6"": 0.03416652836127352, ""7"": 0.04019652129113346, ""8"": 0.045039930663968226, ""9"": 0.06498583236848736, ""10"": 0.06394692130840968, ""11"": 0.07072569199185032, ""12"": 0.07252244664362241, ""13"": 0.0758736355826918, ""14"": 0.06526973508474518, ""15"": 0.06263533114791899, ""16"": 0.058096798141168915, ""17"": 0.04246649145426953, ""18"": 0.05037750717559563, ""19"": 0.03593925790173898, ""20"": 0.030712296072126354, ""21"": 0.02335632692255639, ""22"": 0.0200411147784112, ""23"": 0.011037337080561404, ""24"": 0.01086432761986045, ""25"": 0.007190121049902458, ""26"": 0.006136419427211627, ""27"": 0.006835934709334665, ""28"": 0.004063433079483804, ""29"": 0.0016966900635495864, ""30"": 0.002185740702020901, ""31"": 0.0013894874916690811, ""32"": 0.0002930199314501148, ""33"": 0.00028342311795856684, ""34"": 4.2430561685218084e-05, ""35"": 7.984383504661244e-05, ""36"": 7.191584610964587e-05, ""37"": 0.0002826026151643836, ""38"": 3.0433469127083536e-05, ""39"": 4.638109270934494e-05, ""40"": 1.4486662143693145e-05, ""41"": 5.321083278397984e-05, ""42"": 5.305973569079911e-05, ""43"": 4.752418395952498e-301, ""44"": 0.00015515917443693935, ""45"": 4.0827728311559e-301, ""46"": 2.5518885189515588e-05, ""47"": 3.4646041254271666e-301, ""48"": 3.176870519826871e-301, ""49"": 0.000157441538977106, ""50"": 2.6465780004235626e-301, ""51"": 2.4044955920235326e-301, ""52"": 2.177848854928524e-301, ""53"": 1.966509053791782e-301, ""54"": 1.7702256453095534e-301, ""55"": 1.5886410102383238e-301, ""56"": 1.4213052967990236e-301, ""57"": 1.2676911052469076e-301, ""58"": 1.1272077739044447e-301, ""59"": 9.992150599333649e-302, ""60"": 8.830360424104828e-302, ""61"": 7.779691098706486e-302, ""62"": 6.832989284188395e-302, ""63"": 5.983063190204844e-302, ""64"": 5.222770029501166e-302, ""65"": 4.545092020850201e-302, ""66"": 3.943201053865777e-302, ""67"": 3.4105123423794763e-302, ""68"": 2.9407275718408903e-302, ""69"": 2.5278681902532477e-302, ""70"": 2.1662996023362434e-302, ""71"": 1.8507471045997936e-302, ""72"": 1.5763044472168177e-302, ""73"": 1.338435929894814e-302, ""74"": 1.1329729366023741e-302, ""75"": 9.561057915187028e-303, ""76"": 8.043717794211595e-303, ""77"": 6.74640121426033e-303, ""78"": 5.6409463486005945e-303, ""79"": 4.702147371607918e-303, ""80"": 3.9075538089334844e-303}",13.01597993238448,13,13,0.009034461431454375,0.9909655385685456,0.9856874641371608,0.9763238188740659,0.9588442157575252,0.9353761357324861,0.9093407854120349,0.8751742570507614,0.8349777357596279,0.7899378050956597,0.7249519727271723,0.6610050514187626,0.5902793594269122,0.51775691278329,0.4418832772005981,0.37661354211585296,0.31397821096793394,0.255881412826765,0.21341492137249551,0.1630374141968999,0.1270981562951609,7cbec0bd#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,core,projected_minutes,high,27.636257872382785,29.950777308991107,12.857773763927916,29.950777308991107,35.935629758105705,9.308362104104614,0.050000000000000044,0.9313184427393633,0.4534176816266048,core,True,rotation_probability,False,,,bovada,bovada,player_pts_over_under,10.5,-150.0,115.0,0.5633187772925764,0.4366812227074236,0.6610050514187626,0.33899494858123735,-195.0,195.0,0.09768627412618625,0.09768627412618625,-0.09768627412618625,2026-05-16T22:30:52.305512Z,full,provisional,"injury_very_stale,lineup_unconfirmed",unknown,,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,2.220446049250313e-16
