player_name,projected_minutes,stat,pmf_mean,market_line,p_over
Ajay Mitchell,26.0384,ast,3.9257,3.5,0.6049
Ajay Mitchell,26.0384,blk,0.4196,0.5,0.2445
Ajay Mitchell,26.0384,fg3m,1.311,0.5,0.682
Ajay Mitchell,26.0384,pr,18.4299,13.5,0.7478
Ajay Mitchell,26.0384,pra,22.3556,16.5,0.7825
Ajay Mitchell,26.0384,pts,14.7696,10.5,0.7215
Ajay Mitchell,26.0384,reb,3.6603,3.5,0.5256
Ajay Mitchell,26.0384,stl,1.4087,0.5,0.8087
Alex Caruso,21.2811,ast,1.7245,1.5,0.577
Alex Caruso,21.2811,blk,0.5219,0.5,0.2617
Alex Caruso,21.2811,fg3m,1.1016,2.5,0.1693
Alex Caruso,21.2811,pa,10.5979,11.5,0.4126
Alex Caruso,21.2811,pr,12.3024,13.5,0.3957
Alex Caruso,21.2811,pra,14.0269,15.5,0.3811
Alex Caruso,21.2811,pts,8.8733,9.5,0.4258
Alex Caruso,21.2811,ra,5.1536,5.5,0.4177
Alex Caruso,21.2811,reb,3.4291,3.5,0.4587
Alex Caruso,21.2811,stl,1.418,1.5,0.3732
Chet Holmgren,28.3849,ast,1.3551,1.5,0.3865
Chet Holmgren,28.3849,blk,1.4667,1.5,0.244
Chet Holmgren,28.3849,fg3m,1.335,1.5,0.3291
Chet Holmgren,28.3849,pa,16.5655,14.5,0.6259
Chet Holmgren,28.3849,pr,23.6986,22.5,0.5627
Chet Holmgren,28.3849,pra,25.0538,23.5,0.5841
Chet Holmgren,28.3849,pts,15.2104,13.5,0.6048
Chet Holmgren,28.3849,ra,9.8434,10.5,0.3876
Chet Holmgren,28.3849,reb,8.4882,8.5,0.4867
Chet Holmgren,28.3849,stl,0.7745,0.5,0.4031
Devin Vassell,30.463,ast,2.4548,2.5,0.4692
Devin Vassell,30.463,blk,0.4533,0.5,0.2212
Devin Vassell,30.463,fg3m,2.0833,2.5,0.3293
Devin Vassell,30.463,pa,16.5941,16.5,0.5103
Devin Vassell,30.463,pr,19.0053,17.5,0.6109
Devin Vassell,30.463,pra,21.4601,20.5,0.5687
Devin Vassell,30.463,pts,14.1393,14.5,0.4796
Devin Vassell,30.463,ra,7.3208,6.5,0.6471
Devin Vassell,30.463,reb,4.866,4.5,0.5743
Devin Vassell,30.463,stl,0.7994,0.5,0.4814
Dylan Harper,25.6923,ast,2.9244,4.5,0.1339
Dylan Harper,25.6923,blk,0.4262,0.5,0.2292
Dylan Harper,25.6923,fg3m,0.9935,1.5,0.2515
Dylan Harper,25.6923,pa,18.0789,19.5,0.3961
Dylan Harper,25.6923,pr,20.9483,19.5,0.5623
Dylan Harper,25.6923,pra,23.8727,24.5,0.4456
Dylan Harper,25.6923,pts,15.1545,14.5,0.5156
Dylan Harper,25.6923,ra,8.7182,9.5,0.3698
Dylan Harper,25.6923,reb,5.7938,4.5,0.7333
Dylan Harper,25.6923,stl,1.114,1.5,0.2279
Isaiah Hartenstein,20.8338,ast,2.1327,1.5,0.6749
Isaiah Hartenstein,20.8338,blk,1.0568,0.5,0.6248
Isaiah Hartenstein,20.8338,pa,9.905,5.5,0.8225
Isaiah Hartenstein,20.8338,pr,15.3977,9.5,0.8705
Isaiah Hartenstein,20.8338,pra,17.5304,10.5,0.9064
Isaiah Hartenstein,20.8338,pts,7.7723,4.5,0.754
Isaiah Hartenstein,20.8338,ra,9.7581,6.5,0.856
Isaiah Hartenstein,20.8338,reb,7.6254,4.5,0.8833
Isaiah Hartenstein,20.8338,stl,0.9158,0.5,0.4931
Jalen Williams,25.9703,ast,4.5692,4.5,0.5318
Jalen Williams,25.9703,blk,0.3993,0.5,0.2098
Jalen Williams,25.9703,fg3m,0.9923,0.5,0.6308
Jalen Williams,25.9703,pa,22.9256,22.5,0.5019
Jalen Williams,25.9703,pr,22.9467,22.5,0.5024
Jalen Williams,25.9703,pra,27.5159,26.5,0.5337
Jalen Williams,25.9703,pts,18.3563,17.5,0.5246
Jalen Williams,25.9703,ra,9.1596,9.5,0.4444
Jalen Williams,25.9703,reb,4.5903,4.5,0.5075
Jalen Williams,25.9703,stl,1.3537,1.5,0.2555
Keldon Johnson,18.3307,ast,1.19,1.5,0.332
Keldon Johnson,18.3307,blk,0.312,0.5,0.1546
Keldon Johnson,18.3307,fg3m,0.4846,1.5,0.1323
Keldon Johnson,18.3307,pr,13.5445,14.5,0.4131
Keldon Johnson,18.3307,pra,14.7346,14.5,0.4895
Keldon Johnson,18.3307,pts,10.0334,10.5,0.4341
Keldon Johnson,18.3307,reb,3.5112,4.5,0.2697
Keldon Johnson,18.3307,stl,0.5882,0.5,0.3256
Luguentz Dort,22.3957,ast,1.2539,0.5,0.7479
Luguentz Dort,22.3957,blk,0.5346,0.5,0.2708
Luguentz Dort,22.3957,fg3m,1.0996,1.5,0.2598
Luguentz Dort,22.3957,pa,9.1235,6.5,0.684
Luguentz Dort,22.3957,pr,10.6564,8.5,0.6459
Luguentz Dort,22.3957,pra,11.9103,8.5,0.7301
Luguentz Dort,22.3957,pts,7.8696,5.5,0.669
Luguentz Dort,22.3957,ra,4.0406,2.5,0.806
Luguentz Dort,22.3957,reb,2.7867,2.5,0.5593
Luguentz Dort,22.3957,stl,0.9041,0.5,0.515
Shai Gilgeous-Alexander,32.3558,ast,6.9448,6.5,0.587
Shai Gilgeous-Alexander,32.3558,blk,0.7129,0.5,0.3556
Shai Gilgeous-Alexander,32.3558,fg3m,1.4796,1.5,0.4088
Shai Gilgeous-Alexander,32.3558,pa,34.618,36.5,0.3978
Shai Gilgeous-Alexander,32.3558,pr,31.2085,33.5,0.3682
