player_id,player_name,team,game_id,minutes_projection_conflict
161,De'Aaron Fox,SAS,21716135,0
17896033,Miles McBride,NYK,21716135,0
414,Landry Shamet,NYK,21716135,0
73,Jalen Brunson,NYK,21716135,0
202,Josh Hart,NYK,21716135,0
1028025261,Stephon Castle,SAS,21716135,0
3547246,Devin Vassell,SAS,21716135,0
399,Mitchell Robinson,NYK,21716135,0
38017649,Julian Champagnie,SAS,21716135,0
1057262518,Dylan Harper,SAS,21716135,0
666682,Keldon Johnson,SAS,21716135,0
61,Mikal Bridges,NYK,21716135,0
56677822,Victor Wembanyama,SAS,21716135,0
447,Karl-Anthony Towns,NYK,21716135,0
