snapshot_type,snapshot_time_utc,delivery_date,game_id,player_id,player_name,team,opponent,is_home,stat,pmf_json,pmf_mean,mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,model_version,pmf_source,calibration_source,role_bucket,role_source,calibration_confidence,minutes_mean,minutes_q50,minutes_p10,minutes_p50,minutes_p90,minutes_std,p_inactive_used,rotation_probability,starter_probability,projected_role,player_game_eligible,eligibility_reason,has_current_market_line,sportsbook,book,market_key,line,market_line,p_over,over_price_american,under_price_american,market_no_vig_over_prob,market_no_vig_under_prob,model_p_under,fair_over_odds_american,fair_under_odds_american,edge,edge_over,edge_under,market_snapshot_time_utc,market_coverage_status,finality_status,finality_blocker_codes,injury_freshness_status,lineup_freshness_status,role_freshness_status,odds_freshness_status,outcomes_freshness_status,tov_status,pmf_valid,pmf_sum_error,expected_lineup_status,official_lineup_status,lineup_source,injury_context_source,injury_report_fetched_at_utc
morning,2026-06-10T20:38:53Z,2026-06-10,21716137,414,Landry Shamet,NYK,SAS,True,blk,"{""0"": 0.7537240532277286, ""1"": 0.19417270345019985, ""2"": 0.047701101291694366, ""3"": 0.00439296010407593, ""4"": 5.252309669902994e-06, ""10"": 3.929616631467694e-06}",0.3028,0.3028,0,0,0.7537,0.2463,0.0521,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8f3f8f0e#phase10c,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,rotation,projected_minutes,high,21.7121,20.607,8.1606,20.607,32.616,9.2215,0.05,0.873,0.1633,rotation,True,current_market_line,True,hardrockbet_az,hardrockbet_az,player_blk_over_under,0.5,0.5,0.2463,325.0,-575.0,0.2164,0.7836,0.7537,306.0,-306.0,0.0298,0.0298,-0.0298,2026-06-10T20:37:33.251303Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-06-10T20:37:54Z
morning,2026-06-10T20:38:53Z,2026-06-10,21716137,414,Landry Shamet,NYK,SAS,True,blk,"{""0"": 0.7537240532277286, ""1"": 0.19417270345019985, ""2"": 0.047701101291694366, ""3"": 0.00439296010407593, ""4"": 5.252309669902994e-06, ""10"": 3.929616631467694e-06}",0.3028,0.3028,0,0,0.7537,0.2463,0.0521,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8f3f8f0e#phase10c,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,rotation,projected_minutes,high,21.7121,20.607,8.1606,20.607,32.616,9.2215,0.05,0.873,0.1633,rotation,True,current_market_line,True,hardrockbet_fl,hardrockbet_fl,player_blk_over_under,0.5,0.5,0.2463,325.0,-575.0,0.2164,0.7836,0.7537,306.0,-306.0,0.0298,0.0298,-0.0298,2026-06-10T20:37:33.251303Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-06-10T20:37:54Z
morning,2026-06-10T20:38:53Z,2026-06-10,21716137,414,Landry Shamet,NYK,SAS,True,blk,"{""0"": 0.7537240532277286, ""1"": 0.19417270345019985, ""2"": 0.047701101291694366, ""3"": 0.00439296010407593, ""4"": 5.252309669902994e-06, ""10"": 3.929616631467694e-06}",0.3028,0.3028,0,0,0.7537,0.2463,0.0521,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8f3f8f0e#phase10c,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,rotation,projected_minutes,high,21.7121,20.607,8.1606,20.607,32.616,9.2215,0.05,0.873,0.1633,rotation,True,current_market_line,True,hardrockbet,hardrockbet,player_blk_over_under,0.5,0.5,0.2463,325.0,-575.0,0.2164,0.7836,0.7537,306.0,-306.0,0.0298,0.0298,-0.0298,2026-06-10T20:37:33.251303Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-06-10T20:37:54Z
morning,2026-06-10T20:38:53Z,2026-06-10,21716137,414,Landry Shamet,NYK,SAS,True,stocks,"{""0"": 0.4281721185770776, ""1"": 0.38083862110211664, ""2"": 0.13976483040091045, ""3"": 0.03940434093092391, ""4"": 0.00997895826780337, ""5"": 0.0015924594134181533, ""6"": 0.0002285050013033888, ""7"": 2.0050641015131295e-05, ""8"": 2.395782782233545e-08, ""10"": 2.0036981868386843e-08, ""11"": 1.8159253249134262e-08, ""12"": 1.7851329699840397e-08, ""13"": 1.784037999851899e-08, ""14"": 1.7819658695445314e-08}",0.828,0.828,1,0,0.4282,0.5718,0.191,0.0512,0.0118,0.0018,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8f3f8f0e#phase10c,"stat_grid:component_convolution_mean_coherent_v1+components[stl:hurdle_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1+sparse_hurdle_guarded,blk:hurdle_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1+sparse_hurdle_guarded]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1+sparse_hurdle_guarded]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,rotation,projected_minutes,high,21.7121,20.607,8.1606,20.607,32.616,9.2215,0.05,0.873,0.1633,rotation,True,current_market_line,True,,,player_stocks_over_under,,,,,,,,,,,,,,,no_market,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-06-10T20:37:54Z
morning,2026-06-10T20:38:53Z,2026-06-10,21716137,414,Landry Shamet,NYK,SAS,True,pa,"{""0"": 0.01472244378058472, ""1"": 0.026653864246080194, ""2"": 0.039202041483083434, ""3"": 0.03703316326816975, ""4"": 0.04250854246695963, ""5"": 0.05082111049967491, ""6"": 0.061197674196779385, ""7"": 0.06897322726156498, ""8"": 0.07631980910852741, ""9"": 0.0793694228870538, ""10"": 0.07849248652342701, ""11"": 0.07234435249018255, ""12"": 0.06567127849914599, ""13"": 0.058014131167767574, ""14"": 0.052584928538598974, ""15"": 0.04162842112743745, ""16"": 0.03267157185836495, ""17"": 0.023287328467505773, ""18"": 0.020883012463231657, ""19"": 0.01653512626240438, ""20"": 0.012003039443038354, ""21"": 0.00734716042328494, ""22"": 0.0058456506383865675, ""23"": 0.004832761303702635, ""24"": 0.004022813805975064, ""25"": 0.0024473673386835857, ""26"": 0.001270207048272578, ""27"": 0.0006373810238422256, ""28"": 0.00042063441759228684, ""29"": 0.00022281243970278947, ""30"": 0.00011690386919555074, ""31"": 6.311520168654662e-05, ""32"": 0.00010443166691924211, ""33"": 0.00012912531378759802, ""34"": 0.0003136006413185631, ""35"": 0.000393527633167674, ""36"": 0.00043001014027178506, ""37"": 0.0002567928695328034, ""38"": 0.00012342865745134025, ""39"": 5.487180886809326e-05, ""40"": 3.5998612725599686e-05, ""41"": 1.0912007599733547e-05, ""42"": 3.0083155689275796e-06, ""43"": 4.669475895073506e-07, ""44"": 3.44422904783799e-08, ""45"": 6.255676150960259e-09, ""46"": 1.0208507627814497e-09, ""47"": 1.0416656976909783e-10, ""48"": 1.1050542293332604e-11, ""49"": 9.889990032149079e-13, ""50"": 1.7421379841235492e-13, ""51"": 1.86423462170521e-15, ""52"": 9.201555279616262e-14}",9.8391,9.8391,10,9,0.0147,0.9853,0.9586,0.9194,0.8824,0.8399,0.7891,0.7279,0.6589,0.5826,0.5032,0.4247,0.3524,0.2867,0.2287,0.1761,0.1345,0.1018,0.0785,0.0576,0.0411,8f3f8f0e#phase10c,"stat_grid:component_convolution_mean_coherent_v1+components[pts:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,ast:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,rotation,projected_minutes,high,21.7121,20.607,8.1606,20.607,32.616,9.2215,0.05,0.873,0.1633,rotation,True,current_market_line,True,bovada,bovada,player_pa_over_under,9.5,9.5,0.5032,115.0,-150.0,0.4367,0.5633,0.4968,-101.0,101.0,0.0665,0.0665,-0.0665,2026-06-10T20:37:33.251303Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-06-10T20:37:54Z
morning,2026-06-10T20:38:53Z,2026-06-10,21716137,414,Landry Shamet,NYK,SAS,True,pa,"{""0"": 0.01472244378058472, ""1"": 0.026653864246080194, ""2"": 0.039202041483083434, ""3"": 0.03703316326816975, ""4"": 0.04250854246695963, ""5"": 0.05082111049967491, ""6"": 0.061197674196779385, ""7"": 0.06897322726156498, ""8"": 0.07631980910852741, ""9"": 0.0793694228870538, ""10"": 0.07849248652342701, ""11"": 0.07234435249018255, ""12"": 0.06567127849914599, ""13"": 0.058014131167767574, ""14"": 0.052584928538598974, ""15"": 0.04162842112743745, ""16"": 0.03267157185836495, ""17"": 0.023287328467505773, ""18"": 0.020883012463231657, ""19"": 0.01653512626240438, ""20"": 0.012003039443038354, ""21"": 0.00734716042328494, ""22"": 0.0058456506383865675, ""23"": 0.004832761303702635, ""24"": 0.004022813805975064, ""25"": 0.0024473673386835857, ""26"": 0.001270207048272578, ""27"": 0.0006373810238422256, ""28"": 0.00042063441759228684, ""29"": 0.00022281243970278947, ""30"": 0.00011690386919555074, ""31"": 6.311520168654662e-05, ""32"": 0.00010443166691924211, ""33"": 0.00012912531378759802, ""34"": 0.0003136006413185631, ""35"": 0.000393527633167674, ""36"": 0.00043001014027178506, ""37"": 0.0002567928695328034, ""38"": 0.00012342865745134025, ""39"": 5.487180886809326e-05, ""40"": 3.5998612725599686e-05, ""41"": 1.0912007599733547e-05, ""42"": 3.0083155689275796e-06, ""43"": 4.669475895073506e-07, ""44"": 3.44422904783799e-08, ""45"": 6.255676150960259e-09, ""46"": 1.0208507627814497e-09, ""47"": 1.0416656976909783e-10, ""48"": 1.1050542293332604e-11, ""49"": 9.889990032149079e-13, ""50"": 1.7421379841235492e-13, ""51"": 1.86423462170521e-15, ""52"": 9.201555279616262e-14}",9.8391,9.8391,10,9,0.0147,0.9853,0.9586,0.9194,0.8824,0.8399,0.7891,0.7279,0.6589,0.5826,0.5032,0.4247,0.3524,0.2867,0.2287,0.1761,0.1345,0.1018,0.0785,0.0576,0.0411,8f3f8f0e#phase10c,"stat_grid:component_convolution_mean_coherent_v1+components[pts:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,ast:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,rotation,projected_minutes,high,21.7121,20.607,8.1606,20.607,32.616,9.2215,0.05,0.873,0.1633,rotation,True,current_market_line,True,bovada,bovada,player_pa_over_under,8.5,8.5,0.5826,-120.0,-110.0,0.5101,0.4899,0.4174,-140.0,140.0,0.0724,0.0724,-0.0724,2026-06-10T20:37:33.251303Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-06-10T20:37:54Z
morning,2026-06-10T20:38:53Z,2026-06-10,21716137,414,Landry Shamet,NYK,SAS,True,pa,"{""0"": 0.01472244378058472, ""1"": 0.026653864246080194, ""2"": 0.039202041483083434, ""3"": 0.03703316326816975, ""4"": 0.04250854246695963, ""5"": 0.05082111049967491, ""6"": 0.061197674196779385, ""7"": 0.06897322726156498, ""8"": 0.07631980910852741, ""9"": 0.0793694228870538, ""10"": 0.07849248652342701, ""11"": 0.07234435249018255, ""12"": 0.06567127849914599, ""13"": 0.058014131167767574, ""14"": 0.052584928538598974, ""15"": 0.04162842112743745, ""16"": 0.03267157185836495, ""17"": 0.023287328467505773, ""18"": 0.020883012463231657, ""19"": 0.01653512626240438, ""20"": 0.012003039443038354, ""21"": 0.00734716042328494, ""22"": 0.0058456506383865675, ""23"": 0.004832761303702635, ""24"": 0.004022813805975064, ""25"": 0.0024473673386835857, ""26"": 0.001270207048272578, ""27"": 0.0006373810238422256, ""28"": 0.00042063441759228684, ""29"": 0.00022281243970278947, ""30"": 0.00011690386919555074, ""31"": 6.311520168654662e-05, ""32"": 0.00010443166691924211, ""33"": 0.00012912531378759802, ""34"": 0.0003136006413185631, ""35"": 0.000393527633167674, ""36"": 0.00043001014027178506, ""37"": 0.0002567928695328034, ""38"": 0.00012342865745134025, ""39"": 5.487180886809326e-05, ""40"": 3.5998612725599686e-05, ""41"": 1.0912007599733547e-05, ""42"": 3.0083155689275796e-06, ""43"": 4.669475895073506e-07, ""44"": 3.44422904783799e-08, ""45"": 6.255676150960259e-09, ""46"": 1.0208507627814497e-09, ""47"": 1.0416656976909783e-10, ""48"": 1.1050542293332604e-11, ""49"": 9.889990032149079e-13, ""50"": 1.7421379841235492e-13, ""51"": 1.86423462170521e-15, ""52"": 9.201555279616262e-14}",9.8391,9.8391,10,9,0.0147,0.9853,0.9586,0.9194,0.8824,0.8399,0.7891,0.7279,0.6589,0.5826,0.5032,0.4247,0.3524,0.2867,0.2287,0.1761,0.1345,0.1018,0.0785,0.0576,0.0411,8f3f8f0e#phase10c,"stat_grid:component_convolution_mean_coherent_v1+components[pts:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,ast:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,rotation,projected_minutes,high,21.7121,20.607,8.1606,20.607,32.616,9.2215,0.05,0.873,0.1633,rotation,True,current_market_line,True,bovada,bovada,player_pa_over_under,7.5,7.5,0.6589,-170.0,130.0,0.5915,0.4085,0.3411,-193.0,193.0,0.0674,0.0674,-0.0674,2026-06-10T20:37:33.251303Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-06-10T20:37:54Z
morning,2026-06-10T20:38:53Z,2026-06-10,21716137,414,Landry Shamet,NYK,SAS,True,pa,"{""0"": 0.01472244378058472, ""1"": 0.026653864246080194, ""2"": 0.039202041483083434, ""3"": 0.03703316326816975, ""4"": 0.04250854246695963, ""5"": 0.05082111049967491, ""6"": 0.061197674196779385, ""7"": 0.06897322726156498, ""8"": 0.07631980910852741, ""9"": 0.0793694228870538, ""10"": 0.07849248652342701, ""11"": 0.07234435249018255, ""12"": 0.06567127849914599, ""13"": 0.058014131167767574, ""14"": 0.052584928538598974, ""15"": 0.04162842112743745, ""16"": 0.03267157185836495, ""17"": 0.023287328467505773, ""18"": 0.020883012463231657, ""19"": 0.01653512626240438, ""20"": 0.012003039443038354, ""21"": 0.00734716042328494, ""22"": 0.0058456506383865675, ""23"": 0.004832761303702635, ""24"": 0.004022813805975064, ""25"": 0.0024473673386835857, ""26"": 0.001270207048272578, ""27"": 0.0006373810238422256, ""28"": 0.00042063441759228684, ""29"": 0.00022281243970278947, ""30"": 0.00011690386919555074, ""31"": 6.311520168654662e-05, ""32"": 0.00010443166691924211, ""33"": 0.00012912531378759802, ""34"": 0.0003136006413185631, ""35"": 0.000393527633167674, ""36"": 0.00043001014027178506, ""37"": 0.0002567928695328034, ""38"": 0.00012342865745134025, ""39"": 5.487180886809326e-05, ""40"": 3.5998612725599686e-05, ""41"": 1.0912007599733547e-05, ""42"": 3.0083155689275796e-06, ""43"": 4.669475895073506e-07, ""44"": 3.44422904783799e-08, ""45"": 6.255676150960259e-09, ""46"": 1.0208507627814497e-09, ""47"": 1.0416656976909783e-10, ""48"": 1.1050542293332604e-11, ""49"": 9.889990032149079e-13, ""50"": 1.7421379841235492e-13, ""51"": 1.86423462170521e-15, ""52"": 9.201555279616262e-14}",9.8391,9.8391,10,9,0.0147,0.9853,0.9586,0.9194,0.8824,0.8399,0.7891,0.7279,0.6589,0.5826,0.5032,0.4247,0.3524,0.2867,0.2287,0.1761,0.1345,0.1018,0.0785,0.0576,0.0411,8f3f8f0e#phase10c,"stat_grid:component_convolution_mean_coherent_v1+components[pts:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,ast:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,rotation,projected_minutes,high,21.7121,20.607,8.1606,20.607,32.616,9.2215,0.05,0.873,0.1633,rotation,True,current_market_line,True,draftkings,draftkings,player_pa_over_under,8.5,8.5,0.5826,-122.0,-108.0,0.5142,0.4858,0.4174,-140.0,140.0,0.0684,0.0684,-0.0684,2026-06-10T20:37:33.251303Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-06-10T20:37:54Z
morning,2026-06-10T20:38:53Z,2026-06-10,21716137,414,Landry Shamet,NYK,SAS,True,pa,"{""0"": 0.01472244378058472, ""1"": 0.026653864246080194, ""2"": 0.039202041483083434, ""3"": 0.03703316326816975, ""4"": 0.04250854246695963, ""5"": 0.05082111049967491, ""6"": 0.061197674196779385, ""7"": 0.06897322726156498, ""8"": 0.07631980910852741, ""9"": 0.0793694228870538, ""10"": 0.07849248652342701, ""11"": 0.07234435249018255, ""12"": 0.06567127849914599, ""13"": 0.058014131167767574, ""14"": 0.052584928538598974, ""15"": 0.04162842112743745, ""16"": 0.03267157185836495, ""17"": 0.023287328467505773, ""18"": 0.020883012463231657, ""19"": 0.01653512626240438, ""20"": 0.012003039443038354, ""21"": 0.00734716042328494, ""22"": 0.0058456506383865675, ""23"": 0.004832761303702635, ""24"": 0.004022813805975064, ""25"": 0.0024473673386835857, ""26"": 0.001270207048272578, ""27"": 0.0006373810238422256, ""28"": 0.00042063441759228684, ""29"": 0.00022281243970278947, ""30"": 0.00011690386919555074, ""31"": 6.311520168654662e-05, ""32"": 0.00010443166691924211, ""33"": 0.00012912531378759802, ""34"": 0.0003136006413185631, ""35"": 0.000393527633167674, ""36"": 0.00043001014027178506, ""37"": 0.0002567928695328034, ""38"": 0.00012342865745134025, ""39"": 5.487180886809326e-05, ""40"": 3.5998612725599686e-05, ""41"": 1.0912007599733547e-05, ""42"": 3.0083155689275796e-06, ""43"": 4.669475895073506e-07, ""44"": 3.44422904783799e-08, ""45"": 6.255676150960259e-09, ""46"": 1.0208507627814497e-09, ""47"": 1.0416656976909783e-10, ""48"": 1.1050542293332604e-11, ""49"": 9.889990032149079e-13, ""50"": 1.7421379841235492e-13, ""51"": 1.86423462170521e-15, ""52"": 9.201555279616262e-14}",9.8391,9.8391,10,9,0.0147,0.9853,0.9586,0.9194,0.8824,0.8399,0.7891,0.7279,0.6589,0.5826,0.5032,0.4247,0.3524,0.2867,0.2287,0.1761,0.1345,0.1018,0.0785,0.0576,0.0411,8f3f8f0e#phase10c,"stat_grid:component_convolution_mean_coherent_v1+components[pts:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,ast:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,rotation,projected_minutes,high,21.7121,20.607,8.1606,20.607,32.616,9.2215,0.05,0.873,0.1633,rotation,True,current_market_line,True,hardrockbet_az,hardrockbet_az,player_pa_over_under,8.5,8.5,0.5826,-120.0,-110.0,0.5101,0.4899,0.4174,-140.0,140.0,0.0724,0.0724,-0.0724,2026-06-10T20:37:33.251303Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-06-10T20:37:54Z
morning,2026-06-10T20:38:53Z,2026-06-10,21716137,414,Landry Shamet,NYK,SAS,True,pa,"{""0"": 0.01472244378058472, ""1"": 0.026653864246080194, ""2"": 0.039202041483083434, ""3"": 0.03703316326816975, ""4"": 0.04250854246695963, ""5"": 0.05082111049967491, ""6"": 0.061197674196779385, ""7"": 0.06897322726156498, ""8"": 0.07631980910852741, ""9"": 0.0793694228870538, ""10"": 0.07849248652342701, ""11"": 0.07234435249018255, ""12"": 0.06567127849914599, ""13"": 0.058014131167767574, ""14"": 0.052584928538598974, ""15"": 0.04162842112743745, ""16"": 0.03267157185836495, ""17"": 0.023287328467505773, ""18"": 0.020883012463231657, ""19"": 0.01653512626240438, ""20"": 0.012003039443038354, ""21"": 0.00734716042328494, ""22"": 0.0058456506383865675, ""23"": 0.004832761303702635, ""24"": 0.004022813805975064, ""25"": 0.0024473673386835857, ""26"": 0.001270207048272578, ""27"": 0.0006373810238422256, ""28"": 0.00042063441759228684, ""29"": 0.00022281243970278947, ""30"": 0.00011690386919555074, ""31"": 6.311520168654662e-05, ""32"": 0.00010443166691924211, ""33"": 0.00012912531378759802, ""34"": 0.0003136006413185631, ""35"": 0.000393527633167674, ""36"": 0.00043001014027178506, ""37"": 0.0002567928695328034, ""38"": 0.00012342865745134025, ""39"": 5.487180886809326e-05, ""40"": 3.5998612725599686e-05, ""41"": 1.0912007599733547e-05, ""42"": 3.0083155689275796e-06, ""43"": 4.669475895073506e-07, ""44"": 3.44422904783799e-08, ""45"": 6.255676150960259e-09, ""46"": 1.0208507627814497e-09, ""47"": 1.0416656976909783e-10, ""48"": 1.1050542293332604e-11, ""49"": 9.889990032149079e-13, ""50"": 1.7421379841235492e-13, ""51"": 1.86423462170521e-15, ""52"": 9.201555279616262e-14}",9.8391,9.8391,10,9,0.0147,0.9853,0.9586,0.9194,0.8824,0.8399,0.7891,0.7279,0.6589,0.5826,0.5032,0.4247,0.3524,0.2867,0.2287,0.1761,0.1345,0.1018,0.0785,0.0576,0.0411,8f3f8f0e#phase10c,"stat_grid:component_convolution_mean_coherent_v1+components[pts:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,ast:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,rotation,projected_minutes,high,21.7121,20.607,8.1606,20.607,32.616,9.2215,0.05,0.873,0.1633,rotation,True,current_market_line,True,hardrockbet,hardrockbet,player_pa_over_under,8.5,8.5,0.5826,-120.0,-110.0,0.5101,0.4899,0.4174,-140.0,140.0,0.0724,0.0724,-0.0724,2026-06-10T20:37:33.251303Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-06-10T20:37:54Z
