stat,role_bucket,held_date,reason,raw_ll,new_ll,raw_br,new_br,n_val,method,mean_delta_logloss,mean_delta_brier,worst_fold_delta_logloss,worst_fold_delta_brier,frac_folds_logloss_improved,frac_folds_brier_nonworse,n_folds
ast,rotation,2026-05-10,rollback_fold_guard_failed,0.6135824280213332,0.8446463764774451,0.2124835833333333,0.3232188498708345,20.0,platt,,,,,,,
ast,rotation,2026-05-11,rollback_fold_guard_failed,0.5967018891890733,0.6898951344153359,0.2061073148148148,0.24785126431664795,78.0,platt,,,,,,,
ast,rotation,2026-05-12,rollback_fold_guard_failed,0.7677910724823243,0.9875614988400885,0.2862398074074074,0.38945582894291836,15.0,platt,,,,,,,
ast,rotation,,fold_guard_summary,,,,,,platt,-0.015281606046360101,-0.006191775354490321,0.2310639484561119,0.11073526653750118,0.5625,0.5625,16.0
ast,rotation,2026-04-27,rollback_fold_guard_failed,0.7552944112308165,0.7390676106161969,0.2803678453159041,0.272370386136549,102.0,line_aware,,,,,,,
ast,rotation,2026-04-28,rollback_fold_guard_failed,0.6103767118243032,0.6729598432147746,0.21001659311424103,0.24033304776405393,71.0,line_aware,,,,,,,
ast,rotation,2026-04-29,rollback_fold_guard_failed,0.950308526906788,0.8936998966889922,0.36796612077294677,0.34334646052494655,46.0,line_aware,,,,,,,
ast,rotation,2026-04-30,rollback_fold_guard_failed,0.7272666340415922,0.6899135029541852,0.26629041928721175,0.24849292292949213,53.0,line_aware,,,,,,,
ast,rotation,2026-05-01,rollback_fold_guard_failed,0.5776733813301026,0.649266699273196,0.19380378846153842,0.22835937396431147,52.0,line_aware,,,,,,,
ast,rotation,2026-05-02,rollback_fold_guard_failed,0.7441889889309629,0.6161265298226944,0.278543657004831,0.21169314105736287,23.0,line_aware,,,,,,,
ast,rotation,2026-05-03,rollback_fold_guard_failed,0.9307511263220061,0.7187362478890071,0.36039892361111103,0.2629525102244449,32.0,line_aware,,,,,,,
ast,rotation,2026-05-04,rollback_fold_guard_failed,1.1818748441316984,0.8711433252248112,0.46379236111111105,0.3341030943015547,36.0,line_aware,,,,,,,
ast,rotation,2026-05-05,rollback_fold_guard_failed,0.7903565815253878,0.6666414287844418,0.2951313601532567,0.23710870499680334,58.0,line_aware,,,,,,,
ast,rotation,2026-05-06,rollback_fold_guard_failed,0.8955417649229743,0.7281980443663642,0.3440180407407406,0.26765609307905636,30.0,line_aware,,,,,,,
ast,rotation,2026-05-07,rollback_fold_guard_failed,0.8898078562457753,0.7441210282173372,0.33529260185185183,0.2748649384258926,36.0,line_aware,,,,,,,
ast,rotation,2026-05-08,rollback_fold_guard_failed,0.45797234357314187,0.6038289568902008,0.1423383977777778,0.2057533161733653,50.0,line_aware,,,,,,,
ast,rotation,2026-05-09,rollback_fold_guard_failed,0.5235631957289154,0.6941290468902394,0.16982557207207208,0.250527393555443,74.0,line_aware,,,,,,,
ast,rotation,2026-05-10,rollback_fold_guard_failed,0.6135824280213332,0.8147470963876933,0.2124835833333333,0.30891129938374434,20.0,line_aware,,,,,,,
ast,rotation,2026-05-11,rollback_fold_guard_failed,0.5967018891890733,0.6957109397131288,0.2061073148148148,0.2508703060435727,78.0,line_aware,,,,,,,
ast,rotation,2026-05-12,rollback_fold_guard_failed,0.7677910724823243,0.9479786917266826,0.2862398074074074,0.3705564474477477,15.0,line_aware,,,,,,,
ast,rotation,,fold_guard_summary,,,,,,line_aware,-0.0026621625317129675,-0.0003490784200304844,0.20116466836636004,0.09642771605041103,0.5625,0.5625,16.0
ast,rotation,2026-04-27,rollback_fold_guard_failed,0.7552944112308165,0.6797492939240657,0.2803678453159041,0.24508476129765472,102.0,isotonic,,,,,,,
ast,rotation,2026-04-28,rollback_fold_guard_failed,0.6103767118243032,0.709528170751827,0.21001659311424103,0.2582385619583889,71.0,isotonic,,,,,,,
ast,rotation,2026-04-29,rollback_fold_guard_failed,0.950308526906788,0.7388429248668255,0.36796612077294677,0.2717937647689055,46.0,isotonic,,,,,,,
ast,rotation,2026-04-30,rollback_fold_guard_failed,0.7272666340415922,0.7102671553327179,0.26629041928721175,0.25837632077408024,53.0,isotonic,,,,,,,
ast,rotation,2026-05-01,rollback_fold_guard_failed,0.5776733813301026,0.6528726244792615,0.19380378846153842,0.23092565204823787,52.0,isotonic,,,,,,,
ast,rotation,2026-05-02,rollback_fold_guard_failed,0.7441889889309629,0.6134686261019834,0.278543657004831,0.2106809789113636,23.0,isotonic,,,,,,,
ast,rotation,2026-05-03,rollback_fold_guard_failed,0.9307511263220061,0.7710057756987321,0.36039892361111103,0.28874384262428276,32.0,isotonic,,,,,,,
ast,rotation,2026-05-04,rollback_fold_guard_failed,1.1818748441316984,1.0361117374923883,0.46379236111111105,0.3845038131870054,36.0,isotonic,,,,,,,
ast,rotation,2026-05-05,rollback_fold_guard_failed,0.7903565815253878,0.6803307045111283,0.2951313601532567,0.24074175871887515,58.0,isotonic,,,,,,,
ast,rotation,2026-05-06,rollback_fold_guard_failed,0.8955417649229743,0.8097124002925676,0.3440180407407406,0.30652380079930197,30.0,isotonic,,,,,,,
ast,rotation,2026-05-07,rollback_fold_guard_failed,0.8898078562457753,0.8538850955675313,0.33529260185185183,0.30320995386507094,36.0,isotonic,,,,,,,
ast,rotation,2026-05-08,rollback_fold_guard_failed,0.45797234357314187,0.567576552940078,0.1423383977777778,0.18929418157644812,50.0,isotonic,,,,,,,
ast,rotation,2026-05-09,rollback_fold_guard_failed,0.5235631957289154,0.7409052762815896,0.16982557207207208,0.27360619367152966,74.0,isotonic,,,,,,,
ast,rotation,2026-05-10,rollback_fold_guard_failed,0.6135824280213332,0.8723843878172526,0.2124835833333333,0.3374774819731722,20.0,isotonic,,,,,,,
ast,rotation,2026-05-11,rollback_fold_guard_failed,0.5967018891890733,0.69970363240712,0.2061073148148148,0.255291601875282,78.0,isotonic,,,,,,,
ast,rotation,2026-05-12,rollback_fold_guard_failed,0.7677910724823243,1.0120826208943488,0.2862398074074074,0.4018949671463498,15.0,isotonic,,,,,,,
ast,rotation,,fold_guard_summary,,,,,,isotonic,0.009585956733352899,0.0036957347334186023,0.25880195979591936,0.12499389863983887,0.5625,0.5625,16.0
blk,bench,2026-04-27,small_fold,,,,,,,,,,,,,
blk,bench,2026-04-27,small_fold,,,,,,,,,,,,,
blk,bench,2026-04-27,small_fold,,,,,,,,,,,,,
blk,bench,2026-04-27,small_fold,,,,,,,,,,,,,
blk,core,2026-05-02,small_fold,,,,,,,,,,,,,
blk,core,2026-05-02,small_fold,,,,,,,,,,,,,
blk,core,2026-05-02,small_fold,,,,,,,,,,,,,
blk,core,2026-05-02,small_fold,,,,,,,,,,,,,
blk,inactive_risk,,insufficient_rows_or_no_dates,,,,,,,,,,,,,
blk,rotation,2026-05-02,small_fold,,,,,,,,,,,,,
blk,rotation,2026-05-02,small_fold,,,,,,,,,,,,,
blk,rotation,2026-05-02,small_fold,,,,,,,,,,,,,
blk,rotation,2026-05-02,small_fold,,,,,,,,,,,,,
blk,starter,2026-05-07,small_fold,,,,,,,,,,,,,
blk,starter,2026-05-07,small_fold,,,,,,,,,,,,,
blk,starter,2026-05-07,small_fold,,,,,,,,,,,,,
blk,starter,2026-05-07,small_fold,,,,,,,,,,,,,
fg3m,bench,2026-05-06,small_fold,,,,,,,,,,,,,
fg3m,bench,2026-05-06,small_fold,,,,,,,,,,,,,
