stat,n,clv_close_minus_morning_p_mean,clv_book_close_minus_morning_p_mean,model_edge_movement_mean
ast,213,-0.11996381892048844,-0.0004777806584843533,0.0004777806584843533
fg3m,119,-0.18012430652917413,-0.0073688826363876156,0.0073688826363876156
pts,257,-0.14566617634925044,-0.0009182774002468659,0.0009182774002468661
reb,296,-0.10355426620446366,-0.004590133164693773,0.004590133164693773
