player_id,player_name,stat,actual,p_realized,nll
89,Alex Caruso,reb,2,0.1116996472826153,2.1919417306325104
89,Alex Caruso,ast,1,0.13976603803716,1.9677854111905844
89,Alex Caruso,blk,2,0.0163657460912551,4.112564781401847
161,De'Aaron Fox,pts,12,0.0309312588691488,3.475987992526634
161,De'Aaron Fox,reb,10,0.0016514595732953,6.406095792212742
161,De'Aaron Fox,ast,5,0.1735444327517992,1.7513216158301907
161,De'Aaron Fox,fg3m,1,0.2657604494089303,1.3251599420855813
161,De'Aaron Fox,stl,1,0.3353588834442831,1.092554026719308
161,De'Aaron Fox,blk,1,0.2058925975412513,1.5804006173127323
175,Shai Gilgeous-Alexander,pts,19,0.0132392621840913,4.324568456303132
175,Shai Gilgeous-Alexander,reb,4,0.3053977193531071,1.1861403539625317
175,Shai Gilgeous-Alexander,ast,7,0.1500036129117616,1.897095899097535
175,Shai Gilgeous-Alexander,tov,4,0.1834315286527379,1.6959138219788985
175,Shai Gilgeous-Alexander,stl,2,0.1038005281112237,2.2652842204865693
201,Isaiah Hartenstein,pts,12,0.0466827390762983,3.0643807955582107
201,Isaiah Hartenstein,reb,7,0.1370272754816659,1.987575281862966
201,Isaiah Hartenstein,ast,3,0.2528410907547829,1.3749940873753888
201,Isaiah Hartenstein,tov,1,0.3132453390194983,1.16076856474364
666541,Luguentz Dort,pts,2,0.0427358220155038,3.152717787367124
666541,Luguentz Dort,reb,4,0.1827891209560845,1.6994221351024188
666541,Luguentz Dort,tov,1,0.4484294026844486,0.8020040174886642
666541,Luguentz Dort,stl,2,0.1055602105592874,2.2484737726607933
666682,Keldon Johnson,pts,6,0.05830405281171,2.842083671545966
666682,Keldon Johnson,reb,3,0.2246882515437972,1.4930413862320993
666682,Keldon Johnson,tov,2,0.3248902379330554,1.124267883132582
666682,Keldon Johnson,stl,1,0.2378599316530058,1.4360733010243476
3547246,Devin Vassell,pts,13,0.0579590554287994,2.8480184586120827
3547246,Devin Vassell,reb,6,0.1607576518701881,1.8278573159385896
3547246,Devin Vassell,ast,3,0.2865874845399705,1.249711433278591
3547246,Devin Vassell,fg3m,2,0.2297312845436668,1.470844981157248
3547246,Devin Vassell,tov,1,0.4830741191928849,0.7275851812168243
3547246,Devin Vassell,stl,1,0.3276079181189196,1.115937757213142
3547246,Devin Vassell,blk,1,0.1487217905690462,1.905677895774252
38017649,Julian Champagnie,pts,2,0.0168250851009905,4.084884345455783
38017649,Julian Champagnie,reb,4,0.1476438447296009,1.9129523599131255
38017649,Julian Champagnie,ast,2,0.3593616551563237,1.0234260015980428
38017649,Julian Champagnie,blk,1,0.234853335370477,1.4487940644789323
38017685,Chet Holmgren,pts,10,0.0409450439860408,3.195524501989203
38017685,Chet Holmgren,reb,9,0.1125021029053744,2.184783365020148
38017685,Chet Holmgren,ast,2,0.3274668000069213,1.116368603070192
38017685,Chet Holmgren,tov,3,0.0177161196777025,4.033280337598407
38017685,Chet Holmgren,blk,1,0.1961873419291877,1.628685250093254
56677822,Victor Wembanyama,reb,8,0.0540768242018843,2.917349573049337
56677822,Victor Wembanyama,ast,5,0.0911690402147852,2.395039910864396
56677822,Victor Wembanyama,fg3m,3,0.1061996128884975,2.2424348152986675
56677822,Victor Wembanyama,tov,4,0.2163597795339537,1.530812610957274
56677822,Victor Wembanyama,stl,2,0.1056902771020288,2.247242376126596
56677822,Victor Wembanyama,blk,3,0.159029125985145,1.8386679112412243
56677833,Cason Wallace,pts,5,0.0765382823973961,2.569964239824353
56677833,Cason Wallace,reb,4,0.2580429271258688,1.354629323692043
56677833,Cason Wallace,ast,1,0.1668575816166253,1.7906146351010424
56677833,Cason Wallace,fg3m,1,0.3752977916622246,0.9800354570518534
56677833,Cason Wallace,stl,2,0.2139007361802376,1.542243221196859
1028025261,Stephon Castle,pts,13,0.0316341345790813,3.4535185331955627
1028025261,Stephon Castle,reb,3,0.0857921324351234,2.45582797325294
1028025261,Stephon Castle,ast,6,0.1596424168253383,1.834818859694588
1028025261,Stephon Castle,fg3m,1,0.3381966179688256,1.0841278426598355
1028025261,Stephon Castle,tov,1,0.0840484027057986,2.4763624234032906
1028025261,Stephon Castle,stl,1,0.3317523826414676,1.1033664237565222
1028025261,Stephon Castle,blk,1,0.1731119095892563,1.753817017380132
1028027372,Jared McCain,pts,4,0.036656518808337,3.306163999935509
1028027372,Jared McCain,reb,2,0.2424497317104785,1.41696088200809
1028027372,Jared McCain,tov,2,0.1865227457539512,1.679202086187731
1057262518,Dylan Harper,pts,7,0.0386497927044642,3.2532138673663438
1057262518,Dylan Harper,reb,5,0.2342930274535613,1.4511826929655656
1057262518,Dylan Harper,ast,2,0.2365951785332852,1.4414047057803767
1057262518,Dylan Harper,tov,2,0.3262994132770755,1.1199398734933492
