player_id,player_name,team,opponent,game_id,is_home,stat,line,market_line,book,market_over_odds,market_under_odds,market_no_vig_over_prob,pmf_mean,p_over,role_bucket,injury_freshness_status,lineup_freshness_status,market_coverage_status
175,Shai Gilgeous-Alexander,OKC,SAS,21713531,False,ra,12.5000,12.5000,betmgm,105.0000,-140.0000,0.4554,12.5288,0.5061,starter,latest_valid_report_selected,confirmed,full
175,Shai Gilgeous-Alexander,OKC,SAS,21713531,False,pra,40.5000,40.5000,betparx,-157.0000,114.0000,0.5666,42.7580,0.6151,starter,latest_valid_report_selected,confirmed,full
201,Isaiah Hartenstein,OKC,SAS,21713531,False,pts,14.5000,14.5000,bovada,-105.0000,-125.0000,0.4797,8.5821,0.1145,rotation,latest_valid_report_selected,confirmed,full
201,Isaiah Hartenstein,OKC,SAS,21713531,False,reb,7.5000,7.5000,betonlineag,-112.0000,-115.0000,0.4969,7.8665,0.5550,rotation,latest_valid_report_selected,confirmed,full
201,Isaiah Hartenstein,OKC,SAS,21713531,False,ast,1.5000,1.5000,bovada,-170.0000,130.0000,0.5915,2.5608,0.7109,rotation,latest_valid_report_selected,confirmed,full
201,Isaiah Hartenstein,OKC,SAS,21713531,False,fg3m,,,,,,,1.0997,,rotation,latest_valid_report_selected,confirmed,no_market_line
201,Isaiah Hartenstein,OKC,SAS,21713531,False,tov,,,,,,,1.0209,,rotation,latest_valid_report_selected,confirmed,no_market_line
201,Isaiah Hartenstein,OKC,SAS,21713531,False,stl,0.5000,0.5000,betparx,-167.0000,125.0000,0.5846,0.7583,0.4557,rotation,latest_valid_report_selected,confirmed,full
201,Isaiah Hartenstein,OKC,SAS,21713531,False,blk,0.5000,0.5000,betmgm,-105.0000,-135.0000,0.4713,0.4775,0.2663,rotation,latest_valid_report_selected,confirmed,full
201,Isaiah Hartenstein,OKC,SAS,21713531,False,stocks,1.5000,1.5000,betparx,106.0000,-141.0000,0.4535,1.2358,0.3052,rotation,latest_valid_report_selected,confirmed,full
201,Isaiah Hartenstein,OKC,SAS,21713531,False,pa,9.5000,9.5000,betmgm,100.0000,-135.0000,0.4653,11.1429,0.5989,rotation,latest_valid_report_selected,confirmed,full
201,Isaiah Hartenstein,OKC,SAS,21713531,False,pr,14.5000,14.5000,betmgm,-110.0000,-118.0000,0.4918,16.4486,0.6171,rotation,latest_valid_report_selected,confirmed,full
201,Isaiah Hartenstein,OKC,SAS,21713531,False,ra,10.5000,10.5000,betmgm,-105.0000,-130.0000,0.4754,10.4273,0.4910,rotation,latest_valid_report_selected,confirmed,full
201,Isaiah Hartenstein,OKC,SAS,21713531,False,pra,17.5000,17.5000,betmgm,-105.0000,-130.0000,0.4754,19.0094,0.5839,rotation,latest_valid_report_selected,confirmed,full
666541,Luguentz Dort,OKC,SAS,21713531,False,pts,4.5000,4.5000,betmgm,-135.0000,100.0000,0.5347,7.9946,0.7211,rotation,latest_valid_report_selected,confirmed,full
666541,Luguentz Dort,OKC,SAS,21713531,False,reb,4.5000,4.5000,bovada,105.0000,-135.0000,0.4592,2.9337,0.1522,rotation,latest_valid_report_selected,confirmed,full
666541,Luguentz Dort,OKC,SAS,21713531,False,ast,0.5000,0.5000,betmgm,-225.0000,165.0000,0.6472,1.6364,0.7806,rotation,latest_valid_report_selected,confirmed,full
666541,Luguentz Dort,OKC,SAS,21713531,False,fg3m,1.5000,1.5000,betmgm,175.0000,-210.0000,0.3493,0.9503,0.2372,rotation,latest_valid_report_selected,confirmed,full
666541,Luguentz Dort,OKC,SAS,21713531,False,tov,,,,,,,0.8242,,rotation,latest_valid_report_selected,confirmed,no_market_line
666541,Luguentz Dort,OKC,SAS,21713531,False,stl,0.5000,0.5000,betparx,-112.0000,-120.0000,0.4920,0.7251,0.4558,rotation,latest_valid_report_selected,confirmed,full
666541,Luguentz Dort,OKC,SAS,21713531,False,blk,0.5000,0.5000,betmgm,290.0000,-450.0000,0.2386,0.3122,0.1963,rotation,latest_valid_report_selected,confirmed,full
666541,Luguentz Dort,OKC,SAS,21713531,False,stocks,,,,,,,1.0373,,rotation,latest_valid_report_selected,confirmed,no_market_line
