book,n,clv_close_minus_morning_p_mean,clv_book_close_minus_morning_p_mean,model_edge_movement_mean
betmgm,20,-0.1302780410841059,-2.7755575615628915e-18,2.7755575615628915e-18
betonlineag,21,-0.11946582121467533,0.0012230013546466493,-0.0012230013546466493
betparx,28,-0.12971956005055507,0.00013373964174623925,-0.00013373964174623925
betrivers,28,-0.12965667433656408,0.0002444943909408153,-0.0002444943909408153
bovada,79,-0.13714274329731974,-0.0012140103947280282,0.0012140103947280282
draftkings,20,-0.11478922052586218,-0.00041887208792693866,0.00041887208792693866
espnbet,58,-0.12507458644606861,-0.0009234226094995958,0.0009234226094995958
fanatics,1,-0.030815079038429338,0.0,0.0
fanduel,59,-0.13913635031928376,0.0003580335579751299,-0.0003580335579751299
fliff,18,-0.13562527456714435,-0.0006354917934211378,0.0006354917934211393
hardrockbet,21,-0.11666826730333547,0.00022045855379187223,-0.00022045855379187223
hardrockbet_az,21,-0.11666826730333547,0.00022045855379187223,-0.00022045855379187223
hardrockbet_fl,19,-0.1368216671915002,1.1686558153949016e-17,-1.1686558153949016e-17
williamhill_us,20,-0.13472979730050344,0.00042225090237955345,-0.00042225090237955345
