player_id,player_name,team,opponent,game_id,is_home,stat,line,book,market_over_odds,market_under_odds,market_no_vig_over_prob,model_p_over,edge,role_bucket,injury_freshness_status,lineup_freshness_status,market_coverage_status
22,Deandre Ayton,LAL,OKC,21708301,False,pts,,,,,,,,core,fresh,projected,full
22,Deandre Ayton,LAL,OKC,21708301,False,reb,,,,,,,,core,fresh,projected,full
22,Deandre Ayton,LAL,OKC,21708301,False,ast,,,,,,,,core,fresh,projected,full
22,Deandre Ayton,LAL,OKC,21708301,False,fg3m,,,,,,,,core,fresh,projected,full
22,Deandre Ayton,LAL,OKC,21708301,False,tov,,,,,,,,core,fresh,projected,full
89,Alex Caruso,OKC,LAL,21708301,True,pts,,,,,,,,rotation,fresh,projected,full
89,Alex Caruso,OKC,LAL,21708301,True,reb,,,,,,,,rotation,fresh,projected,full
89,Alex Caruso,OKC,LAL,21708301,True,ast,,,,,,,,rotation,fresh,projected,full
89,Alex Caruso,OKC,LAL,21708301,True,fg3m,,,,,,,,rotation,fresh,projected,full
89,Alex Caruso,OKC,LAL,21708301,True,tov,,,,,,,,rotation,fresh,projected,full
175,Shai Gilgeous-Alexander,OKC,LAL,21708301,True,pts,,,,,,,,starter,fresh,projected,full
175,Shai Gilgeous-Alexander,OKC,LAL,21708301,True,reb,,,,,,,,starter,fresh,projected,full
175,Shai Gilgeous-Alexander,OKC,LAL,21708301,True,ast,,,,,,,,starter,fresh,projected,full
175,Shai Gilgeous-Alexander,OKC,LAL,21708301,True,fg3m,,,,,,,,starter,fresh,projected,full
175,Shai Gilgeous-Alexander,OKC,LAL,21708301,True,tov,,,,,,,,starter,fresh,projected,full
201,Isaiah Hartenstein,OKC,LAL,21708301,True,pts,,,,,,,,rotation,fresh,projected,full
201,Isaiah Hartenstein,OKC,LAL,21708301,True,reb,,,,,,,,rotation,fresh,projected,full
201,Isaiah Hartenstein,OKC,LAL,21708301,True,ast,,,,,,,,rotation,fresh,projected,full
201,Isaiah Hartenstein,OKC,LAL,21708301,True,fg3m,,,,,,,,rotation,fresh,projected,full
201,Isaiah Hartenstein,OKC,LAL,21708301,True,tov,,,,,,,,rotation,fresh,projected,full
237,LeBron James,LAL,OKC,21708301,False,pts,,,,,,,,starter,fresh,projected,full
237,LeBron James,LAL,OKC,21708301,False,reb,,,,,,,,starter,fresh,projected,full
237,LeBron James,LAL,OKC,21708301,False,ast,,,,,,,,starter,fresh,projected,full
237,LeBron James,LAL,OKC,21708301,False,fg3m,,,,,,,,starter,fresh,projected,full
237,LeBron James,LAL,OKC,21708301,False,tov,,,,,,,,starter,fresh,projected,full
254,Luke Kennard,LAL,OKC,21708301,False,pts,,,,,,,,core,fresh,projected,full
254,Luke Kennard,LAL,OKC,21708301,False,reb,,,,,,,,core,fresh,projected,full
254,Luke Kennard,LAL,OKC,21708301,False,ast,,,,,,,,core,fresh,projected,full
254,Luke Kennard,LAL,OKC,21708301,False,fg3m,,,,,,,,core,fresh,projected,full
254,Luke Kennard,LAL,OKC,21708301,False,tov,,,,,,,,core,fresh,projected,full
