stat,role_bucket,n,raw_nll,calibrated_nll,delta_nll_cal_minus_raw,raw_rps,calibrated_rps,delta_rps_cal_minus_raw,raw_mean,calibrated_mean,actual_mean,raw_mean_bias,calibrated_mean_bias,raw_p0,calibrated_p0,actual_p0,raw_p0_error,calibrated_p0_error,pit_mean,pit_std,pit_ks,ece,nll_threshold,caveats,status
pts,inactive_risk,593,2.682888417481781,2.7003238899218815,0.017435472440100686,2.523181579636987,2.497573519568798,-0.025608060068189165,5.111455090534348,5.2348267243341295,6.185497470489039,-1.0740423799546903,-0.9506707461549091,0.297750262603551,0.2603247988696357,0.2934232715008432,0.004326991102707789,-0.033098472631207465,0.5378839526995512,0.31693488381968254,0.11576427982344117,0.08394444998405227,0.005,,REVIEW
pts,fringe,607,2.2145138454681823,2.227690139775407,0.01317629430722489,1.8827358909507932,1.8862926063384107,0.0035567153876174817,3.070914900462203,3.0752990489439775,3.0214168039538714,0.04949809650833181,0.05388224499010619,0.3126145502839393,0.2805650666077433,0.4135090609555189,-0.10089451067157962,-0.13294399434777565,0.47552740423734263,0.3158709360815888,0.12251265919580334,0.011968254685804638,0.005,,REVIEW
pts,bench,1379,2.742278502552849,2.7500828541591265,0.007804351606277571,2.6942558122759004,2.690082763747677,-0.004173048528223422,4.790026306814513,4.872208018846674,5.445975344452502,-0.6559490376379893,-0.5737673256058278,0.18788857875033488,0.1672995464216138,0.2233502538071066,-0.035461675056771724,-0.05605070738549281,0.5175426732120574,0.308908860400923,0.05603898582884248,0.04522770289194909,0.005,,REVIEW
pts,rotation,1940,3.0647121685086542,3.0563993499864925,-0.008312818522161702,3.1667717167974994,3.1273574723067186,-0.03941424449078079,7.789869267988036,8.117355823129788,8.79278350515464,-1.0029142371666042,-0.6754276820248517,0.06866927356477696,0.0650711414840009,0.07371134020618557,-0.005042066641408605,-0.008640198722184675,0.5361166856693071,0.2899716200515763,0.06731021790550729,0.04408920767957706,0.005,,PASS
pts,core,2098,3.2882333846298577,3.290079308373986,0.001845923744128175,3.7962552534884964,3.733426049373873,-0.06282920411462323,12.057443896698235,12.767449863622005,13.275023832221162,-1.2175799355229273,-0.5075739685991572,0.026562956570826274,0.01856100101533178,0.02478551000953289,0.0017774465612933853,-0.006224508994201107,0.517902393631096,0.2877068922422384,0.04069300229870709,0.026257907104209183,0.005,,PASS
pts,starter,1336,3.442186272693454,3.4203593449165464,-0.021826927776907645,4.174328254331518,4.104388054647865,-0.06994019968365262,17.975659723527322,18.594070061128026,19.077844311377245,-1.1021845878499228,-0.48377425024921905,0.01239200891146999,0.009588760130488297,0.005239520958083832,0.007152487953386157,0.004349239172404465,0.5128798053275627,0.27789621366331463,0.03250689994196318,0.030096171770269662,0.003,,PASS
reb,inactive_risk,593,1.887809110779431,1.8699907232012423,-0.017818387578188766,1.0812233134115958,1.0604471232886374,-0.020776190122958393,1.9956543115244634,1.94215204503255,2.5126475548060707,-0.5169932432816073,-0.5704955097735207,0.42959720305926047,0.3921164988890178,0.2900505902192243,0.13954661284003617,0.10206590866979348,0.5790153439496798,0.28510638021910034,0.11927955337028939,0.09668608923202629,0.005,,PASS
reb,fringe,607,1.6777685206116058,1.6740812543472345,-0.003687266264371214,0.9316790767815512,0.9294047105132761,-0.002274366268275041,1.5155970148161602,1.4285142151643904,1.5947281713344317,-0.07913115651827152,-0.1662139561700413,0.45052073293487294,0.3997875497044038,0.38879736408566723,0.061723368849205706,0.010990185618736548,0.5186817367418637,0.2893622820566776,0.035724172559447154,0.04372076226171258,0.005,,PASS
reb,bench,1379,2.0558580425038513,2.0428438595554352,-0.013014182948416053,1.234914597189547,1.225277865441913,-0.00963673174763402,2.425085263789984,2.378638672552141,2.6715010877447427,-0.24641582395475892,-0.2928624151926016,0.29045087127374636,0.24070490010547793,0.2088469905728789,0.08160388070086746,0.03185790953259904,0.5313095373633556,0.2884512424628742,0.05112621382616944,0.04165532545682445,0.005,,PASS
reb,rotation,1940,2.2338205784466427,2.188315002196858,-0.045505576249784685,1.3280948951961322,1.2945783695980235,-0.03351652559810869,3.4356597684825143,3.5143818747443443,3.7644329896907216,-0.3287732212082073,-0.25005111494637733,0.1701358974699839,0.11471875706196583,0.08814432989690722,0.08199156757307667,0.026574427165058603,0.5323025423230634,0.28176357991322326,0.05334032710809444,0.041868633963274324,0.005,,PASS
