stat,role_bucket,n,raw_nll,calibrated_nll,delta_nll_cal_minus_raw,raw_rps,calibrated_rps,delta_rps_cal_minus_raw,raw_mean,calibrated_mean,actual_mean,raw_mean_bias,calibrated_mean_bias,raw_p0,calibrated_p0,actual_p0,raw_p0_error,calibrated_p0_error,pit_mean,pit_std,pit_ks,ece,nll_threshold,caveats,status
pts,inactive_risk,603,2.6633159443470333,2.673878094835574,0.010562150488540478,2.4982620561125115,2.4744862880911658,-0.023775768021345733,5.06523416587098,5.132048687393963,6.1011608623548925,-1.0359266964839122,-0.9691121749609293,0.29937795310763804,0.2767349752823787,0.30016583747927034,-0.000787884371632297,-0.02343086219689161,0.5413501988490247,0.3166035834467953,0.12154553598066908,0.0816833477678795,0.005,,REVIEW
pts,fringe,628,2.21239797245005,2.2172624659376057,0.004864493487555688,1.8711828254182914,1.8738521777452957,0.0026693523270042707,3.0755026718374054,3.0645984776919226,3.0143312101910826,0.06117146164632281,0.050267267500839985,0.31240238644748064,0.28314448149929455,0.410828025477707,-0.09842563903022639,-0.12768354397841247,0.47742969414243175,0.31432190297136986,0.11583018397194592,0.0355954230813774,0.005,,PASS
pts,bench,1395,2.7397169775989734,2.745217539908053,0.005500562309079804,2.684031903477196,2.6767241027211965,-0.007307800755999239,4.792210951324167,4.852842512426958,5.430824372759856,-0.6386134214356893,-0.5779818603328986,0.18768244929274439,0.1669530221389688,0.221505376344086,-0.03382292705134163,-0.054552354205117226,0.5182415818577418,0.307759984977206,0.053403599363979315,0.04539535622654671,0.005,,REVIEW
pts,rotation,1961,3.064031521898517,3.056099492439326,-0.007932029459190915,3.1626176768249947,3.120120245955013,-0.04249743086998192,7.793227628708205,8.131374669034596,8.79398266190719,-1.0007550331989847,-0.6626079928725943,0.06860669252881216,0.06295971213661307,0.07394186639469659,-0.005335173865884432,-0.01098215425808352,0.5343730128865388,0.29162778461231303,0.06466137731375965,0.042016358830572656,0.005,,PASS
pts,core,2113,3.2881629645621655,3.2868514569364766,-0.0013115076256888791,3.7955763035899346,3.73049164147243,-0.06508466211750452,12.049089270518802,12.77809912398483,13.263132986275437,-1.2140437157566346,-0.4850338622906065,0.026573631275718657,0.01686276915775908,0.024609559867486985,0.001964071408231672,-0.007746790709727905,0.5171253173421534,0.2886322731592488,0.03639103688494638,0.026097235332625365,0.005,,PASS
pts,starter,1380,3.4388684153697135,3.4129105301598113,-0.025957885209902276,4.166835833984071,4.092567620436482,-0.07426821354758939,17.916697626062202,18.587931833610167,19.030434782608694,-1.1137371565464917,-0.44250294899852705,0.012491828917191236,0.00793621803611299,0.005797101449275362,0.006694727467915874,0.002139116586837627,0.5116229237347888,0.27851735954169077,0.03391645626705092,0.02820094014705044,0.003,,PASS
reb,inactive_risk,603,1.8763553097857966,1.8580566290954916,-0.018298680690304936,1.0743918645066677,1.0473330645311927,-0.027058799975475,1.9849773467120067,1.9741093926136435,2.4809286898839136,-0.4959513431719069,-0.5068192972702701,0.43077414275424236,0.37565921282821885,0.296849087893864,0.13392505486037837,0.07881012493435485,0.5647596974193007,0.28797243422166413,0.10009685916788025,0.08414543348026719,0.005,,PASS
reb,fringe,628,1.6838722886699917,1.6696707018797532,-0.01420158679023853,0.9322698109443763,0.9249849595375054,-0.0072848514068709624,1.5198583672931147,1.4817950342172208,1.5987261146496816,-0.07886774735656688,-0.11693108043246081,0.44939503963609534,0.37674010406783764,0.3853503184713376,0.06404472116475773,-0.00861021440349996,0.5093552136913276,0.2910736404536768,0.02490689228787346,0.03769323165572712,0.005,,PASS
reb,bench,1395,2.057942576808602,2.0425884411663326,-0.015354135642269284,1.235092091733928,1.2239277061819305,-0.011164385551997613,2.432988228506371,2.408382616510546,2.682437275985663,-0.24944904747929186,-0.27405465947511676,0.2896514347573449,0.23824062886504688,0.207168458781362,0.08248297597598289,0.031072170083684875,0.5280775312444025,0.28804138456482214,0.05310474666300791,0.04004190944393165,0.005,,PASS
reb,rotation,1961,2.2330883164491873,2.1906324375342416,-0.04245587891494562,1.32809982605952,1.2949490335229998,-0.0331507925365202,3.4345343961530235,3.512623800772497,3.76185619581846,-0.3273217996654365,-0.24923239504596317,0.17021008384757882,0.1227950941959472,0.0887302396736359,0.08147984417394293,0.0340648545223113,0.5324358448015343,0.28061176942276717,0.04931317064151286,0.044519892933503426,0.005,,PASS
reb,core,2113,2.3403557977072182,2.283303659904582,-0.05705213780263607,1.4305792599666094,1.379240331073674,-0.05133892889293534,4.411031275522017,4.704690049961828,4.806909607193564,-0.39587833167154685,-0.10221955723173615,0.1088027681432138,0.06976280689826475,0.04212020823473734,0.06668255990847646,0.02764259866352741,0.5162585858940039,0.2719619168093654,0.051630441606326766,0.024267811243903,0.005,,PASS
reb,starter,1380,2.4412540695957796,2.3856288596707875,-0.05562520992499209,1.562122184056277,1.519144168588576,-0.04297801546770086,5.434181524308768,5.619659191639065,5.705797101449275,-0.27161557714050755,-0.08613790981021019,0.06865619661513896,0.045116399325719446,0.02608695652173913,0.042569240093399824,0.019029442803980317,0.5115212770930497,0.2761582394064312,0.03943675263579541,0.018846800285722453,0.003,,PASS
