role_bucket,n_rows,n_scored,n_market_joined,n_books,n_players,n_games,model_brier_avg,market_brier_avg,model_logloss_avg,market_logloss_avg,model_rps_avg,market_rps_avg,market_coverage_status,availability_freshness_status,failure_reason,market_superiority_pass,brier_delta_model_minus_market,logloss_delta_model_minus_market,rps_delta_model_minus_market,rps_status,model_beats_market_brier,model_beats_market_logloss,model_beats_market_rps,calibration_pass,model_ece,market_ece,model_calibration_slope,model_calibration_intercept,market_calibration_slope,market_calibration_intercept,pit_ks,mean_error,variance_error,p0_error,model_better_calibrated
bench,14,14,14,5,1,1,0.21192875160714286,0.266457482930858,0.6161126254790387,0.7271488336396615,2.8083518596428556,,covered,unknown,,True,-0.05452873132371516,-0.11103620816062287,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
core,176,176,176,7,3,1,0.2535660571164773,0.20747439058278552,0.6992841458305725,0.6012256103975884,4.125508586008523,,covered,unknown,model_logloss_not_better,False,0.04609166653369176,0.09805853543298415,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
none,2640,515,515,8,15,1,0.20741204560304563,0.22276847369442684,0.599756165344933,0.6342773721770959,2.096395846545448,,covered,unknown,,True,-0.015356428091381213,-0.034521206832162865,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
rotation,51,51,51,5,4,1,0.19021772029411765,0.27093925854358686,0.5710113850959551,0.7371218978864407,2.193333922941175,,covered,unknown,,True,-0.0807215382494692,-0.1661105127904856,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
starter,581,581,581,6,7,1,0.227090020348537,0.2055078123075764,0.6414439518641585,0.5975936702612752,3.8973582587994833,,covered,unknown,model_logloss_not_better,False,0.021582208040960615,0.04385028160288329,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
