stat,n_rows,n_scored,n_market_joined,n_books,n_players,n_games,model_brier_avg,market_brier_avg,model_logloss_avg,market_logloss_avg,model_rps_avg,market_rps_avg,market_coverage_status,availability_freshness_status,failure_reason,market_superiority_pass,brier_delta_model_minus_market,logloss_delta_model_minus_market,rps_delta_model_minus_market,rps_status,model_beats_market_brier,model_beats_market_logloss,model_beats_market_rps,calibration_pass,model_ece,market_ece,model_calibration_slope,model_calibration_intercept,market_calibration_slope,market_calibration_intercept,pit_ks,mean_error,variance_error,p0_error,model_better_calibrated
ast,244,82,82,8,13,1,0.15542208422522252,0.21070199382521776,0.48543887717455914,0.6095574207748866,0.7215995993631971,,covered,unknown,,True,-0.055279909599995236,-0.12411854360032748,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
blk,70,4,4,4,10,1,0.09995918967750347,0.16946721155050914,0.3800360340597218,0.5303509510682074,0.5380131037209642,,covered,unknown,insufficient_scored_rows,False,-0.06950802187300567,-0.1503149170084856,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
fg3m,262,55,55,8,13,1,0.141465370676285,0.20010567175675192,0.4501631492064524,0.5886344404036875,0.619622192518422,,covered,unknown,,True,-0.05864030108046692,-0.1384712911972351,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
pa,330,172,172,4,12,1,0.2246388845639535,0.1887363350662456,0.6389682275144131,0.5607459169014736,3.666857808052327,,covered,unknown,model_logloss_not_better,False,0.03590254949770791,0.0782223106129395,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
pr,489,231,231,4,12,1,0.24075129136363635,0.21664562314569671,0.6719330528079148,0.6211584591727596,4.154653632673162,,covered,unknown,model_logloss_not_better,False,0.024105668217939635,0.05077459363515524,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
pra,611,309,309,7,15,1,0.24250445021035602,0.2154901305443924,0.6743798243561323,0.6187817959360931,4.401402710817153,,covered,unknown,model_logloss_not_better,False,0.027014319665963626,0.05559802842003925,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
pts,780,214,214,8,15,1,0.25114792804164593,0.2268674474384425,0.6959898158886506,0.641863451026763,3.677298384508576,,covered,unknown,model_logloss_not_better,False,0.024280480603203425,0.0541263648618876,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
ra,234,110,110,4,11,1,0.1822702051590909,0.22154181567054226,0.5454333367154985,0.633195032679332,1.7379422348181812,,covered,unknown,,True,-0.039271610511451366,-0.08776169596383343,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
reb,377,149,149,8,12,1,0.19937093510627188,0.2322201301338373,0.5821866390436053,0.6542030177636527,1.2606868737773775,,covered,unknown,,True,-0.03284919502756542,-0.0720163787200474,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
stl,55,11,11,3,10,1,0.2218395001316204,0.23764422948819403,0.6456081876422228,0.6670738158796808,0.859747485642012,,covered,unknown,,True,-0.01580472935657362,-0.021465628237458012,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
stocks,10,0,0,1,0,0,,,,,,,none,unknown,insufficient_scored_rows,False,,,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
