player_id,player_name,game_id,stat,line,exp_mp_contextual,contextual_minutes_delta,contextual_pmf_mean_baseline,contextual_pmf_mean_post,contextual_pmf_mean_shift_ratio,contextual_pmf_applied,contextual_feature_set_id,lineup_confirmed,confirmed_starter,confirmed_bench,contextual_rate_delta_pts,contextual_rate_delta_reb,contextual_rate_delta_ast,contextual_rate_delta_tov,contextual_rate_delta_stl,contextual_rate_delta_blk,contextual_rate_delta_fg3m
192,James Harden,21682000,ast,6.5,15.378093783690893,15.378093783690893,,,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,0,0.0,0.0,0.03308615888319899,0.0076250159869023695,0.009918364658834186,0.004113574403851457,0.002076014387512933,6.805731970554741e-05,-0.0010155391687372102
322,Donovan Mitchell,21682000,pts,25.5,15.378093783690893,15.378093783690893,,,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,0,0.0,0.0,0.03308615888319899,0.0076250159869023695,0.009918364658834186,0.004113574403851457,0.002076014387512933,6.805731970554741e-05,-0.0010155391687372102
3547299,Sam Merrill,21682000,stl,0.5,15.378093783690893,15.378093783690893,,,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,0,0.0,0.0,0.03308615888319899,0.0076250159869023695,0.009918364658834186,0.004113574403851457,0.002076014387512933,6.805731970554741e-05,-0.0010155391687372102
227,Brandon Ingram,21682000,reb,4.5,15.378093783690893,15.378093783690893,,,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,0,0.0,0.0,0.03308615888319899,0.0076250159869023695,0.009918364658834186,0.004113574403851457,0.002076014387512933,6.805731970554741e-05,-0.0010155391687372102
1028029111,Ja'Kobe Walter,21682000,reb,3.5,15.378093783690893,15.378093783690893,,,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,0,0.0,0.0,0.03308615888319899,0.0076250159869023695,0.009918364658834186,0.004113574403851457,0.002076014387512933,6.805731970554741e-05,-0.0010155391687372102
9,Jarrett Allen,21682000,pts,11.5,15.378093783690893,15.378093783690893,,,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,0,0.0,0.0,0.03308615888319899,0.0076250159869023695,0.009918364658834186,0.004113574403851457,0.002076014387512933,6.805731970554741e-05,-0.0010155391687372102
17896076,Evan Mobley,21682000,pts,16.5,15.378093783690893,15.378093783690893,,,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,0,0.0,0.0,0.03308615888319899,0.0076250159869023695,0.009918364658834186,0.004113574403851457,0.002076014387512933,6.805731970554741e-05,-0.0010155391687372102
666423,RJ Barrett,21682000,pts,23.5,15.378093783690893,15.378093783690893,,,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,0,0.0,0.0,0.03308615888319899,0.0076250159869023695,0.009918364658834186,0.004113574403851457,0.002076014387512933,6.805731970554741e-05,-0.0010155391687372102
1057268940,Collin Murray-Boyles,21682000,pts,12.5,15.378093783690893,15.378093783690893,,,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,0,0.0,0.0,0.03308615888319899,0.0076250159869023695,0.009918364658834186,0.004113574403851457,0.002076014387512933,6.805731970554741e-05,-0.0010155391687372102
373,Jakob Poeltl,21682000,reb,5.5,15.378093783690893,15.378093783690893,,,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,0,0.0,0.0,0.03308615888319899,0.0076250159869023695,0.009918364658834186,0.004113574403851457,0.002076014387512933,6.805731970554741e-05,-0.0010155391687372102
17896055,Scottie Barnes,21682000,pts,21.5,15.378093783690893,15.378093783690893,,,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,0,0.0,0.0,0.03308615888319899,0.0076250159869023695,0.009918364658834186,0.004113574403851457,0.002076014387512933,6.805731970554741e-05,-0.0010155391687372102
409,Dennis Schroder,21682000,fg3m,0.5,15.378093783690893,15.378093783690893,,,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,0,0.0,0.0,0.03308615888319899,0.0076250159869023695,0.009918364658834186,0.004113574403851457,0.002076014387512933,6.805731970554741e-05,-0.0010155391687372102
1028038426,Jamal Shead,21682000,pts,8.5,15.378093783690893,15.378093783690893,,,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,0,0.0,0.0,0.03308615888319899,0.0076250159869023695,0.009918364658834186,0.004113574403851457,0.002076014387512933,6.805731970554741e-05,-0.0010155391687372102
17896059,Sandro Mamukelashvili,21682000,reb,3.5,15.378093783690893,15.378093783690893,,,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,0,0.0,0.0,0.03308615888319899,0.0076250159869023695,0.009918364658834186,0.004113574403851457,0.002076014387512933,6.805731970554741e-05,-0.0010155391687372102
