player_id,player_name,game_id,game,team_id,stat,side,line,bet_vendor,model_prob,market_prob,edge_publish_status,calibration_support_status,contextual_feature_set_id,lineup_confirmed,snapshot_type,source_row_id,row_id,k,p_k
192,James Harden,21682000,Toronto Raptors @ Cleveland Cavaliers,6,fg3m,UNDER,2.5,betparx,0.6243,0.4514,WATCHLIST_NOT_CONFIRMED_LINEUP,CALIBRATION_SAMPLE_LIMITED,phase13s_direct_lineup_injury_pmf_driver_v1,0,current_live,1,1,1,0.26102610261026105
192,James Harden,21682000,Toronto Raptors @ Cleveland Cavaliers,6,fg3m,UNDER,2.5,betparx,0.6243,0.4514,WATCHLIST_NOT_CONFIRMED_LINEUP,CALIBRATION_SAMPLE_LIMITED,phase13s_direct_lineup_injury_pmf_driver_v1,0,current_live,1,1,2,0.2619261926192619
192,James Harden,21682000,Toronto Raptors @ Cleveland Cavaliers,6,fg3m,UNDER,2.5,betparx,0.6243,0.4514,WATCHLIST_NOT_CONFIRMED_LINEUP,CALIBRATION_SAMPLE_LIMITED,phase13s_direct_lineup_injury_pmf_driver_v1,0,current_live,1,1,3,0.18191819181918192
192,James Harden,21682000,Toronto Raptors @ Cleveland Cavaliers,6,fg3m,UNDER,2.5,betparx,0.6243,0.4514,WATCHLIST_NOT_CONFIRMED_LINEUP,CALIBRATION_SAMPLE_LIMITED,phase13s_direct_lineup_injury_pmf_driver_v1,0,current_live,1,1,4,0.0991099109910991
192,James Harden,21682000,Toronto Raptors @ Cleveland Cavaliers,6,fg3m,UNDER,2.5,betparx,0.6243,0.4514,WATCHLIST_NOT_CONFIRMED_LINEUP,CALIBRATION_SAMPLE_LIMITED,phase13s_direct_lineup_injury_pmf_driver_v1,0,current_live,1,1,5,0.039003900390039
192,James Harden,21682000,Toronto Raptors @ Cleveland Cavaliers,6,fg3m,UNDER,2.5,betparx,0.6243,0.4514,WATCHLIST_NOT_CONFIRMED_LINEUP,CALIBRATION_SAMPLE_LIMITED,phase13s_direct_lineup_injury_pmf_driver_v1,0,current_live,1,1,6,0.032303230323032305
192,James Harden,21682000,Toronto Raptors @ Cleveland Cavaliers,6,fg3m,UNDER,2.5,betparx,0.6243,0.4514,WATCHLIST_NOT_CONFIRMED_LINEUP,CALIBRATION_SAMPLE_LIMITED,phase13s_direct_lineup_injury_pmf_driver_v1,0,current_live,1,1,15,0.0233023302330233
192,James Harden,21682000,Toronto Raptors @ Cleveland Cavaliers,6,stl,UNDER,1.5,draftkings,0.79,0.6154,WATCHLIST_NOT_CONFIRMED_LINEUP,CALIBRATION_SAMPLE_THIN,phase13s_direct_lineup_injury_pmf_driver_v1,0,current_live,2,2,0,0.5312
192,James Harden,21682000,Toronto Raptors @ Cleveland Cavaliers,6,stl,UNDER,1.5,draftkings,0.79,0.6154,WATCHLIST_NOT_CONFIRMED_LINEUP,CALIBRATION_SAMPLE_THIN,phase13s_direct_lineup_injury_pmf_driver_v1,0,current_live,2,2,1,0.2588
192,James Harden,21682000,Toronto Raptors @ Cleveland Cavaliers,6,stl,UNDER,1.5,draftkings,0.79,0.6154,WATCHLIST_NOT_CONFIRMED_LINEUP,CALIBRATION_SAMPLE_THIN,phase13s_direct_lineup_injury_pmf_driver_v1,0,current_live,2,2,2,0.1236
192,James Harden,21682000,Toronto Raptors @ Cleveland Cavaliers,6,stl,UNDER,1.5,draftkings,0.79,0.6154,WATCHLIST_NOT_CONFIRMED_LINEUP,CALIBRATION_SAMPLE_THIN,phase13s_direct_lineup_injury_pmf_driver_v1,0,current_live,2,2,3,0.0446
192,James Harden,21682000,Toronto Raptors @ Cleveland Cavaliers,6,stl,UNDER,1.5,draftkings,0.79,0.6154,WATCHLIST_NOT_CONFIRMED_LINEUP,CALIBRATION_SAMPLE_THIN,phase13s_direct_lineup_injury_pmf_driver_v1,0,current_live,2,2,4,0.006
192,James Harden,21682000,Toronto Raptors @ Cleveland Cavaliers,6,stl,UNDER,1.5,draftkings,0.79,0.6154,WATCHLIST_NOT_CONFIRMED_LINEUP,CALIBRATION_SAMPLE_THIN,phase13s_direct_lineup_injury_pmf_driver_v1,0,current_live,2,2,5,0.0059
192,James Harden,21682000,Toronto Raptors @ Cleveland Cavaliers,6,stl,UNDER,1.5,draftkings,0.79,0.6154,WATCHLIST_NOT_CONFIRMED_LINEUP,CALIBRATION_SAMPLE_THIN,phase13s_direct_lineup_injury_pmf_driver_v1,0,current_live,2,2,6,0.0055
192,James Harden,21682000,Toronto Raptors @ Cleveland Cavaliers,6,stl,UNDER,1.5,draftkings,0.79,0.6154,WATCHLIST_NOT_CONFIRMED_LINEUP,CALIBRATION_SAMPLE_THIN,phase13s_direct_lineup_injury_pmf_driver_v1,0,current_live,2,2,7,0.0052
192,James Harden,21682000,Toronto Raptors @ Cleveland Cavaliers,6,stl,UNDER,1.5,draftkings,0.79,0.6154,WATCHLIST_NOT_CONFIRMED_LINEUP,CALIBRATION_SAMPLE_THIN,phase13s_direct_lineup_injury_pmf_driver_v1,0,current_live,2,2,8,0.0069
192,James Harden,21682000,Toronto Raptors @ Cleveland Cavaliers,6,stl,UNDER,1.5,draftkings,0.79,0.6154,WATCHLIST_NOT_CONFIRMED_LINEUP,CALIBRATION_SAMPLE_THIN,phase13s_direct_lineup_injury_pmf_driver_v1,0,current_live,2,2,9,0.006
192,James Harden,21682000,Toronto Raptors @ Cleveland Cavaliers,6,stl,UNDER,1.5,draftkings,0.79,0.6154,WATCHLIST_NOT_CONFIRMED_LINEUP,CALIBRATION_SAMPLE_THIN,phase13s_direct_lineup_injury_pmf_driver_v1,0,current_live,2,2,10,0.0063
192,James Harden,21682000,Toronto Raptors @ Cleveland Cavaliers,6,blk,UNDER,0.5,betway,0.7553,0.5613,WATCHLIST_NOT_CONFIRMED_LINEUP,CALIBRATION_SAMPLE_THIN,phase13s_direct_lineup_injury_pmf_driver_v1,0,current_live,3,3,0,0.7553000000000001
192,James Harden,21682000,Toronto Raptors @ Cleveland Cavaliers,6,blk,UNDER,0.5,betway,0.7553,0.5613,WATCHLIST_NOT_CONFIRMED_LINEUP,CALIBRATION_SAMPLE_THIN,phase13s_direct_lineup_injury_pmf_driver_v1,0,current_live,3,3,1,0.19160000000000002
192,James Harden,21682000,Toronto Raptors @ Cleveland Cavaliers,6,blk,UNDER,0.5,betway,0.7553,0.5613,WATCHLIST_NOT_CONFIRMED_LINEUP,CALIBRATION_SAMPLE_THIN,phase13s_direct_lineup_injury_pmf_driver_v1,0,current_live,3,3,2,0.030700000000000005
192,James Harden,21682000,Toronto Raptors @ Cleveland Cavaliers,6,blk,UNDER,0.5,betway,0.7553,0.5613,WATCHLIST_NOT_CONFIRMED_LINEUP,CALIBRATION_SAMPLE_THIN,phase13s_direct_lineup_injury_pmf_driver_v1,0,current_live,3,3,3,0.0032000000000000006
192,James Harden,21682000,Toronto Raptors @ Cleveland Cavaliers,6,blk,UNDER,0.5,betway,0.7553,0.5613,WATCHLIST_NOT_CONFIRMED_LINEUP,CALIBRATION_SAMPLE_THIN,phase13s_direct_lineup_injury_pmf_driver_v1,0,current_live,3,3,4,0.0028000000000000004
