player_id,player_name,team,opponent,game_id,is_home,stat,line,market_line,book,market_over_odds,market_under_odds,market_no_vig_over_prob,pmf_mean,p_over,role_bucket,injury_freshness_status,lineup_freshness_status,market_coverage_status
61,Mikal Bridges,NYK,SAS,21716136,True,pts,13.5000,13.5000,betmgm,-105.0000,-125.0000,0.4797,14.6109,0.5756,starter,fallback_used,projected,full
61,Mikal Bridges,NYK,SAS,21716136,True,reb,3.5000,3.5000,betmgm,100.0000,-135.0000,0.4653,4.1597,0.6617,starter,fallback_used,projected,full
61,Mikal Bridges,NYK,SAS,21716136,True,ast,2.5000,2.5000,betmgm,-160.0000,120.0000,0.5752,3.2601,0.6839,starter,fallback_used,projected,full
61,Mikal Bridges,NYK,SAS,21716136,True,fg3m,1.5000,1.5000,betmgm,110.0000,-150.0000,0.4425,1.0973,0.3348,starter,fallback_used,projected,full
61,Mikal Bridges,NYK,SAS,21716136,True,tov,,,,,,,1.1408,,starter,fallback_used,projected,no_market_line
61,Mikal Bridges,NYK,SAS,21716136,True,stl,1.5000,1.5000,betparx,150.0000,-200.0000,0.3750,0.8079,0.2150,starter,fallback_used,projected,full
61,Mikal Bridges,NYK,SAS,21716136,True,blk,0.5000,0.5000,betmgm,135.0000,-190.0000,0.3938,0.3336,0.2260,starter,fallback_used,projected,full
61,Mikal Bridges,NYK,SAS,21716136,True,stocks,1.5000,1.5000,betparx,-130.0000,-103.0000,0.5270,1.1373,0.2963,starter,fallback_used,projected,full
61,Mikal Bridges,NYK,SAS,21716136,True,pa,16.5000,16.5000,betmgm,-105.0000,-125.0000,0.4797,17.8710,0.5839,starter,fallback_used,projected,full
61,Mikal Bridges,NYK,SAS,21716136,True,pr,16.5000,16.5000,betmgm,-120.0000,-110.0000,0.5101,18.7706,0.6399,starter,fallback_used,projected,full
61,Mikal Bridges,NYK,SAS,21716136,True,ra,6.5000,6.5000,betmgm,-110.0000,-120.0000,0.4899,7.4198,0.6583,starter,fallback_used,projected,full
61,Mikal Bridges,NYK,SAS,21716136,True,pra,20.5000,20.5000,betparx,102.0000,-134.0000,0.4637,22.0307,0.5874,starter,fallback_used,projected,full
