stat,role_bucket,book,line,player_id,model_logloss,market_logloss,delta_logloss,model_brier,market_brier,delta_brier,model_p_over,market_no_vig_over_prob,actual_outcome,is_push
pts,core,betonlineag,14.5,61,1.199513783431857,0.6545511726043837,0.5449626108274733,0.4881248270674392,0.23071186090642098,0.2574129661610182,0.30134069313617584,0.519675254742772,23,False
pts,core,draftkings,14.5,61,1.199513783431857,0.6725652405520154,0.5269485428798416,0.4881248270674392,0.2397105057851434,0.2484143212822958,0.30134069313617584,0.510397604391948,23,False
pts,core,williamhill_us,14.5,61,1.199513783431857,0.6406365762766105,0.5588772071552465,0.4881248270674392,0.2237698037772153,0.26435502329022387,0.30134069313617584,0.5269568690095846,23,False
pts,core,fanduel,15.5,61,1.3415827196941457,0.7219249618929755,0.6196577578011702,0.5454833286394104,0.26438500315359553,0.28109832548581487,0.261431568072795,0.48581617766250607,23,False
pts,core,hardrockbet,14.5,61,1.199513783431857,0.6337237600891445,0.5657900233427124,0.4881248270674392,0.22032486463973341,0.26779996242770576,0.30134069313617584,0.5306122448979592,23,False
pts,core,fliff,14.5,61,1.199513783431857,0.6480538782718395,0.5514599051600175,0.4881248270674392,0.22746915891668146,0.26065566815075775,0.30134069313617584,0.5230627306273062,23,False
pts,core,hardrockbet_az,14.5,61,1.199513783431857,0.6337237600891445,0.5657900233427124,0.4881248270674392,0.22032486463973341,0.26779996242770576,0.30134069313617584,0.5306122448979592,23,False
pts,core,espnbet,15.5,61,1.3415827196941457,0.713597791031236,0.6279849286629097,0.5454833286394104,0.2602239013915979,0.2852594272478125,0.261431568072795,0.48987854251012153,23,False
reb,core,betonlineag,3.5,61,0.37087977462636773,0.756326082181477,-0.3854463075551093,0.0960213335567296,0.2815493544356518,-0.18552802087892223,0.30987309266331853,0.5306122448979592,3,False
reb,core,fanduel,3.5,61,0.37087977462636773,0.7598385550586174,-0.3889587804322497,0.0960213335567296,0.28329864724245574,-0.18727731368572614,0.30987309266331853,0.532258064516129,3,False
reb,core,williamhill_us,3.5,61,0.37087977462636773,0.7763203289540412,-0.4054405543276735,0.0960213335567296,0.29149643520325985,-0.19547510164653026,0.30987309266331853,0.5399040981537924,3,False
reb,core,draftkings,3.5,61,0.37087977462636773,0.7849327079894401,-0.4140529333630724,0.0960213335567296,0.2957723917381567,-0.19975105818142713,0.30987309266331853,0.5438496039698445,3,False
reb,core,fliff,3.5,61,0.37087977462636773,0.7602864833975738,-0.38940670877120603,0.0960213335567296,0.28352167313206267,-0.18750033957533307,0.30987309266331853,0.5324675324675324,3,False
reb,core,hardrockbet_az,3.5,61,0.37087977462636773,0.756326082181477,-0.3854463075551093,0.0960213335567296,0.2815493544356518,-0.18552802087892223,0.30987309266331853,0.5306122448979592,3,False
reb,core,hardrockbet,3.5,61,0.37087977462636773,0.756326082181477,-0.3854463075551093,0.0960213335567296,0.2815493544356518,-0.18552802087892223,0.30987309266331853,0.5306122448979592,3,False
reb,core,espnbet,3.5,61,0.37087977462636773,0.756326082181477,-0.3854463075551093,0.0960213335567296,0.2815493544356518,-0.18552802087892223,0.30987309266331853,0.5306122448979592,3,False
ast,core,draftkings,2.5,61,0.5074169559978758,0.8626474309540632,-0.3552304749561873,0.15836524486841147,0.3340339799455824,-0.17566873507717096,0.39795130967043124,0.5779567284369846,1,False
ast,core,betonlineag,2.5,61,0.5074169559978758,0.8449215859638165,-0.33750462996594066,0.15836524486841147,0.3253663783882506,-0.16700113351983914,0.39795130967043124,0.5704089571423739,1,False
ast,core,fanduel,2.5,61,0.5074169559978758,0.8288983299227809,-0.32148137392490506,0.15836524486841147,0.31749851586275385,-0.15913327099434238,0.39795130967043124,0.563470066518847,1,False
ast,core,hardrockbet,2.5,61,0.5074169559978758,0.8690378470236096,-0.3616208910257338,0.15836524486841147,0.33714880332986474,-0.17878355846145327,0.39795130967043124,0.5806451612903226,1,False
ast,core,fliff,2.5,61,0.5074169559978758,0.829559036049822,-0.3221420800519461,0.15836524486841147,0.31782352146299714,-0.15945827659458567,0.39795130967043124,0.5637583892617449,1,False
ast,core,hardrockbet_az,2.5,61,0.5074169559978758,0.8690378470236096,-0.3616208910257338,0.15836524486841147,0.33714880332986474,-0.17878355846145327,0.39795130967043124,0.5806451612903226,1,False
ast,core,espnbet,2.5,61,0.5074169559978758,0.8560506514967983,-0.3486336954989224,0.15836524486841147,0.3308129351958648,-0.17244769032745333,0.39795130967043124,0.5751633986928104,1,False
fg3m,core,betonlineag,1.5,61,1.2791529096372292,0.6169701457360256,0.6621827639012036,0.5208899737419632,0.21198952078890732,0.3089004529530559,0.278272922953584,0.539576802507837,2,False
fg3m,core,fanduel,1.5,61,1.2791529096372292,0.612701815341206,0.6664510942960231,0.5208899737419632,0.20986952112058327,0.31102045262137995,0.278272922953584,0.5418848167539267,2,False
fg3m,core,williamhill_us,1.5,61,1.2791529096372292,0.609082533639942,0.6700703759972871,0.5208899737419632,0.2080731837984677,0.3128167899434955,0.278272922953584,0.5438496039698445,2,False
fg3m,core,draftkings,1.5,61,1.2791529096372292,0.5937350319216032,0.685417877715626,0.5208899737419632,0.2004704660939953,0.3204195076479679,0.278272922953584,0.5522607163828538,2,False
fg3m,core,fliff,1.5,61,1.2791529096372292,0.6123858239154869,0.6667670857217423,0.5208899737419632,0.20971263865839815,0.31117733508356504,0.278272922953584,0.5420560747663551,2,False
fg3m,core,espnbet,1.5,61,1.2791529096372292,0.6077183327817413,0.6714345768554879,0.5208899737419632,0.20739641881114326,0.31349355493082,0.278272922953584,0.5445920303605313,2,False
fg3m,core,hardrockbet_az,1.5,61,1.2791529096372292,0.5968160716215132,0.682336838015716,0.5208899737419632,0.20199469763918695,0.31889527610277624,0.278272922953584,0.550561797752809,2,False
fg3m,core,hardrockbet,1.5,61,1.2791529096372292,0.5968160716215132,0.682336838015716,0.5208899737419632,0.20199469763918695,0.31889527610277624,0.278272922953584,0.550561797752809,2,False
pts,starter,betonlineag,26.5,73,0.872721655720245,0.6568015688870058,0.21592008683323916,0.33894186873711274,0.23183541815643766,0.10710645058067508,0.41781285763329273,0.5185070943861814,33,False
pts,starter,draftkings,26.5,73,0.872721655720245,0.6625961506861437,0.2101255050341012,0.33894186873711274,0.2347293480749596,0.10421252066215314,0.41781285763329273,0.5155112508272668,33,False
pts,starter,williamhill_us,26.5,73,0.872721655720245,0.6444824075255242,0.22823924819472075,0.33894186873711274,0.22568753924093432,0.11325432949617842,0.41781285763329273,0.5249341737812177,33,False
pts,starter,fanduel,26.5,73,0.872721655720245,0.6461018168698913,0.22661983885035364,0.33894186873711274,0.22649529813150382,0.11244657060560892,0.41781285763329273,0.5240847784200385,33,False
pts,starter,hardrockbet,26.5,73,0.872721655720245,0.6731064296764991,0.19961522604374582,0.33894186873711274,0.23998098641184085,0.09896088232527189,0.41781285763329273,0.5101214574898786,33,False
pts,starter,fliff,26.5,73,0.872721655720245,0.6558294175527503,0.2168922381674947,0.33894186873711274,0.23135002674608574,0.107591841991027,0.41781285763329273,0.5190114068441064,33,False
pts,starter,hardrockbet_az,26.5,73,0.872721655720245,0.6731064296764991,0.19961522604374582,0.33894186873711274,0.23998098641184085,0.09896088232527189,0.41781285763329273,0.5101214574898786,33,False
pts,starter,espnbet,27.5,73,0.9805322334468229,0.7346038942382914,0.24592833920853152,0.3904857638099065,0.2707168440310238,0.11976891977888271,0.3751113988798432,0.4796954314720812,33,False
reb,starter,betonlineag,3.5,73,0.8373286756471818,0.9119175470619322,-0.07458887141475035,0.3216417634368751,0.3578993480282644,-0.03625758459138928,0.43286530397367223,0.4017531044558072,5,False
reb,starter,draftkings,3.5,73,0.8373286756471818,0.8572700354366427,-0.019941359789460877,0.3216417634368751,0.3314087541185673,-0.009766990681692178,0.43286530397367223,0.4243188780943331,5,False
reb,starter,fanatics,2.5,73,0.48965741822409536,0.5296941080703735,-0.04003668984627817,0.1498957268993316,0.1690977377936938,-0.019202010894362215,0.6128363047762205,0.5887850467289719,5,False
reb,starter,fanduel,3.5,73,0.8373286756471818,0.9521337766272838,-0.11480510098010199,0.3216417634368751,0.37709831863531185,-0.05545655519843673,0.43286530397367223,0.3859166842884331,5,False
reb,starter,fliff,2.5,73,0.48965741822409536,0.5434429286898216,-0.053785510465726216,0.1498957268993316,0.17577446857760115,-0.025878741678269562,0.6128363047762205,0.5807453416149069,5,False
reb,starter,hardrockbet_az,2.5,73,0.48965741822409536,0.5436154465889815,-0.05395802836488617,0.1498957268993316,0.17585848074921953,-0.025962753849887943,0.6128363047762205,0.5806451612903226,5,False
reb,starter,hardrockbet,2.5,73,0.48965741822409536,0.5436154465889815,-0.05395802836488617,0.1498957268993316,0.17585848074921953,-0.025962753849887943,0.6128363047762205,0.5806451612903226,5,False
reb,starter,espnbet,3.5,73,0.8373286756471818,0.8758617418785103,-0.03853306623132846,0.3216417634368751,0.3404688109124173,-0.018827047475542202,0.43286530397367223,0.4165029469548134,5,False
ast,starter,draftkings,5.5,73,0.6171124288800688,0.5950174240353083,0.022095004844760457,0.21206021750215354,0.20110475171546352,0.010955465786690016,0.5395000352853938,0.5515529555059332,9,False
ast,starter,betonlineag,6.5,73,0.8702919622089061,0.804600210216929,0.06569175199197719,0.33775944172226885,0.30551409708325805,0.0322453446390108,0.418829249082278,0.44726670347874103,9,False
ast,starter,williamhill_us,6.5,73,0.8702919622089061,0.8051083131170054,0.06518364909190077,0.33775944172226885,0.30576531047396216,0.03199413124830669,0.418829249082278,0.44703950369491835,9,False
ast,starter,fanduel,6.5,73,0.8702919622089061,0.7892146493061789,0.08107731290272724,0.33775944172226885,0.29789615258323443,0.03986328913903442,0.418829249082278,0.45420136260408783,9,False
ast,starter,hardrockbet,6.5,73,0.8702919622089061,0.82085809559275,0.04943386661615612,0.33775944172226885,0.31353965265653244,0.024219789065736408,0.418829249082278,0.4400538841490795,9,False
ast,starter,fliff,6.5,73,0.8702919622089061,0.8091857761751788,0.061106186033727306,0.33775944172226885,0.3077803737739062,0.029979067948362637,0.418829249082278,0.4452204277608031,9,False
ast,starter,hardrockbet_az,6.5,73,0.8702919622089061,0.82085809559275,0.04943386661615612,0.33775944172226885,0.31353965265653244,0.024219789065736408,0.418829249082278,0.4400538841490795,9,False
ast,starter,espnbet,6.5,73,0.8702919622089061,0.8077505632989491,0.06254139890995702,0.33775944172226885,0.30707128078218193,0.030688160940086917,0.418829249082278,0.4458598726114649,9,False
fg3m,starter,betonlineag,2.5,73,0.9867927214791815,0.7695318356207089,0.21726088585847259,0.393417028640879,0.2881221560500917,0.10529487259078729,0.372770354143812,0.46322988528598974,3,False
fg3m,starter,fanduel,2.5,73,0.9867927214791815,0.800898279119072,0.18589444236010955,0.393417028640879,0.30368307972999775,0.08973394891088127,0.372770354143812,0.44892552251987045,3,False
fg3m,starter,williamhill_us,2.5,73,0.9867927214791815,0.7382645309012423,0.24852819057793918,0.393417028640879,0.2725438757573382,0.12087315288354084,0.372770354143812,0.47794265089231996,3,False
fg3m,starter,draftkings,2.5,73,0.9867927214791815,0.705359332656632,0.28143338882254954,0.393417028640879,0.25610577526619205,0.13731125337468697,0.372770354143812,0.4939310568053083,3,False
fg3m,starter,fliff,2.5,73,0.9867927214791815,0.7521613519970006,0.23463136948218088,0.393417028640879,0.2794743064506859,0.11394272219019314,0.372770354143812,0.4713467048710602,3,False
fg3m,starter,hardrockbet_az,2.5,73,0.9867927214791815,0.7563260821814768,0.23046663929770472,0.393417028640879,0.2815493544356517,0.11186767420522731,0.372770354143812,0.4693877551020409,3,False
fg3m,starter,hardrockbet,2.5,73,0.9867927214791815,0.7563260821814768,0.23046663929770472,0.393417028640879,0.2815493544356517,0.11186767420522731,0.372770354143812,0.4693877551020409,3,False
fg3m,starter,espnbet,2.5,73,0.9867927214791815,0.7346038942382914,0.2521888272408901,0.393417028640879,0.2707168440310238,0.12270018460985521,0.372770354143812,0.4796954314720812,3,False
pts,starter,betonlineag,25.5,145,0.6222131614331684,0.6993570949477594,-0.07714393351459103,0.2145957482576825,0.25310491746706526,-0.03850916920938277,0.463244803810774,0.5030953363598845,18,False
