label,stat,role_bucket,n,eligible,logloss_delta_mean_model_minus_market,logloss_delta_ucb95_model_minus_market,brier_delta_mean_model_minus_market,brier_delta_ucb95_model_minus_market,tau_logloss,tau_brier,gate_pass,failure_reason
2026-05-23,pa,core,30,True,0.12380988952443979,0.17115323907183455,0.05735701014083223,0.08281962372642251,0.0025,0.001,False,logloss_ucb_not_better
2026-05-23,pa,starter,136,True,0.08107546251730746,0.11604922623570701,0.037397191066862734,0.053032686999325396,0.0025,0.001,False,logloss_ucb_not_better
2026-05-23,pr,core,62,True,0.06087512553506239,0.13239866137300213,0.029528008439441585,0.0622537484695867,0.0025,0.001,False,logloss_ucb_not_better
2026-05-23,pr,starter,158,True,0.05911838208852328,0.09479177548537986,0.02799170238263114,0.04429258642352476,0.0025,0.001,False,logloss_ucb_not_better
2026-05-23,pra,core,59,True,0.19001874590445986,0.24614030404939624,0.08908915234764811,0.11556280970948708,0.0025,0.001,False,logloss_ucb_not_better
2026-05-23,pra,starter,207,True,0.057740890766786256,0.09016632631249599,0.028955175508869925,0.04458219753757909,0.0025,0.001,False,logloss_ucb_not_better
2026-05-23,pts,unknown,214,True,0.05412636486188765,0.08130520245605365,0.024280480603203453,0.036285465416962946,0.0025,0.001,False,logloss_ucb_not_better
2026-05-23,ra,core,25,True,-0.057654329642600095,0.04088343270674371,-0.027822940242073404,0.019584111225735154,0.0025,0.001,False,logloss_ucb_not_better
2026-05-23,stl,unknown,11,True,-0.021465628237458043,0.1437445807612278,-0.015804729356573635,0.055631767268656346,0.0025,0.001,False,logloss_ucb_not_better
2026-05-23,ast,unknown,82,True,-0.12411854360032744,-0.08675566080509846,-0.055279909599995194,-0.0359567614855798,0.0025,0.001,True,
2026-05-23,fg3m,unknown,55,True,-0.1384712911972352,-0.08524663413555027,-0.05864030108046694,-0.03306691805365818,0.0025,0.001,True,
2026-05-23,pra,rotation,34,True,-0.1458165128385105,-0.10535957996805656,-0.07058317904197808,-0.0498896197662275,0.0025,0.001,True,
2026-05-23,ra,starter,80,True,-0.08552897562237649,-0.024206671505581614,-0.037039567751087396,-0.008077460077743601,0.0025,0.001,True,
2026-05-23,reb,unknown,149,True,-0.0720163787200473,-0.0408024752735565,-0.0328491950275654,-0.018006139153775403,0.0025,0.001,True,
2026-05-23,blk,unknown,4,False,-0.15031491700848557,-0.1333760275311616,-0.06950802187300567,-0.06129324800436973,0.0025,0.001,False,insufficient_n
2026-05-23,pa,rotation,6,False,-0.2143870271102392,-0.16041908962752385,-0.10524829595208922,-0.0782420753310147,0.0025,0.001,False,insufficient_n
2026-05-23,pr,bench,5,False,-0.10571774709246314,-0.07696082073318995,-0.05213475677894384,-0.038174755658678575,0.0025,0.001,False,insufficient_n
2026-05-23,pr,rotation,6,False,-0.14290704799623594,-0.12344851730676441,-0.07072372624372027,-0.05963772381594676,0.0025,0.001,False,insufficient_n
2026-05-23,pra,bench,9,False,-0.11399090875404491,-0.08805671539790626,-0.055858717181921494,-0.043881145678886756,0.0025,0.001,False,insufficient_n
2026-05-23,ra,rotation,5,False,-0.2740220530333114,-0.2171246225787756,-0.13222764602416398,-0.1033903979901208,0.0025,0.001,False,insufficient_n
