player,status,reason,out_flag,questionable_flag,probable_flag,game_date
Dominick Barlow,Out,Right elbow laceration,1,0,0,2025-11-08
Paul George,Out,"Left knee, surgery recovery",1,0,0,2025-11-08
LeBron James,Out,Right sciatica,1,0,0,2025-11-08
Austin Reaves,Out,Right groin strain,1,0,0,2025-11-08
Adou Thiero,Out,"Left knee, surgery recovery",1,0,0,2025-11-08
Gabe Vincent,Out,Left ankle sprain,1,0,0,2025-11-08
Yves Missi,Out,Illness,1,0,0,2025-11-08
Dejounte Murray,Out,Right Achilles rupture,1,0,0,2025-11-08
Jordan Poole,Out,Left quad strain,1,0,0,2025-11-08
Zion Williamson,Out,Left hamstring strain,1,0,0,2025-11-08
Scoot Henderson,Out,Left hamstring tear,1,0,0,2025-11-08
Damian Lillard,Out,Left Achilles tendon; injury management,1,0,0,2025-11-08
Matisse Thybulle,Out,Left thumb ligament tear,1,0,0,2025-11-08
Blake Wesley,Out,Right foot fracture,1,0,0,2025-11-08
Johnny Furphy,Out,Left ankle sprain,1,0,0,2025-11-08
Tyrese Haliburton,Out,Right Achilles tendon tear,1,0,0,2025-11-08
Kawhi Leonard,Out,Right ankle sprain,1,0,0,2025-11-08
Jordan Miller,Out,Left hamstring strain,1,0,0,2025-11-08
Kobe Sanders,Out,Right knee sprain,1,0,0,2025-11-08
Quenton Jackson,Out,Right hamstring strain,1,0,0,2025-11-08
Kam Jones,Out,Low back stress reaction,1,0,0,2025-11-08
Bennedict Mathurin,Out,Right great toe sprain,1,0,0,2025-11-08
Obi Toppin,Out,Right foot stress fracture,1,0,0,2025-11-08
Maxi Kleber,Questionable,Abdominal muscle strain,0,1,0,2025-11-08
Dillon Brooks,Questionable,Core muscle strain,0,1,0,2025-11-08
Andrew Nembhard,Questionable,Left shoulder strain,0,1,0,2025-11-08
Shaedon Sharpe,Probable,Left calf strain,0,0,1,2025-11-08
