player_id,player_name,team,opponent,game_id
161,De'Aaron Fox,SAS,NYK,21716136
414,Landry Shamet,NYK,SAS,21716136
73,Jalen Brunson,NYK,SAS,21716136
202,Josh Hart,NYK,SAS,21716136
1028025261,Stephon Castle,SAS,NYK,21716136
3547246,Devin Vassell,SAS,NYK,21716136
38017649,Julian Champagnie,SAS,NYK,21716136
1057262518,Dylan Harper,SAS,NYK,21716136
666682,Keldon Johnson,SAS,NYK,21716136
61,Mikal Bridges,NYK,SAS,21716136
56677822,Victor Wembanyama,SAS,NYK,21716136
447,Karl-Anthony Towns,NYK,SAS,21716136
