stat,n,nll_mean,rps_mean,mean_error,abs_mean_error,outcome_prob_assigned_mean
ast,16,1.6613407783394114,0.04080618317757056,0.14421313275800812,1.2547940236674726,0.22245280615463434
blk,16,0.9008285089909982,0.057288303186542676,0.09808782950683904,0.5381552438067094,0.5621435422055032
fg3m,16,3.2600992729833114,0.14772281981612875,-0.4851101809193452,1.2710348969616039,0.2571424135445256
pa,16,3.2415872755632584,0.05088087942186128,0.00838550578158559,5.025592594712436,0.046852859283860473
pr,16,3.4742063706334196,0.05810651890659256,0.4911127639425583,6.200526371901188,0.04032499918728287
pra,16,3.68189523445953,0.06082250203267242,0.6353258967005303,7.2288107436858855,0.03595526101454158
pts,16,3.143421277161219,0.05894184805215587,-0.13582762697640455,4.0713403098521255,0.050228104051560904
ra,16,3.1496414714340264,0.06683910765616441,0.7711535236769672,3.4870102521022845,0.08429039162925928
reb,16,2.5699886240529812,0.06919306648802634,0.6269403909189697,2.3762992605722304,0.12761462225322273
stl,16,1.4219262779087525,0.12217644587264599,-0.4467964666171652,0.844005609388068,0.32461873376965084
stocks,16,1.5119296790645136,0.07483387131774466,-0.3462626160631742,1.0516523643479743,0.30133093473422434
tov,16,1.6652759512741193,0.07783174763726938,-0.175657863002727,0.9835370316706527,0.29439499074068526
