stat,role_bucket,n_rows,n_dates,best_candidate,best_oof_delta_logloss,best_oof_delta_brier,best_bootstrap_upper_logloss_delta,best_bootstrap_upper_brier_delta,calibration_pass,reason_not_passable,required_missing_signal
stocks,starter,413,14,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,9.539555970385976,0.1799152481404577,10.61991066671773,0.218182519468201,False,unstable bootstrap due to sample size,higher-signal pregame role/injury context with reliable market-aligned IDs
stocks,core,391,13,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,7.274578054613936,0.21599951829182729,7.97910398344287,0.252619627246185,False,unstable bootstrap due to sample size,higher-signal pregame role/injury context with reliable market-aligned IDs
blk,core,772,14,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,6.319467520029733,0.2314568475654645,6.781587108342259,0.2564059010095882,False,market line/probability dominates available model features,higher-signal pregame role/injury context with reliable market-aligned IDs
blk,rotation,220,14,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,2.120522544196451,0.09407519630182148,2.6031687526523375,0.137510920856362,False,unstable bootstrap due to sample size,higher-signal pregame role/injury context with reliable market-aligned IDs
ra,bench,103,9,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.22684812606818938,0.09461062328377978,0.3184857311877054,0.1319907395013331,False,insufficient historical rows,higher-signal pregame role/injury context with reliable market-aligned IDs
stl,core,757,14,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.1701689746944557,0.07597816585627687,0.2050083845726218,0.0915810810896826,False,model has no non-leaking edge beyond market,higher-signal pregame role/injury context with reliable market-aligned IDs
stl,rotation,294,14,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.14331576508571586,0.06324944471955532,0.1923075173740843,0.0854493088521048,False,unstable bootstrap due to sample size,higher-signal pregame role/injury context with reliable market-aligned IDs
pts,inactive_risk,143,4,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.14187734522922857,0.06858205601181899,0.1916310464576665,0.0909338749989172,False,insufficient dates,higher-signal pregame role/injury context with reliable market-aligned IDs
ast,bench,177,11,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.07889173467037924,0.03541413166887439,0.1405871563412379,0.0627572356974959,False,unstable bootstrap due to sample size,higher-signal pregame role/injury context with reliable market-aligned IDs
blk,starter,730,14,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.0749966293095905,0.03242807048199098,0.1034946525820108,0.0444997565743228,False,model has no non-leaking edge beyond market,higher-signal pregame role/injury context with reliable market-aligned IDs
reb,bench,793,14,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.06921842115894006,0.030545602420890605,0.0870419838678987,0.0385585821737448,False,model has no non-leaking edge beyond market,higher-signal pregame role/injury context with reliable market-aligned IDs
ast,rotation,776,16,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.0687962422803402,0.0318198991145415,0.0891642918075278,0.0413554319920208,False,model has no non-leaking edge beyond market,higher-signal pregame role/injury context with reliable market-aligned IDs
ast,core,2064,16,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.06168027461173364,0.028258497247381997,0.0731732581256111,0.0337144088021034,False,model has no non-leaking edge beyond market,higher-signal pregame role/injury context with reliable market-aligned IDs
ra,rotation,623,14,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.04861302987084504,0.02221125846143049,0.0703218385194105,0.0323769525255711,False,model has no non-leaking edge beyond market,higher-signal pregame role/injury context with reliable market-aligned IDs
stl,starter,783,14,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.04383394582198008,0.018347570470330005,0.0717163311520922,0.03114571417837,False,model has no non-leaking edge beyond market,higher-signal pregame role/injury context with reliable market-aligned IDs
reb,rotation,1483,16,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.04137017247941155,0.01972072298906058,0.0521212980648043,0.024864424235442,False,model has no non-leaking edge beyond market,higher-signal pregame role/injury context with reliable market-aligned IDs
pra,bench,448,14,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.039631495712375564,0.014252245511425315,0.0732615749896733,0.0280963564664713,False,unstable bootstrap due to sample size,higher-signal pregame role/injury context with reliable market-aligned IDs
pr,core,3259,14,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.03802146871395096,0.01777084573023821,0.045523862934475,0.0210769866839159,False,model has no non-leaking edge beyond market,higher-signal pregame role/injury context with reliable market-aligned IDs
pr,rotation,1288,14,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.037193580210719834,0.016483640998462584,0.0505075062440388,0.0226902397578549,False,model has no non-leaking edge beyond market,higher-signal pregame role/injury context with reliable market-aligned IDs
pra,rotation,1296,14,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.03612086127244729,0.01630690683987643,0.051116783831464,0.0233045928148975,False,model has no non-leaking edge beyond market,higher-signal pregame role/injury context with reliable market-aligned IDs
pra,core,3793,14,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.030944321118990037,0.014411717059468893,0.0371750139899367,0.0169815240616412,False,model has no non-leaking edge beyond market,higher-signal pregame role/injury context with reliable market-aligned IDs
pa,core,2287,14,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.029842488521796384,0.013956055993669697,0.0392782417169357,0.0181681718548888,False,model has no non-leaking edge beyond market,higher-signal pregame role/injury context with reliable market-aligned IDs
