stat,role_bucket,n_rows,n_dates,delta_logloss,delta_brier,bootstrap_upper_logloss_delta,bootstrap_upper_brier_delta,dominant_failure_mode,recommended_repair_family
stocks,starter,413,14,9.539555970385976,0.1799152481404577,10.61991066671773,0.218182519468201,mean_delta_not_negative,D_sparse_p0_tail_repair
stocks,core,391,13,7.274578054613936,0.21599951829182729,7.97910398344287,0.252619627246185,mean_delta_not_negative,D_sparse_p0_tail_repair
blk,core,772,14,6.319467520029733,0.2314568475654645,6.781587108342259,0.2564059010095882,mean_delta_not_negative,D_sparse_p0_tail_repair
blk,rotation,220,14,2.120522544196451,0.09407519630182148,2.6031687526523375,0.137510920856362,mean_delta_not_negative,D_sparse_p0_tail_repair
ra,bench,103,9,0.22684812606818938,0.09461062328377978,0.3184857311877054,0.1319907395013331,mean_delta_not_negative,F_market_residual_stacker
stl,core,757,14,0.1701689746944557,0.07597816585627687,0.2050083845726218,0.0915810810896826,mean_delta_not_negative,D_sparse_p0_tail_repair
stl,rotation,294,14,0.14331576508571586,0.06324944471955532,0.1923075173740843,0.0854493088521048,mean_delta_not_negative,D_sparse_p0_tail_repair
pts,inactive_risk,143,4,0.14187734522922857,0.06858205601181899,0.1916310464576665,0.0909338749989172,mean_delta_not_negative,F_market_residual_stacker
ast,bench,177,11,0.07889173467037924,0.03541413166887439,0.1405871563412379,0.0627572356974959,mean_delta_not_negative,F_market_residual_stacker
blk,starter,730,14,0.0749966293095905,0.03242807048199098,0.1034946525820108,0.0444997565743228,mean_delta_not_negative,D_sparse_p0_tail_repair
reb,bench,793,14,0.06921842115894006,0.030545602420890605,0.0870419838678987,0.0385585821737448,mean_delta_not_negative,F_market_residual_stacker
ast,rotation,776,16,0.0687962422803402,0.0318198991145415,0.0891642918075278,0.0413554319920208,mean_delta_not_negative,F_market_residual_stacker
ast,core,2064,16,0.06168027461173364,0.028258497247381997,0.0731732581256111,0.0337144088021034,mean_delta_not_negative,F_market_residual_stacker
ra,rotation,623,14,0.04861302987084504,0.02221125846143049,0.0703218385194105,0.0323769525255711,mean_delta_not_negative,C_variance_temperature_repair
stl,starter,783,14,0.04383394582198008,0.018347570470330005,0.0717163311520922,0.03114571417837,mean_delta_not_negative,D_sparse_p0_tail_repair
reb,rotation,1483,16,0.04137017247941155,0.01972072298906058,0.0521212980648043,0.024864424235442,mean_delta_not_negative,E_calibration_only_repair
pra,bench,448,14,0.039631495712375564,0.014252245511425315,0.0732615749896733,0.0280963564664713,mean_delta_not_negative,E_calibration_only_repair
pr,core,3259,14,0.03802146871395096,0.01777084573023821,0.045523862934475,0.0210769866839159,mean_delta_not_negative,E_calibration_only_repair
pr,rotation,1288,14,0.037193580210719834,0.016483640998462584,0.0505075062440388,0.0226902397578549,mean_delta_not_negative,E_calibration_only_repair
pra,rotation,1296,14,0.03612086127244729,0.01630690683987643,0.051116783831464,0.0233045928148975,mean_delta_not_negative,E_calibration_only_repair
pra,core,3793,14,0.030944321118990037,0.014411717059468893,0.0371750139899367,0.0169815240616412,mean_delta_not_negative,E_calibration_only_repair
pa,core,2287,14,0.029842488521796384,0.013956055993669697,0.0392782417169357,0.0181681718548888,mean_delta_not_negative,E_calibration_only_repair
pa,rotation,760,14,0.02968747302568897,0.013738416788502572,0.0484072254347746,0.0226083468376248,mean_delta_not_negative,E_calibration_only_repair
pts,core,4922,16,0.028160100084465567,0.01333409958211662,0.0330106235217948,0.0156817623541059,mean_delta_not_negative,E_calibration_only_repair
ra,core,1817,14,0.02365354531446484,0.011260010589584507,0.0337958309268819,0.0160035575457013,mean_delta_not_negative,E_calibration_only_repair
pr,bench,604,13,0.019572174495391947,0.0055656982996060145,0.0461487431409372,0.017204251389916,mean_delta_not_negative,E_calibration_only_repair
fg3m,core,2021,16,0.018591741970793163,0.007071778888824598,0.0282530425787797,0.0111122665343465,mean_delta_not_negative,E_calibration_only_repair
reb,core,3154,16,0.013429209771740336,0.006574237968920094,0.0202612598290427,0.0095364170661534,mean_delta_not_negative,E_calibration_only_repair
fg3m,rotation,1004,16,0.012259444125367946,0.002144290606122201,0.0301764052093303,0.009261192930786,mean_delta_not_negative,E_calibration_only_repair
ast,starter,2616,16,0.008585323074289608,0.004004331412142098,0.0191389481157749,0.009136627318343,mean_delta_not_negative,E_calibration_only_repair
pts,bench,1472,15,0.006180057800499239,0.000163234589495298,0.0212791720843149,0.0060878371058242,mean_delta_not_negative,E_calibration_only_repair
ra,starter,2175,14,0.0050844547039506915,0.0014728693333067033,0.0167110809158064,0.0066693479468541,mean_delta_not_negative,E_calibration_only_repair
reb,starter,2828,16,0.004740182883756772,0.002515704218138487,0.0129345896752629,0.00656469913372,mean_delta_not_negative,E_calibration_only_repair
fg3m,starter,2289,16,0.004710845849205114,0.002893906297402299,0.0112662046207737,0.0059008695864785,mean_delta_not_negative,E_calibration_only_repair
pts,rotation,2328,16,0.004474248543200665,0.001364122250351818,0.0136896174799044,0.005677864090074,mean_delta_not_negative,E_calibration_only_repair
