date,step,rc,tail,quota_lines
2026-04-30,verify_stat_grid_mission_stats_contract,0,"STAT_GRID_MISSION_STATS_CONTRACT_PASS {""row_counts"": {""pts"": 105, ""reb"": 105, ""ast"": 105, ""tov"": 105, ""stl"": 105, ""blk"": 105, ""stocks"": 105, ""pa"": 105, ""pr"": 105, ""ra"": 105, ""pra"": 105, ""fg3m"": 101}}
rebuild_command: /opt/homebrew/opt/python@3.10/bin/python3.10 scripts/build_stat_grid_pmfs.py --date <DATE> --stats pts reb ast fg3m tov stl blk stocks pa pr ra pra
",
2026-04-30,verify_canonical_model_only_rectangularity,0,"CANONICAL_MODEL_ONLY_RECTANGULARITY_PASS
  rows=1212 per_stat=101 stats=['ast', 'blk', 'fg3m', 'pa', 'pr', 'pra', 'pts', 'ra', 'reb', 'stl', 'stocks', 'tov']
",
2026-04-30,build_event_market_loss_rows,0,"M8_6Q_EVENT_MARKET_LOSS_ROWS_BUILD_PASS
  rows=13916 matched=6431 scored_all_fields=6431
  wrote: artifacts/model_diagnostics/event_market_loss_rows_2026-04-30.parquet
  pmf_col_single=pmf pmf_col_combo=pmf
  sign_convention=model_minus_market_negative_better
",
2026-05-01,build_backtest_delivery_range,0,"STAT_GRID_MISSION_STATS_CONTRACT_PASS {""row_counts"": {""pts"": 101, ""reb"": 101, ""ast"": 101, ""fg3m"": 101, ""tov"": 101, ""stl"": 101, ""blk"": 101, ""stocks"": 101, ""pa"": 101, ""pr"": 101, ""ra"": 101, ""pra"": 101}}
rebuild_command: /opt/homebrew/opt/python@3.10/bin/python3.10 scripts/build_stat_grid_pmfs.py --date <DATE> --stats pts reb ast fg3m tov stl blk stocks pa pr ra pra
BACKTEST_DELIVERY_RANGE_PASS wrote artifacts/model_diagnostics/backtest_delivery_range_2026-05-01_2026-05-01.json failures=0
",
2026-05-01,verify_stat_grid_mission_stats_contract,0,"STAT_GRID_MISSION_STATS_CONTRACT_PASS {""row_counts"": {""pts"": 101, ""reb"": 101, ""ast"": 101, ""fg3m"": 101, ""tov"": 101, ""stl"": 101, ""blk"": 101, ""stocks"": 101, ""pa"": 101, ""pr"": 101, ""ra"": 101, ""pra"": 101}}
rebuild_command: /opt/homebrew/opt/python@3.10/bin/python3.10 scripts/build_stat_grid_pmfs.py --date <DATE> --stats pts reb ast fg3m tov stl blk stocks pa pr ra pra
",
2026-05-01,verify_canonical_model_only_rectangularity,0,"CANONICAL_MODEL_ONLY_RECTANGULARITY_PASS
  rows=1212 per_stat=101 stats=['ast', 'blk', 'fg3m', 'pa', 'pr', 'pra', 'pts', 'ra', 'reb', 'stl', 'stocks', 'tov']
",
2026-05-01,build_event_market_loss_rows,0,"M8_6Q_EVENT_MARKET_LOSS_ROWS_BUILD_PASS
  rows=11030 matched=6193 scored_all_fields=6193
  wrote: artifacts/model_diagnostics/event_market_loss_rows_2026-05-01.parquet
  pmf_col_single=pmf pmf_col_combo=pmf
  sign_convention=model_minus_market_negative_better
",
2026-05-02,build_backtest_delivery_range,0,"STAT_GRID_MISSION_STATS_CONTRACT_PASS {""row_counts"": {""pts"": 36, ""reb"": 36, ""ast"": 36, ""tov"": 36, ""stl"": 36, ""blk"": 36, ""stocks"": 36, ""pa"": 36, ""pr"": 36, ""ra"": 36, ""pra"": 36, ""fg3m"": 35}}
rebuild_command: /opt/homebrew/opt/python@3.10/bin/python3.10 scripts/build_stat_grid_pmfs.py --date <DATE> --stats pts reb ast fg3m tov stl blk stocks pa pr ra pra
BACKTEST_DELIVERY_RANGE_PASS wrote artifacts/model_diagnostics/backtest_delivery_range_2026-05-02_2026-05-02.json failures=0
",
2026-05-02,verify_stat_grid_mission_stats_contract,0,"STAT_GRID_MISSION_STATS_CONTRACT_PASS {""row_counts"": {""pts"": 36, ""reb"": 36, ""ast"": 36, ""tov"": 36, ""stl"": 36, ""blk"": 36, ""stocks"": 36, ""pa"": 36, ""pr"": 36, ""ra"": 36, ""pra"": 36, ""fg3m"": 35}}
rebuild_command: /opt/homebrew/opt/python@3.10/bin/python3.10 scripts/build_stat_grid_pmfs.py --date <DATE> --stats pts reb ast fg3m tov stl blk stocks pa pr ra pra
",
2026-05-02,verify_canonical_model_only_rectangularity,0,"CANONICAL_MODEL_ONLY_RECTANGULARITY_PASS
  rows=420 per_stat=35 stats=['ast', 'blk', 'fg3m', 'pa', 'pr', 'pra', 'pts', 'ra', 'reb', 'stl', 'stocks', 'tov']
",
2026-05-02,build_event_market_loss_rows,0,"M8_6Q_EVENT_MARKET_LOSS_ROWS_BUILD_PASS
  rows=9244 matched=1997 scored_all_fields=1997
  wrote: artifacts/model_diagnostics/event_market_loss_rows_2026-05-02.parquet
  pmf_col_single=pmf pmf_col_combo=pmf
  sign_convention=model_minus_market_negative_better
",
2026-05-03,build_backtest_delivery_range,0,"STAT_GRID_MISSION_STATS_CONTRACT_PASS {""row_counts"": {""pts"": 69, ""reb"": 69, ""ast"": 69, ""fg3m"": 69, ""tov"": 69, ""stl"": 69, ""blk"": 69, ""stocks"": 69, ""pa"": 69, ""pr"": 69, ""ra"": 69, ""pra"": 69}}
rebuild_command: /opt/homebrew/opt/python@3.10/bin/python3.10 scripts/build_stat_grid_pmfs.py --date <DATE> --stats pts reb ast fg3m tov stl blk stocks pa pr ra pra
BACKTEST_DELIVERY_RANGE_PASS wrote artifacts/model_diagnostics/backtest_delivery_range_2026-05-03_2026-05-03.json failures=0
",
2026-05-03,verify_stat_grid_mission_stats_contract,0,"STAT_GRID_MISSION_STATS_CONTRACT_PASS {""row_counts"": {""pts"": 69, ""reb"": 69, ""ast"": 69, ""fg3m"": 69, ""tov"": 69, ""stl"": 69, ""blk"": 69, ""stocks"": 69, ""pa"": 69, ""pr"": 69, ""ra"": 69, ""pra"": 69}}
rebuild_command: /opt/homebrew/opt/python@3.10/bin/python3.10 scripts/build_stat_grid_pmfs.py --date <DATE> --stats pts reb ast fg3m tov stl blk stocks pa pr ra pra
",
2026-05-03,verify_canonical_model_only_rectangularity,0,"CANONICAL_MODEL_ONLY_RECTANGULARITY_PASS
  rows=828 per_stat=69 stats=['ast', 'blk', 'fg3m', 'pa', 'pr', 'pra', 'pts', 'ra', 'reb', 'stl', 'stocks', 'tov']
",
2026-05-03,build_event_market_loss_rows,0,"M8_6Q_EVENT_MARKET_LOSS_ROWS_BUILD_PASS
  rows=9124 matched=4106 scored_all_fields=4106
  wrote: artifacts/model_diagnostics/event_market_loss_rows_2026-05-03.parquet
  pmf_col_single=pmf pmf_col_combo=pmf
  sign_convention=model_minus_market_negative_better
",
2026-05-04,build_backtest_delivery_range,0,"STAT_GRID_MISSION_STATS_CONTRACT_PASS {""row_counts"": {""pts"": 70, ""reb"": 70, ""ast"": 70, ""tov"": 70, ""stl"": 70, ""blk"": 70, ""stocks"": 70, ""pa"": 70, ""pr"": 70, ""ra"": 70, ""pra"": 70, ""fg3m"": 68}}
rebuild_command: /opt/homebrew/opt/python@3.10/bin/python3.10 scripts/build_stat_grid_pmfs.py --date <DATE> --stats pts reb ast fg3m tov stl blk stocks pa pr ra pra
BACKTEST_DELIVERY_RANGE_PASS wrote artifacts/model_diagnostics/backtest_delivery_range_2026-05-04_2026-05-04.json failures=0
",
2026-05-04,verify_stat_grid_mission_stats_contract,0,"STAT_GRID_MISSION_STATS_CONTRACT_PASS {""row_counts"": {""pts"": 70, ""reb"": 70, ""ast"": 70, ""tov"": 70, ""stl"": 70, ""blk"": 70, ""stocks"": 70, ""pa"": 70, ""pr"": 70, ""ra"": 70, ""pra"": 70, ""fg3m"": 68}}
rebuild_command: /opt/homebrew/opt/python@3.10/bin/python3.10 scripts/build_stat_grid_pmfs.py --date <DATE> --stats pts reb ast fg3m tov stl blk stocks pa pr ra pra
",
2026-05-04,verify_canonical_model_only_rectangularity,0,"CANONICAL_MODEL_ONLY_RECTANGULARITY_PASS
  rows=816 per_stat=68 stats=['ast', 'blk', 'fg3m', 'pa', 'pr', 'pra', 'pts', 'ra', 'reb', 'stl', 'stocks', 'tov']
",
2026-05-04,build_event_market_loss_rows,0,"M8_6Q_EVENT_MARKET_LOSS_ROWS_BUILD_PASS
  rows=6736 matched=3892 scored_all_fields=3892
  wrote: artifacts/model_diagnostics/event_market_loss_rows_2026-05-04.parquet
  pmf_col_single=pmf pmf_col_combo=pmf
  sign_convention=model_minus_market_negative_better
",
