stat,n,nll_mean,rps_mean,mean_error,abs_mean_error,outcome_prob_assigned_mean
ast,12,2.422325398639486,0.07166770808349156,-0.0900285775746051,1.733989651776012,0.15317964024541433
blk,12,1.3316586460542161,0.15173226158677078,-0.4487237929040285,0.8344177314511442,0.43780787368757473
fg3m,12,1.5212797339656339,0.16197155761017992,-0.17221595680259505,0.914528775856751,0.26789075601977785
pa,12,3.343872234308174,0.04901053645725803,0.35105947660801373,5.448983129363402,0.043681808128274685
pr,12,3.1727193956766926,0.040861091005867746,0.8279503626851472,5.266443267894885,0.04613779742498798
pra,12,3.3324287336793965,0.042568784823375644,0.7379217851105029,5.815954485550748,0.042696530261357134
pts,12,3.1708933004132227,0.053322399581950904,0.44108805418264,4.621916523949078,0.04881115684100797
ra,12,2.4505071350321006,0.04572559315485031,0.2968337309279024,2.2767545423047557,0.11004318544853031
reb,12,2.1703941394654067,0.04921533580367197,0.3868623085025186,1.7211442448177878,0.14152338975968556
stl,12,1.2315299330378437,0.11393943035362165,-0.15219855509291547,0.7861016173135265,0.3968338242372018
stocks,12,1.761595695543064,0.11398146143829124,-0.582194388199283,1.309146215298636,0.26075425741623054
tov,12,1.6206525566557912,0.0627365260260349,-0.17042023138619652,0.915109537394401,0.3259597830165926
