date,book,player_key,player_name,player_id,team,opponent,stat,line,actual,result,model_p_over,model_p_under,model_p_push,model_result_prob,market_over_odds,market_under_odds,market_no_vig_over_prob,edge_over
2026-06-08,fanduel,61,Mikal Bridges,61,NYK,SAS,pts,15.5,2.0,under,0.41559999999999997,0.5843,0.0,0.5843,162,-220,0.357,0.058599999999999985
2026-06-08,fanduel,61,Mikal Bridges,61,NYK,SAS,pts,14.5,2.0,under,0.5093000000000001,0.4906,0.0,0.4906,120,-160,0.4248,0.08450000000000008
2026-06-08,fanduel,61,Mikal Bridges,61,NYK,SAS,pts,13.5,2.0,under,0.5748,0.4251,0.0,0.4251,-112,-118,0.4939,0.08089999999999997
2026-06-08,fanduel,61,Mikal Bridges,61,NYK,SAS,pts,12.5,2.0,under,0.6323000000000001,0.3676,0.0,0.3676,-152,114,0.5635,0.06880000000000008
2026-06-08,fanduel,61,Mikal Bridges,61,NYK,SAS,pts,11.5,2.0,under,0.6851,0.31479999999999997,0.0,0.31479999999999997,-210,154,0.6324,0.05270000000000008
2026-06-08,fanduel,61,Mikal Bridges,61,NYK,SAS,pts,10.5,2.0,under,0.7378,0.2621,0.0,0.2621,-290,205,0.694,0.04380000000000006
2026-06-08,fanduel,61,Mikal Bridges,61,NYK,SAS,pts,9.5,2.0,under,0.7943,0.2056,0.0,0.2056,-420,280,0.7543,0.040000000000000036
2026-06-08,fanduel,61,Mikal Bridges,61,NYK,SAS,pts,8.5,2.0,under,0.8367,0.1632,0.0,0.1632,-650,390,0.8094,0.02729999999999999
2026-06-08,fanduel,61,Mikal Bridges,61,NYK,SAS,pts,16.5,2.0,under,0.3482,0.6517000000000001,0.0,0.6517000000000001,200,-280,0.3115,0.03670000000000001
2026-06-08,fanduel,61,Mikal Bridges,61,NYK,SAS,pts,17.5,2.0,under,0.2919,0.7080000000000001,0.0,0.7080000000000001,260,-380,0.2597,0.032200000000000006
