stat,n,nll_mean,rps_mean,mean_error,abs_mean_error,outcome_prob_assigned_mean
ast,16,1.81740294566896,0.048083104407662364,-0.40751568239106906,0.9702981960717515,0.24427578723455054
blk,16,1.356991047044469,0.14251507592168733,-0.4636385472513591,0.7556980300729095,0.4108135781572796
fg3m,16,1.3952893566089095,0.16960371494836912,-0.320406783957739,0.9428979305089538,0.30901427855959074
pa,16,3.102265534037764,0.04271769516554,-0.3120984502160323,4.665496459100909,0.05581875151332184
pr,16,3.1961764111045956,0.03853152304013109,0.08933593787988536,4.748210008046988,0.05052724806033949
pra,16,3.2836919661555006,0.04063055775178674,-0.3181797445112202,5.193846747852281,0.04759869111427232
pts,16,3.0588773014889523,0.0496047122673291,0.09541723217504694,4.17602699791696,0.057682398654112996
ra,16,2.560792270765986,0.04770600916489544,-0.4135969766862303,2.070002565629136,0.11858829094872478
reb,16,2.072768960897926,0.0413372058061279,-0.00608129429515003,1.5022708101136901,0.146923156430752
stl,16,1.4954211713727221,0.13674548074776027,-0.5366600714127657,0.8281152866411171,0.2886572842835863
stocks,16,1.978196134413201,0.12061052611492247,-0.9847200339935893,1.129856943618174,0.20543630721219408
tov,16,2.09157768255696,0.08919164318345799,-0.5783375455938669,1.174601386606373,0.22778539618647456
