game_date,run_date,run_id,run_mode,generated_at_utc,pipeline_version,model_version,model_artifact_hash,source_data_asof_utc,player_id,player_name,team,opponent,game_id,event_id,stat,line,role_bucket,hard_role_bucket,role_mixture_enabled,role_mixture_weights_json,role_entropy,role_bucket_confidence,projected_minutes,minutes_q10,minutes_q50,minutes_q90,inactive_risk,expected_lineup_status,official_lineup_status,injury_status,injury_source,injury_last_updated_utc,lineup_source,lineup_last_updated_utc,stale_injury_flag,stale_lineup_flag,market_line,p_over,model_prob_under_active,fair_over_odds,fair_under_odds,pmf_mean,pmf_variance,pmf_p10,pmf_p50,pmf_p90,market_prob_over,no_vig_market_prob_over,edge,market_status,delivery_status,unavailable_reason,calculation_source,calculation_status
2026-05-28,2026-05-28,4fe9d201-25d5-4ff9-adc8-bed330742777,morning_expected,2026-05-28T21:11:53Z,655c45e0,655c45e0#phase10c,challenger-2026-05-27,2026-05-28T21:11:48Z,89,Alex Caruso,OKC,SAS,21713533,,pts,10.5,rotation,rotation,True,,,,20.6614,,20.1453,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-05-28T21:11:02Z,bdl_lineup_freshness_manifest,,False,False,10.5,0.4059,0.5941,146.0,-146.0,9.7323,35.3294,2.0,9.0,18.0,0.488,0.488,-0.0821,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
2026-05-28,2026-05-28,4fe9d201-25d5-4ff9-adc8-bed330742777,morning_expected,2026-05-28T21:11:53Z,655c45e0,655c45e0#phase10c,challenger-2026-05-27,2026-05-28T21:11:48Z,89,Alex Caruso,OKC,SAS,21713533,,pts,13.5,rotation,rotation,True,,,,20.6614,,20.1453,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-05-28T21:11:02Z,bdl_lineup_freshness_manifest,,False,False,13.5,0.2518,0.7482,297.0,-297.0,9.7323,35.3294,2.0,9.0,18.0,0.3026,0.3026,-0.0508,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
2026-05-28,2026-05-28,4fe9d201-25d5-4ff9-adc8-bed330742777,morning_expected,2026-05-28T21:11:53Z,655c45e0,655c45e0#phase10c,challenger-2026-05-27,2026-05-28T21:11:48Z,89,Alex Caruso,OKC,SAS,21713533,,pts,12.5,rotation,rotation,True,,,,20.6614,,20.1453,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-05-28T21:11:02Z,bdl_lineup_freshness_manifest,,False,False,12.5,0.2947,0.7053,239.0,-239.0,9.7323,35.3294,2.0,9.0,18.0,0.3604,0.3604,-0.0657,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
2026-05-28,2026-05-28,4fe9d201-25d5-4ff9-adc8-bed330742777,morning_expected,2026-05-28T21:11:53Z,655c45e0,655c45e0#phase10c,challenger-2026-05-27,2026-05-28T21:11:48Z,89,Alex Caruso,OKC,SAS,21713533,,pts,11.5,rotation,rotation,True,,,,20.6614,,20.1453,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-05-28T21:11:02Z,bdl_lineup_freshness_manifest,,False,False,11.5,0.3427,0.6573,192.0,-192.0,9.7323,35.3294,2.0,9.0,18.0,0.4248,0.4248,-0.0821,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
2026-05-28,2026-05-28,4fe9d201-25d5-4ff9-adc8-bed330742777,morning_expected,2026-05-28T21:11:53Z,655c45e0,655c45e0#phase10c,challenger-2026-05-27,2026-05-28T21:11:48Z,89,Alex Caruso,OKC,SAS,21713533,,pts,10.5,rotation,rotation,True,,,,20.6614,,20.1453,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-05-28T21:11:02Z,bdl_lineup_freshness_manifest,,False,False,10.5,0.4059,0.5941,146.0,-146.0,9.7323,35.3294,2.0,9.0,18.0,0.4899,0.4899,-0.0839,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
2026-05-28,2026-05-28,4fe9d201-25d5-4ff9-adc8-bed330742777,morning_expected,2026-05-28T21:11:53Z,655c45e0,655c45e0#phase10c,challenger-2026-05-27,2026-05-28T21:11:48Z,89,Alex Caruso,OKC,SAS,21713533,,pts,9.5,rotation,rotation,True,,,,20.6614,,20.1453,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-05-28T21:11:02Z,bdl_lineup_freshness_manifest,,False,False,9.5,0.4657,0.5343,115.0,-115.0,9.7323,35.3294,2.0,9.0,18.0,0.5633,0.5633,-0.0976,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
2026-05-28,2026-05-28,4fe9d201-25d5-4ff9-adc8-bed330742777,morning_expected,2026-05-28T21:11:53Z,655c45e0,655c45e0#phase10c,challenger-2026-05-27,2026-05-28T21:11:48Z,89,Alex Caruso,OKC,SAS,21713533,,pts,8.5,rotation,rotation,True,,,,20.6614,,20.1453,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-05-28T21:11:02Z,bdl_lineup_freshness_manifest,,False,False,8.5,0.5418,0.4582,-118.0,118.0,9.7323,35.3294,2.0,9.0,18.0,0.6334,0.6334,-0.0916,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
2026-05-28,2026-05-28,4fe9d201-25d5-4ff9-adc8-bed330742777,morning_expected,2026-05-28T21:11:53Z,655c45e0,655c45e0#phase10c,challenger-2026-05-27,2026-05-28T21:11:48Z,89,Alex Caruso,OKC,SAS,21713533,,pts,9.5,rotation,rotation,True,,,,20.6614,,20.1453,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-05-28T21:11:02Z,bdl_lineup_freshness_manifest,,False,False,9.5,0.4657,0.5343,115.0,-115.0,9.7323,35.3294,2.0,9.0,18.0,0.5101,0.5101,-0.0444,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
2026-05-28,2026-05-28,4fe9d201-25d5-4ff9-adc8-bed330742777,morning_expected,2026-05-28T21:11:53Z,655c45e0,655c45e0#phase10c,challenger-2026-05-27,2026-05-28T21:11:48Z,89,Alex Caruso,OKC,SAS,21713533,,pts,10.5,rotation,rotation,True,,,,20.6614,,20.1453,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-05-28T21:11:02Z,bdl_lineup_freshness_manifest,,False,False,10.5,0.4059,0.5941,146.0,-146.0,9.7323,35.3294,2.0,9.0,18.0,0.4698,0.4698,-0.0638,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
2026-05-28,2026-05-28,4fe9d201-25d5-4ff9-adc8-bed330742777,morning_expected,2026-05-28T21:11:53Z,655c45e0,655c45e0#phase10c,challenger-2026-05-27,2026-05-28T21:11:48Z,89,Alex Caruso,OKC,SAS,21713533,,pts,9.5,rotation,rotation,True,,,,20.6614,,20.1453,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-05-28T21:11:02Z,bdl_lineup_freshness_manifest,,False,False,9.5,0.4657,0.5343,115.0,-115.0,9.7323,35.3294,2.0,9.0,18.0,0.5441,0.5441,-0.0784,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
