player_name,projected_minutes,stat,pmf_mean,market_line,p_over
Alex Caruso,20.6614,ast,2.3363,2.5,0.4351
Alex Caruso,20.6614,blk,0.2793,0.5,0.2052
Alex Caruso,20.6614,fg3m,0.9241,1.5,0.2806
Alex Caruso,20.6614,pa,12.0686,12.5,0.4315
Alex Caruso,20.6614,pr,13.2648,13.5,0.4446
Alex Caruso,20.6614,pra,15.6011,15.5,0.4694
Alex Caruso,20.6614,pts,9.7323,10.5,0.4059
Alex Caruso,20.6614,ra,5.8688,5.5,0.5518
Alex Caruso,20.6614,reb,3.5325,2.5,0.7362
Alex Caruso,20.6614,stl,1.4206,1.5,0.3829
Cason Wallace,23.8758,ast,2.3252,2.5,0.4173
Cason Wallace,23.8758,blk,0.263,0.5,0.2046
Cason Wallace,23.8758,fg3m,1.0363,1.5,0.2718
Cason Wallace,23.8758,pa,11.0721,11.5,0.4308
Cason Wallace,23.8758,pr,12.8134,11.5,0.5602
Cason Wallace,23.8758,pra,15.1386,14.5,0.5117
Cason Wallace,23.8758,pts,8.7469,8.5,0.4768
Cason Wallace,23.8758,ra,6.3917,5.5,0.6513
Cason Wallace,23.8758,reb,4.0665,3.5,0.6284
Cason Wallace,23.8758,stl,1.5828,1.5,0.4347
Chet Holmgren,27.4006,ast,1.7319,1.5,0.5617
Chet Holmgren,27.4006,blk,0.8597,1.5,0.1461
Chet Holmgren,27.4006,fg3m,1.0056,0.5,0.6286
Chet Holmgren,27.4006,pa,17.25,14.5,0.6551
Chet Holmgren,27.4006,pr,24.709,21.5,0.6706
Chet Holmgren,27.4006,pra,26.4409,22.5,0.7054
Chet Holmgren,27.4006,pts,15.5182,13.5,0.6168
Chet Holmgren,27.4006,ra,10.9227,8.5,0.8143
Chet Holmgren,27.4006,reb,9.1909,7.5,0.7544
Chet Holmgren,27.4006,stl,0.5024,0.5,0.3701
De'Aaron Fox,29.8328,ast,6.1136,5.5,0.6105
De'Aaron Fox,29.8328,blk,0.2339,0.5,0.1877
De'Aaron Fox,29.8328,fg3m,1.7402,1.5,0.4963
De'Aaron Fox,29.8328,pa,24.5056,21.5,0.6845
De'Aaron Fox,29.8328,pr,23.183,19.5,0.7245
De'Aaron Fox,29.8328,pra,29.2967,25.5,0.72
De'Aaron Fox,29.8328,pts,18.392,15.5,0.687
De'Aaron Fox,29.8328,ra,10.9047,9.5,0.7034
De'Aaron Fox,29.8328,reb,4.7911,3.5,0.7817
De'Aaron Fox,29.8328,stl,0.6647,1.5,0.1612
Devin Vassell,30.1675,ast,2.6195,2.5,0.5342
Devin Vassell,30.1675,blk,0.3714,0.5,0.2464
Devin Vassell,30.1675,fg3m,2.3044,2.5,0.3351
Devin Vassell,30.1675,pa,16.5401,16.5,0.495
Devin Vassell,30.1675,pr,19.1615,18.5,0.5381
Devin Vassell,30.1675,pra,21.7811,20.5,0.5773
Devin Vassell,30.1675,pts,13.9206,13.5,0.5359
Devin Vassell,30.1675,ra,7.8605,6.5,0.739
Devin Vassell,30.1675,reb,5.241,4.5,0.6859
Devin Vassell,30.1675,stl,0.7471,0.5,0.4741
Dylan Harper,21.5179,ast,2.3094,2.5,0.4339
Dylan Harper,21.5179,blk,0.2854,0.5,0.2182
