dataset,column,present,non_null_rate,unique_count
training_table,mp_mean_last3,True,1.0,142
training_table,mp_mean_last5,True,1.0,224
training_table,mp_mean_last10,True,1.0,419
training_table,mp_median_last10,True,1.0,89
training_table,mp_p25_last10,True,1.0,166
training_table,mp_p75_last10,True,1.0,177
training_table,mp_floor_last10,True,1.0,41
training_table,mp_ceiling_last10,True,1.0,52
training_table,mp_vol_last10,True,1.0,50875
training_table,mp_cv_last10,True,1.0,50875
training_table,mp_ewma_10,True,1.0,419
training_table,mp_ewma_5,True,1.0,73099
training_table,mp_mean_season,True,1.0,73099
training_table,mp_trend_3v10,True,1.0,11220
training_table,above_mean_pct_min,True,1.0,11
training_table,games_30plus_last10,True,1.0,11
training_table,games_35plus_last10,True,1.0,11
training_table,games_20minus_last10,True,1.0,11
training_table,cv_min,True,1.0,50875
training_table,mean_min_last10,True,1.0,419
training_table,exp_mp,True,0.0,0
training_table,mp_q10,True,0.0,0
training_table,mp_q25,True,0.0,0
training_table,mp_q75,True,0.0,0
training_table,mp_q90,True,0.0,0
training_table,mp_vol,True,0.0,0
training_table,mp_pred_floor,True,0.0,0
training_table,mp_pred_ceiling,True,0.0,0
training_table,pts_per_min_mean_last3,True,1.0,52026
training_table,pts_per_min_mean_last5,True,1.0,65310
training_table,pts_per_min_mean_last10,True,1.0,70309
training_table,pts_per_min_median_last10,True,1.0,12895
training_table,pts_per_min_p25_last10,True,1.0,11484
training_table,pts_per_min_p75_last10,True,1.0,13550
training_table,pts_per_min_floor_last10,True,1.0,433
training_table,pts_per_min_ceiling_last10,True,1.0,688
training_table,pts_per_min_vol_last10,True,1.0,70241
training_table,pts_per_min_cv_last10,True,0.9939944458884526,70878
training_table,pts_per_min_ewma_10,True,1.0,73095
training_table,pts_per_min_ewma_5,True,1.0,73095
training_table,pts_per_min_mean_season,True,1.0,73095
training_table,pts_per_min_trend_3v10,True,0.9997674386790517,71178
training_table,pts_raw_mean_last3,True,1.0,143
training_table,pts_raw_mean_last5,True,1.0,213
