player_id,player_name,game_id,stat,line,role_bucket,injury_freshness_status,lineup_freshness_status,market_coverage_status,source_row_id,k,p_k
12,Kyle Anderson,21707976,ast,,bench,fresh,projected,full,2,3,0.09846161445787113
12,Kyle Anderson,21707976,ast,,bench,fresh,projected,full,2,4,0.046124989977970085
12,Kyle Anderson,21707976,ast,,bench,fresh,projected,full,2,5,0.02239960731727727
12,Kyle Anderson,21707976,ast,,bench,fresh,projected,full,2,6,0.012001798564784089
12,Kyle Anderson,21707976,ast,,bench,fresh,projected,full,2,7,0.005657569592606293
12,Kyle Anderson,21707976,ast,,bench,fresh,projected,full,2,8,0.0029034847464426768
12,Kyle Anderson,21707976,ast,,bench,fresh,projected,full,2,9,0.0019158951112259706
12,Kyle Anderson,21707976,ast,,bench,fresh,projected,full,2,10,0.0006391397669512336
12,Kyle Anderson,21707976,ast,,bench,fresh,projected,full,2,11,0.00046961083047777246
12,Kyle Anderson,21707976,ast,,bench,fresh,projected,full,2,12,0.00034263181824151635
12,Kyle Anderson,21707976,ast,,bench,fresh,projected,full,2,13,0.00015116109628303978
12,Kyle Anderson,21707976,ast,,bench,fresh,projected,full,2,14,6.046443851320583e-05
12,Kyle Anderson,21707976,ast,,bench,fresh,projected,full,2,15,3.0136756286811602e-05
12,Kyle Anderson,21707976,fg3m,,bench,fresh,projected,full,3,0,1.0
12,Kyle Anderson,21707976,tov,,bench,fresh,projected,full,4,0,0.6028058961451739
12,Kyle Anderson,21707976,tov,,bench,fresh,projected,full,4,1,0.25208139822968684
12,Kyle Anderson,21707976,tov,,bench,fresh,projected,full,4,2,0.0968065876739034
12,Kyle Anderson,21707976,tov,,bench,fresh,projected,full,4,3,0.03137024959960298
12,Kyle Anderson,21707976,tov,,bench,fresh,projected,full,4,4,0.010251115960603846
12,Kyle Anderson,21707976,tov,,bench,fresh,projected,full,4,5,0.004043304918456619
12,Kyle Anderson,21707976,tov,,bench,fresh,projected,full,4,6,0.0014597124138204338
12,Kyle Anderson,21707976,tov,,bench,fresh,projected,full,4,7,0.0006371853800803898
12,Kyle Anderson,21707976,tov,,bench,fresh,projected,full,4,8,0.0002761333954698957
12,Kyle Anderson,21707976,tov,,bench,fresh,projected,full,4,9,0.00013806669773494117
12,Kyle Anderson,21707976,tov,,bench,fresh,projected,full,4,10,6.136297677108504e-05
12,Kyle Anderson,21707976,tov,,bench,fresh,projected,full,4,11,3.068148838554252e-05
12,Kyle Anderson,21707976,tov,,bench,fresh,projected,full,4,12,3.830512030989986e-05
12,Kyle Anderson,21707976,stl,,bench,fresh,projected,full,5,0,0.6137428384971207
12,Kyle Anderson,21707976,stl,,bench,fresh,projected,full,5,1,0.22515494986683998
12,Kyle Anderson,21707976,stl,,bench,fresh,projected,full,5,2,0.10773247045054209
12,Kyle Anderson,21707976,stl,,bench,fresh,projected,full,5,3,0.0045459979205047735
12,Kyle Anderson,21707976,stl,,bench,fresh,projected,full,5,4,0.003260313225197897
12,Kyle Anderson,21707976,stl,,bench,fresh,projected,full,5,5,0.009977824411418227
12,Kyle Anderson,21707976,stl,,bench,fresh,projected,full,5,6,0.008590150578002694
12,Kyle Anderson,21707976,stl,,bench,fresh,projected,full,5,7,0.007298544603094864
12,Kyle Anderson,21707976,stl,,bench,fresh,projected,full,5,8,0.010189160319776376
12,Kyle Anderson,21707976,stl,,bench,fresh,projected,full,5,9,0.009307750127502167
12,Kyle Anderson,21707976,stl,,bench,fresh,projected,full,5,10,0.00019999999999999874
12,Kyle Anderson,21707976,blk,,bench,fresh,projected,full,6,0,0.741225919652839
12,Kyle Anderson,21707976,blk,,bench,fresh,projected,full,6,1,0.1825189415068057
12,Kyle Anderson,21707976,blk,,bench,fresh,projected,full,6,2,0.03618342094551237
12,Kyle Anderson,21707976,blk,,bench,fresh,projected,full,6,3,0.002364476612361323
12,Kyle Anderson,21707976,blk,,bench,fresh,projected,full,6,4,0.002571173193609836
12,Kyle Anderson,21707976,blk,,bench,fresh,projected,full,6,5,0.006289631811308548
12,Kyle Anderson,21707976,blk,,bench,fresh,projected,full,6,6,0.006056685890907947
12,Kyle Anderson,21707976,blk,,bench,fresh,projected,full,6,7,0.005862721316819096
12,Kyle Anderson,21707976,blk,,bench,fresh,projected,full,6,8,0.007687999039703899
12,Kyle Anderson,21707976,blk,,bench,fresh,projected,full,6,9,0.009039030030132345
12,Kyle Anderson,21707976,blk,,bench,fresh,projected,full,6,10,0.0001999999999999988
12,Kyle Anderson,21707976,stocks,,bench,fresh,projected,full,7,0,0.5020359285590448
12,Kyle Anderson,21707976,stocks,,bench,fresh,projected,full,7,1,0.2725431632623602
12,Kyle Anderson,21707976,stocks,,bench,fresh,projected,full,7,2,0.1423300676813971
12,Kyle Anderson,21707976,stocks,,bench,fresh,projected,full,7,3,0.030277192352343017
12,Kyle Anderson,21707976,stocks,,bench,fresh,projected,full,7,4,0.007735213105066561
12,Kyle Anderson,21707976,stocks,,bench,fresh,projected,full,7,5,0.005106618602865433
12,Kyle Anderson,21707976,stocks,,bench,fresh,projected,full,7,6,0.003374549530446086
12,Kyle Anderson,21707976,stocks,,bench,fresh,projected,full,7,7,0.00227934055930893
12,Kyle Anderson,21707976,stocks,,bench,fresh,projected,full,7,8,0.0026801906531315253
12,Kyle Anderson,21707976,stocks,,bench,fresh,projected,full,7,9,0.0021900989162030953
12,Kyle Anderson,21707976,stocks,,bench,fresh,projected,full,7,10,0.009460063187705984
12,Kyle Anderson,21707976,stocks,,bench,fresh,projected,full,7,11,0.010714972909326005
12,Kyle Anderson,21707976,stocks,,bench,fresh,projected,full,7,12,0.004504182327559539
12,Kyle Anderson,21707976,stocks,,bench,fresh,projected,full,7,13,0.0009008364655119128
12,Kyle Anderson,21707976,stocks,,bench,fresh,projected,full,7,14,0.0009008364655119128
12,Kyle Anderson,21707976,stocks,,bench,fresh,projected,full,7,15,0.0006756273491339347
12,Kyle Anderson,21707976,stocks,,bench,fresh,projected,full,7,16,0.0004504182327559513
12,Kyle Anderson,21707976,stocks,,bench,fresh,projected,full,7,18,0.0006756273491339347
12,Kyle Anderson,21707976,stocks,,bench,fresh,projected,full,7,19,0.0011250724911940155
12,Kyle Anderson,21707976,stocks,,bench,fresh,projected,full,7,20,3.9999999999999996e-05
12,Kyle Anderson,21707976,pa,,bench,fresh,projected,full,8,0,0.11774939882674713
12,Kyle Anderson,21707976,pa,,bench,fresh,projected,full,8,1,0.12089681963701834
12,Kyle Anderson,21707976,pa,,bench,fresh,projected,full,8,2,0.13244122884722162
12,Kyle Anderson,21707976,pa,,bench,fresh,projected,full,8,3,0.10952907284842096
12,Kyle Anderson,21707976,pa,,bench,fresh,projected,full,8,4,0.09294815632227812
12,Kyle Anderson,21707976,pa,,bench,fresh,projected,full,8,5,0.08405032263405568
12,Kyle Anderson,21707976,pa,,bench,fresh,projected,full,8,6,0.06668283888323465
12,Kyle Anderson,21707976,pa,,bench,fresh,projected,full,8,7,0.05405532483786073
12,Kyle Anderson,21707976,pa,,bench,fresh,projected,full,8,8,0.04279540461601796
12,Kyle Anderson,21707976,pa,,bench,fresh,projected,full,8,9,0.03658640481525105
12,Kyle Anderson,21707976,pa,,bench,fresh,projected,full,8,10,0.0307522685804046
12,Kyle Anderson,21707976,pa,,bench,fresh,projected,full,8,11,0.025873995138961423
12,Kyle Anderson,21707976,pa,,bench,fresh,projected,full,8,12,0.0160214696600319
12,Kyle Anderson,21707976,pa,,bench,fresh,projected,full,8,13,0.013404421659120355
12,Kyle Anderson,21707976,pa,,bench,fresh,projected,full,8,14,0.011047440988500098
12,Kyle Anderson,21707976,pa,,bench,fresh,projected,full,8,15,0.009786999373424124
12,Kyle Anderson,21707976,pa,,bench,fresh,projected,full,8,16,0.007271899306576978
12,Kyle Anderson,21707976,pa,,bench,fresh,projected,full,8,17,0.005441684298122608
12,Kyle Anderson,21707976,pa,,bench,fresh,projected,full,8,18,0.004196963784374516
12,Kyle Anderson,21707976,pa,,bench,fresh,projected,full,8,19,0.0032152999068823028
12,Kyle Anderson,21707976,pa,,bench,fresh,projected,full,8,20,0.0040453180606980724
12,Kyle Anderson,21707976,pa,,bench,fresh,projected,full,8,21,0.0027320775621249077
12,Kyle Anderson,21707976,pa,,bench,fresh,projected,full,8,22,0.0015021211646068266
